episode_id,target_batch,mf_batch,target_angle,mf_value,final_position,pose_error,distance_to_target,movement_restored,accuracy_percentage
0.0,0.0,0.0,0.457560959112415,0.6,0.47432545695310446,0.016764497840689452,0.016764497840689452,99.30147925663793,99.30147925663793
1.0,1.0,0.0,0.9407999660587758,0.6,1.0383354660289656,0.09753549997018984,0.09753549997018984,95.93602083457543,95.93602083457542
2.0,2.0,0.0,1.0902201899402726,0.6,1.1111367834344206,0.020916593494147984,0.020916593494147984,99.12847527107716,99.12847527107716
3.0,3.0,0.0,1.9518161817291162,0.6,2.0917231847014413,0.13990700297232506,0.13990700297232506,94.17054154281979,94.17054154281979
4.0,0.0,0.0,0.19379735747665106,0.6,0.20561348844696836,0.011816130970317307,0.011816130970317307,99.50766120957012,99.5076612095701
5.0,1.0,0.0,0.8095530642003745,0.6,0.892434562706291,0.08288149850591642,0.08288149850591642,96.54660422892015,96.54660422892015
6.0,2.0,0.0,1.1962146618592375,0.6,0.8909222109682665,0.305292450890971,0.305292450890971,87.2794812128762,87.2794812128762
7.0,3.0,0.0,1.7327967329737333,0.6,1.6953425302983351,0.03745420267539812,0.03745420267539812,98.43940822185841,98.43940822185841
8.0,0.0,0.0,0.480238313412554,0.6,0.49495575488111493,0.01471744146856091,0.01471744146856091,99.3867732721433,99.38677327214329
9.0,1.0,0.0,0.6658331973822094,0.6,0.7088811789161023,0.04304798153389289,0.04304798153389289,98.20633410275447,98.20633410275447
10.0,2.0,0.0,1.3780958485631085,0.6,1.4374133108193266,0.059317462256218034,0.059317462256218034,97.52843907265758,97.52843907265758
11.0,3.0,0.0,1.900029587235113,0.6,1.6371584424693562,0.2628711447657568,0.2628711447657568,89.04703563476014,89.04703563476014
12.0,0.0,0.0,0.4845200654072444,0.6,0.47726682586710556,0.007253239540138845,0.007253239540138845,99.69778168582755,99.69778168582755
13.0,1.0,0.0,0.6095548897892642,0.6,0.6626046558102112,0.05304976602094702,0.05304976602094702,97.78959308246054,97.78959308246054
14.0,2.0,0.0,1.1302566678546984,0.6,1.0414871708775708,0.08876949697712755,0.08876949697712755,96.30127095928636,96.30127095928636
15.0,3.0,0.0,1.7783403166000327,0.6,1.8520456264176506,0.07370530981761791,0.07370530981761791,96.92894542426592,96.92894542426592
16.0,0.0,0.0,0.31677440758747577,0.6,0.31069719152802655,0.00607721605944922,0.00607721605944922,99.74678266418961,99.74678266418961
17.0,1.0,0.0,0.7433472783910116,0.6,0.7862505858334395,0.042903307442427985,0.042903307442427985,98.21236218989884,98.21236218989884
18.0,2.0,0.0,1.1596195093997697,0.6,1.1654496800361045,0.0058301706363348416,0.0058301706363348416,99.75707622348605,99.75707622348605
19.0,3.0,0.0,1.5289457615274644,0.6,1.6233681688466413,0.09442240731917684,0.09442240731917684,96.06573302836763,96.06573302836763
20.0,0.0,0.0,0.2144821975466184,0.6,0.21567092679323413,0.0011887292466157273,0.0011887292466157273,99.95046961472434,99.95046961472434
21.0,1.0,0.0,0.6401155746570739,0.6,0.6995465965278775,0.059431021870803624,0.059431021870803624,97.52370742204985,97.52370742204985
22.0,2.0,0.0,1.2502299641904577,0.6,1.2704539569691313,0.020223992778673594,0.020223992778673594,99.15733363422193,99.15733363422193
23.0,3.0,0.0,1.7475652150929597,0.6,1.6200958594897024,0.12746935560325734,0.12746935560325734,94.68877684986428,94.68877684986427
24.0,0.0,0.0,0.41038769646317796,0.6,0.3783531065000194,0.032034589963158555,0.032034589963158555,98.66522541820173,98.66522541820173
25.0,1.0,1.0,0.9985143232651938,0.7,1.075103408853863,0.07658908558866906,0.07658908558866906,96.80878810047213,96.80878810047211
26.0,2.0,1.0,1.0133760850178088,0.7,1.110647804443384,0.09727171942557522,0.09727171942557522,95.94701169060103,95.94701169060103
27.0,3.0,1.0,1.7928255034592744,0.7,1.9639744838973712,0.1711489804380968,0.1711489804380968,92.86879248174597,92.86879248174597
28.0,0.0,1.0,0.27405769287595694,0.7,0.26633916355209447,0.007718529323862466,0.007718529323862466,99.67839461150574,99.67839461150572
29.0,1.0,1.0,0.864020947243078,0.7,0.9000021167467558,0.0359811695036778,0.0359811695036778,98.50078460401342,98.50078460401342
30.0,2.0,1.0,1.2637940441814173,0.7,1.2583982402583045,0.005395803923112785,0.005395803923112785,99.77517483653696,99.77517483653698
31.0,3.0,1.0,1.6997608584165793,0.7,1.7477551476081863,0.047994289191606976,0.047994289191606976,98.00023795034971,98.00023795034971
32.0,0.0,1.0,0.14602218708922632,0.7,0.15022549673858784,0.004203309649361525,0.004203309649361525,99.82486209794327,99.82486209794327
33.0,1.0,1.0,0.514509049933394,0.7,0.54900756792444,0.034498517991046085,0.034498517991046085,98.56256175037308,98.56256175037308
34.0,2.0,1.0,1.082683789084095,0.7,1.1548590080046086,0.0721752189205136,0.0721752189205136,96.99269921164526,96.99269921164526
35.0,3.0,1.0,1.7799505634198647,0.7,1.5618099349099968,0.21814062850986793,0.21814062850986793,90.91080714542217,90.91080714542217
36.0,0.0,1.0,0.005213560093401848,0.7,-9.277281160588355e-05,0.0053063329050077315,0.0053063329050077315,99.77890279562467,99.77890279562467
