episode,steps_completed,total_reward,final_pose_error,avg_fatigue,force_scale,activation_slowdown,avg_exo_action,avg_exo_torque,task_solved,episode_MF,episode_MA,episode_MR
0,100,644.5488734733048,0.03015808614371185,0.5109628984258922,0.8535670507345021,2.5594211402378675,0.989928,0.989928,True,[0.28   0.3769 0.7745 0.0719 0.9927 0.5697],[0.6973 0.189  0.1881 0.5775 0.0023 0.3157],[0.0228 0.4341 0.0375 0.3506 0.005  0.1145]
1,100,731.7433948290897,0.03036668859783731,0.6720218445454599,0.8933433427137629,2.8504090442207497,0.99101776,0.99101776,True,[0.9417 0.7068 0.814  0.0373 0.5875 0.9448],[0.0467 0.2852 0.0771 0.5575 0.226  0.0465],[0.0116 0.008  0.109  0.4052 0.1865 0.0088]
2,100,630.1813878274843,0.03019352383796159,0.756859047377274,0.8822984427920906,2.989910685189194,0.9894488,0.9894488,True,[0.3496 0.9866 0.9138 0.818  0.8374 0.6357],[0.1658 0.0036 0.0089 0.0082 0.0716 0.2725],[0.4846 0.0098 0.0772 0.1738 0.091  0.0918]
3,100,554.8490805062903,0.030490615009494793,0.4016449443385877,0.8105246514863677,2.1343949840224883,0.96392286,0.96392286,True,[0.9935 0.2825 0.2732 0.3154 0.4983 0.047 ],[0.0015 0.3126 0.4722 0.5409 0.4355 0.4043],[0.005  0.4049 0.2546 0.1437 0.0662 0.5488]
4,100,460.3338179915295,0.030593186831246566,0.48237609453764513,0.8157976875744255,2.631588135657661,0.98683304,0.98683304,True,[0.7094 0.5536 0.5275 0.4151 0.5855 0.1032],[0.1629 0.2213 0.2502 0.2345 0.3823 0.4311],[0.1277 0.2251 0.2224 0.3504 0.0321 0.4657]
5,100,565.750150858541,0.03014826966865458,0.4364871353683358,0.8802156898755805,2.1917900565080237,0.94177574,0.94177574,True,[0.1897 0.7101 0.1222 0.7388 0.535  0.3231],[0.6794 0.2146 0.1738 0.222  0.325  0.6009],[0.1309 0.0753 0.704  0.0392 0.14   0.076 ]
6,100,643.7879778527976,0.030152581988771132,0.5983345673954066,0.891286795520274,2.871732539205269,0.98590714,0.98590714,True,[0.6277 0.7312 0.3946 0.7739 0.7109 0.3517],[0.3695 0.2085 0.3448 0.1711 0.1023 0.238 ],[0.0028 0.0603 0.2606 0.055  0.1868 0.4103]
7,100,606.999755322885,0.030206044529699216,0.4988992807594376,0.8049830535792954,2.4809402314920543,0.9358758,0.9358758,True,[0.4463 0.9075 0.8621 0.2514 0.0855 0.4406],[0.4957 0.0128 0.0902 0.1475 0.3697 0.5352],[0.058  0.0797 0.0477 0.601  0.5448 0.0242]
8,100,727.6429499033867,0.03041850087744047,0.4596093723084154,0.869834278884051,2.811958045796747,0.9941355,0.9941355,True,[0.3583 0.2539 0.9752 0.1937 0.5373 0.4393],[0.2336 0.1098 0.0226 0.7793 0.0518 0.2324],[0.4081 0.6363 0.0023 0.027  0.4109 0.3283]
9,100,557.6705816178625,0.030360639155245117,0.6232472953367865,0.844518347513418,2.4272438950005846,0.9743904,0.9743904,True,[0.6476 0.8197 0.1728 0.8965 0.5711 0.6317],[0.2555 0.0237 0.6783 0.0721 0.3731 0.0394],[0.097  0.1565 0.1489 0.0314 0.0558 0.3289]
