set,step,latency_ms
0,0,21.784699987620115
0,1,1.6139000072143972
0,2,1.3266999885672703
0,3,1.1614999966695905
0,4,1.827999993111007
0,5,1.1680000025080517
0,6,1.8719000072451308
0,7,1.0964999964926392
0,8,2.217100001871586
0,9,1.112400001147762
0,10,1.8813000060617924
0,11,1.1077000090153888
0,12,1.9834999984595925
0,13,1.0970000002998859
0,14,1.7284999921685085
0,15,1.0926999966613948
0,16,1.9210000027669594
0,17,1.121999986935407
0,18,2.043399988906458
0,19,1.0840999893844128
0,20,2.0318000024417415
0,21,1.0916000028373674
0,22,1.113600010285154
0,23,1.0821000032592565
0,24,1.141300002927892
0,25,1.1212999961571768
0,26,1.2401999993016943
0,27,1.1004999978467822
0,28,1.0516999900573865
0,29,1.087500000721775
0,30,1.3246000016806647
0,31,1.1470000026747584
0,32,1.1572999937925488
0,33,2.256499996292405
0,34,1.1028000008082017
0,35,1.8111000099452212
0,36,1.0525999969104305
0,37,1.3813999976264313
0,38,1.101600006222725
0,39,1.3605999993160367
0,40,1.075499996659346
0,41,1.0563999967416748
0,42,1.8763999978546053
0,43,1.0598999942885712
0,44,5.6072000006679446
0,45,1.0819000017363578
0,46,1.105000003008172
0,47,1.8558000010671094
0,48,1.0853999992832541
0,49,2.2139000066090375
0,50,1.1098999966634437
0,51,1.1085000005550683
0,52,1.1304999934509397
0,53,1.139500003773719
0,54,1.1327999964123592
0,55,1.1199000000488013
0,56,1.0565000120550394
0,57,1.1642999888863415
0,58,1.095800005714409
0,59,1.5192999999271706
0,60,1.0863000061362982
0,61,1.858400006312877
0,62,1.037399997585453
0,63,1.261900004465133
0,64,1.3132000021869317
0,65,1.0574999905657023
0,66,1.037099995301105
0,67,1.1009000008925796
0,68,1.0718000121414661
0,69,1.095200001145713
0,70,1.083199997083284
0,71,1.3484999944921583
0,72,1.66680000256747
0,73,1.1746999953174964
0,74,1.1095999943790957
0,75,1.091800004360266
0,76,1.6567999991821125
0,77,1.073699997505173
0,78,1.927300007082522
0,79,1.502200000686571
0,80,1.0746000043582171
0,81,2.4744999973336235
0,82,3.1949999975040555
0,83,1.9240999972680584
0,84,2.561699991929345
0,85,1.1035999923478812
0,86,1.0655999940354377
0,87,1.516999996965751
0,88,1.0886000090977177
0,89,1.4579999988200143
0,90,1.0384000051999465
0,91,1.0784000041894615
0,92,1.5506999916397035
0,93,1.448099996196106
0,94,1.0899000044446439
0,95,2.3252999963006005
0,96,1.065399992512539
0,97,2.484800003003329
0,98,1.1055000068154186
0,99,1.6059000045061111
1,0,1.1579999991226941
1,1,1.6636000073049217
1,2,1.1068999883718789
1,3,1.931999999214895
1,4,1.078899993444793
1,5,1.570799999171868
1,6,1.0672999924281612
1,7,1.6598000074736774
1,8,1.1971999920206144
1,9,1.1468000011518598
1,10,1.0698999976739287
1,11,1.0461999918334186
1,12,2.0011000015074387
1,13,1.1165000032633543
1,14,1.5779999957885593
1,15,1.1328000109642744
1,16,1.0599000088404864
1,17,1.0701999999582767
1,18,1.129999989643693
1,19,1.109300006646663
1,20,1.0461999918334186
1,21,2.0401000074343756
1,22,2.223699993919581
1,23,2.0666000054916367
1,24,1.6743999876780435
1,25,1.9447999948170036
1,26,1.3296999968588352
1,27,1.1651999957393855
1,28,1.4106999879004434
1,29,1.7222000024048612
1,30,1.1699000024236739
1,31,1.429299998562783
1,32,1.065600008587353
1,33,1.8564000056358054
1,34,1.03270000545308
1,35,1.7635999975027516
1,36,1.1119000118924305
1,37,1.0823999909916893
1,38,1.2712000025203452
1,39,1.19270000141114
1,40,1.7651000089244917
1,41,1.032400003168732
1,42,1.0949999996228144
1,43,1.1119000118924305
1,44,1.0750999936135486
1,45,1.7168000049423426
1,46,1.1285999935353175
1,47,1.8407000025035813
1,48,1.0878999892156571
1,49,1.6220999968936667
1,50,1.1073999921791255
1,51,1.286599988816306
1,52,1.839699994889088
1,53,1.0742000013124198
1,54,1.0962999949697405
1,55,1.719399995636195
1,56,1.262899997527711
1,57,1.2401999993016943
1,58,1.101099987863563
1,59,1.1021999962395057
1,60,1.084100003936328
1,61,1.0678000107873231
1,62,1.8674000020837411
1,63,1.069999998435378
1,64,1.46159999712836
1,65,1.116700004786253
1,66,1.0996000055456534
1,67,1.8808999884640798
1,68,1.1516999948071316
1,69,1.226599997607991
1,70,1.056100009009242
1,71,1.102599999285303
1,72,1.7097999952966347
1,73,1.0864999931072816
1,74,1.6544000100111589
1,75,1.0825000063050538
1,76,1.0777999996207654
1,77,1.2589999969350174
1,78,1.0836000001290813
1,79,1.7924999992828816
1,80,1.2426000030245632
1,81,1.1889999877894297
1,82,1.02530000731349
1,83,1.1924999998882413
1,84,1.931699996930547
1,85,1.070900005288422
1,86,1.269600004889071
1,87,1.4707000082125887
1,88,0.985999999102205
1,89,1.756300000124611
1,90,0.9938000002875924
1,91,1.028400001814589
1,92,1.291799999307841
1,93,1.0268000041833147
1,94,1.5469999925699085
1,95,1.0557999921729788
1,96,1.4765000087209046
1,97,0.9948999941116199
1,98,1.7688000079942867
1,99,1.001399999950081
2,0,1.1184999893885106
2,1,1.2955000129295513
2,2,1.942799994139932
2,3,1.0032999998657033
2,4,1.84679999074433
2,5,1.0116999910678715
2,6,1.686199990217574
2,7,1.0257999965688214
2,8,1.4248000079533085
2,9,1.0392999975010753
2,10,1.6982999950414523
2,11,1.0080000065499917
2,12,1.5716000052634627
2,13,0.9894000104395673
2,14,1.7137999966507778
2,15,0.9959000017261133
2,16,1.7063999985111877
2,17,1.0103999957209453
2,18,1.6222000122070312
2,19,1.0312000085832551
2,20,1.6169000009540468
2,21,1.0207000013906509
2,22,1.7627000052016228
2,23,1.0215999936917797
2,24,1.7537999956402928
2,25,1.0034000006271526
2,26,1.6788000066298991
2,27,1.1360999924363568
2,28,1.7290999967372045
2,29,1.0032999998657033
2,30,2.1089000074425712
2,31,1.010299994959496
2,32,1.1328000109642744
2,33,1.1563000007299706
2,34,1.6018000023905188
2,35,1.0039999906439334
2,36,1.0393999982625246
2,37,0.9955000132322311
2,38,1.0897999891312793
2,39,1.0015000007115304
2,40,1.5244000096572563
2,41,0.9910999942803755
2,42,1.9757999980356544
2,43,0.9788000024855137
2,44,1.560999997309409
2,45,2.949399990029633
2,46,1.6051000129664317
2,47,1.0439000034239143
2,48,1.5380999975604936
2,49,1.061399991158396
2,50,1.9139999931212515
2,51,2.1646999957738444
2,52,1.0660000116331503
2,53,1.530199995613657
2,54,1.2552999978652224
2,55,1.0360999876866117
2,56,1.0496000031707808
2,57,0.9983999916585162
2,58,1.8280000076629221
2,59,1.036100002238527
2,60,1.5008000045781955
2,61,0.9902999881887808
2,62,1.7548000032547861
2,63,1.0909999982686713
2,64,1.6703000001143664
2,65,1.010899999528192
2,66,1.6562999953748658
2,67,1.0843000054592267
2,68,1.8462000007275492
2,69,1.1193999962415546
2,70,1.4168000052450225
2,71,3.2741000031819567
2,72,1.8457999976817518
2,73,1.068499987013638
2,74,1.1292000126559287
2,75,1.9885000074282289
2,76,1.008100007311441
2,77,1.2987999944016337
2,78,0.9932999964803457
2,79,1.2614000006578863
2,80,1.0630999895511195
2,81,1.0060999920824543
2,82,1.0084999958053231
2,83,1.0043000074801967
2,84,1.0065000096801668
2,85,1.0080999927595258
2,86,0.9903000027406961
2,87,1.1152000079164281
2,88,1.5927000058582053
2,89,1.0251999920001253
2,90,1.732900011120364
2,91,0.9756000072229654
2,92,1.4979999978095293
2,93,0.9995000000344589
2,94,1.4258000010158867
2,95,0.9940000018104911
2,96,1.5652000001864508
2,97,1.0892999998759478
2,98,1.0608000011416152
2,99,1.1002999963238835
3,0,1.6330000071320683
3,1,1.1129999911645427
3,2,1.2361999979475513
3,3,1.1543000000528991
3,4,1.0095000034198165
3,5,1.0026000090874732
3,6,1.119499997003004
3,7,1.0857000015676022
3,8,1.1048999876948074
3,9,1.0036999883595854
3,10,1.5006000030552968
3,11,1.086599993868731
3,12,1.2578000023495406
3,13,1.0160999954678118
3,14,0.9942999895429239
3,15,1.3952000008430332
3,16,1.3623000122606754
3,17,1.199499994982034
3,18,1.0018000029958785
3,19,1.1589999921852723
3,20,0.9894999966491014
3,21,1.2630999990506098
3,22,1.012100008665584
3,23,1.4932000049157068
3,24,1.0076000035041943
3,25,1.09119999979157
3,26,1.013999994029291
3,27,1.0036000021500513
3,28,1.1230999953113496
3,29,1.0505000100238249
3,30,1.2672000011662021
3,31,1.1539999977685511
3,32,1.4096999948378652
3,33,1.0134000040125102
3,34,1.087800003006123
3,35,0.982600002316758
3,36,1.0021000052802265
3,37,1.451499992981553
3,38,0.9888000058708712
3,39,1.7301000043516979
3,40,0.9787999879335985
3,41,1.6307000041706488
3,42,1.00449999445118
3,43,0.9914999973261729
3,44,1.1851000017486513
3,45,1.3476000021910295
3,46,1.0309999925084412
3,47,1.0624999995343387
3,48,1.1234000121476129
3,49,1.0889000113820657
3,50,1.0507999977562577
3,51,1.9868000090355054
3,52,1.3723999873036519
3,53,1.247499996679835
3,54,1.2978000013390556
3,55,1.345900003798306
3,56,2.060500002698973
3,57,1.0577999928500503
3,58,1.1488000018289313
3,59,1.7265999922528863
3,60,1.1392999876989052
3,61,1.1267000081716105
3,62,1.2678999919444323
3,63,2.0875999907730147
3,64,1.1973999935435131
3,65,1.3436000008368865
3,66,1.3384999911068007
3,67,2.2037000017007813
3,68,1.3760000001639128
3,69,1.9291000062366948
3,70,2.204200005508028
3,71,1.8492999952286482
3,72,1.2719000078504905
3,73,1.847000006819144
3,74,1.2795000075129792
3,75,1.5260000072885305
3,76,1.688900010776706
3,77,1.311799991526641
3,78,1.7497000080766156
3,79,1.0504000092623755
3,80,1.2217000039527193
3,81,1.4128000038908795
3,82,1.1804000096162781
3,83,1.0151000024052337
3,84,1.6979999927571043
3,85,1.0756999981822446
3,86,1.1202000023331493
3,87,1.0868000099435449
3,88,1.0851999977603555
3,89,1.182899999548681
3,90,1.0802999895531684
3,91,1.5578000020468608
3,92,1.0064000089187175
3,93,1.2494999973569065
3,94,1.004199992166832
3,95,1.183200001833029
3,96,1.7410000000381842
3,97,1.134599995566532
3,98,1.1513000063132495
3,99,1.9442000048002228
4,0,2.8319999983068556
4,1,1.0572000028332695
4,2,1.5050000074552372
4,3,2.13130000338424
4,4,1.1412999883759767
4,5,1.1223000037716702
4,6,1.103800008422695
4,7,1.7087000014726073
4,8,1.0609000019030645
4,9,1.44749999162741
4,10,1.4478000084636733
4,11,1.102299997000955
4,12,1.129999989643693
4,13,1.104700000723824
