set,step,latency_ms
0,0,0.6656999903498217
0,1,0.6455999973695725
0,2,0.5237000004854053
0,3,0.6296000065049157
0,4,0.6203999946592376
0,5,0.5113999941386282
0,6,0.5160000000614673
0,7,0.49679999938234687
0,8,0.4862999921897426
0,9,0.5553000082727522
0,10,0.5853000038769096
0,11,0.5010999884689227
0,12,0.5056999943917617
0,13,0.5166000046301633
0,14,0.5208999937167391
0,15,0.4988000000594184
0,16,0.5003999976906925
0,17,0.8665999921504408
0,18,0.5397999921115115
0,19,0.5207999929552898
0,20,0.5013999907532707
0,21,0.6007000047247857
0,22,0.6341999978758395
0,23,0.4974000039510429
0,24,0.4955999902449548
0,25,0.541799992788583
0,26,0.5075000080978498
0,27,0.4896000027656555
0,28,0.49440001021139324
0,29,0.535300001502037
0,30,0.5072999920230359
0,31,0.5593999958364293
0,32,0.9095999994315207
0,33,0.5264000064926222
0,34,0.5100999987917021
0,35,0.54519998957403
0,36,0.6108999950811267
0,37,0.5056000081822276
0,38,0.5576999974437058
0,39,0.5979999987175688
0,40,0.5794000026071444
0,41,0.5470999894896522
0,42,0.5949999904260039
0,43,0.6138000026112422
0,44,0.497799992444925
0,45,0.7469999982276931
0,46,0.5348999984562397
0,47,0.5655999993905425
0,48,0.6905000045662746
0,49,0.7335999980568886
0,50,0.7270000060088933
0,51,0.6571000121766701
0,52,0.603599997702986
0,53,0.5929999897489324
0,54,0.6859999994048849
0,55,0.6410999922081828
0,56,0.5447000003186986
0,57,0.5513000069186091
0,58,0.6242000090423971
0,59,0.5563000013353303
0,60,0.5136999971000478
0,61,0.5801000079372898
0,62,0.5739999905927107
0,63,0.5401999951573089
0,64,0.7560999947600067
0,65,0.5497999954968691
0,66,0.5230999959167093
0,67,0.5100999987917021
0,68,0.5661000031977892
0,69,0.5170999938854948
0,70,0.48740000056568533
0,71,0.676199997542426
0,72,0.5717999883927405
0,73,0.5137999978614971
0,74,0.48269999388139695
0,75,0.5718000029446557
0,76,0.5066000012448058
0,77,0.5256000004010275
0,78,0.6338000093819574
0,79,0.5628000071737915
0,80,0.5665999924531206
0,81,0.7883000071160495
0,82,0.5576999974437058
0,83,0.5422999965958297
0,84,0.5938999966019765
0,85,0.49020000733435154
0,86,0.484500007587485
0,87,0.8110999915516004
0,88,0.5506000015884638
0,89,0.5261999904178083
0,90,0.527299998793751
0,91,0.7125999982235953
0,92,0.7080000068526715
0,93,0.5103000003146008
0,94,0.8500000112690032
0,95,0.5688999954145402
0,96,0.4982999962521717
0,97,0.5137999978614971
0,98,0.5633999971905723
0,99,0.5242999905021861
1,0,0.589400005992502
1,1,0.7437999884132296
1,2,0.5383000097936019
1,3,0.5409000004874542
1,4,0.526399991940707
1,5,0.5582000012509525
1,6,0.5247000080998987
1,7,0.494699997943826
1,8,0.5352000007405877
1,9,0.5176999984541908
1,10,0.490699996589683
1,11,0.5625000048894435
1,12,0.5303000070853159
1,13,0.5073000065749511
1,14,0.5701999907614663
1,15,0.5071999912615865
1,16,0.5031000036979094
1,17,0.5957999965175986
1,18,0.5840999947395176
1,19,0.48909999895840883
1,20,0.491300001158379
1,21,0.5856000061612576
1,22,0.4749000072479248
1,23,0.4954000032739714
1,24,0.5150999932084233
1,25,0.538399996003136
1,26,0.505499992868863
1,27,0.4898000042885542
1,28,0.5355000030249357
1,29,0.5030999891459942
1,30,0.5049000028520823
1,31,0.7986999989952892
1,32,0.5234999989625067
1,33,0.4945000109728426
1,34,0.4971000016666949
1,35,0.5779000057373196
1,36,0.49640001088846475
1,37,0.5011000030208379
1,38,0.7428999961121008
1,39,0.5066000012448058
1,40,0.5153999954927713
1,41,0.7361000025412068
1,42,0.6915999983903021
1,43,0.6579999899258837
1,44,0.6561000045621768
1,45,0.5056999943917617
1,46,0.5655999993905425
1,47,0.5016000068280846
1,48,0.49109999963548034
1,49,0.5034000059822574
1,50,0.5231999966781586
1,51,0.5077999958302826
1,52,0.486999997519888
1,53,0.48889999743551016
1,54,0.5757000035373494
1,55,0.5194999976083636
1,56,0.49649999709799886
1,57,0.4881999921053648
1,58,0.5956999957561493
1,59,0.49229999422095716
1,60,0.5091999919386581
1,61,0.4886999959126115
1,62,0.5895000067539513
1,63,0.5448000010801479
1,64,0.5150999932084233
1,65,0.7895000017015263
1,66,0.7822000043233857
1,67,0.710300009814091
1,68,0.5729000113205984
1,69,0.5160000000614673
1,70,0.4886999959126115
1,71,0.5190999945625663
1,72,0.5570999928750098
1,73,0.483900003018789
1,74,0.5098999972688034
1,75,0.5594999965978786
1,76,0.5870000022696331
1,77,0.5544000014197081
1,78,0.5364999960875139
1,79,0.5391000013332814
1,80,0.607900001341477
1,81,0.7653999928152189
1,82,0.5057999951532111
1,83,0.5035999929532409
1,84,0.5037999944761395
1,85,0.6294999911915511
1,86,0.5548000044655055
1,87,0.5127000040374696
1,88,0.5678000015905127
1,89,0.6311999895842746
1,90,0.5457999941427261
1,91,0.7435000006807968
1,92,0.6024999893270433
1,93,0.5696000007446855
1,94,0.49760000547394156
1,95,0.7181999972090125
1,96,0.5133999948156998
1,97,0.4837000014958903
1,98,0.8818000060273334
1,99,0.5008000007364899
2,0,0.5520999984582886
2,1,0.5989000055706128
2,2,0.5174999969312921
2,3,0.6101000035414472
2,4,0.5490999901667237
2,5,0.8776000031502917
2,6,0.5006999999750406
2,7,0.5204000044614077
2,8,0.5534999945666641
2,9,0.5313999863574281
2,10,0.48919999971985817
2,11,0.4867999959969893
2,12,0.5437999934656546
2,13,0.5041999975219369
2,14,0.48349999997299165
2,15,0.5136000108905137
2,16,0.6703999970341101
2,17,0.5499999970197678
2,18,0.4895000020042062
2,19,0.4741000011563301
2,20,0.484200005303137
2,21,0.5035999929532409
2,22,0.599899998633191
2,23,0.5896999937249348
2,24,0.7501999934902415
2,25,0.4921999934595078
2,26,0.4869000113103539
2,27,0.48770000285003334
2,28,0.5278000026009977
2,29,0.5371000006562099
2,30,0.6292999896686524
2,31,0.48149999929592013
2,32,0.50149999151472
2,33,0.5235000135144219
2,34,0.5547000037040561
2,35,0.48609999066684395
2,36,0.4896000027656555
2,37,0.5154000100446865
2,38,0.552199999219738
2,39,0.519900000654161
2,40,0.5196999991312623
2,41,0.5126000032760203
2,42,0.5188000068301335
2,43,0.5970000056549907
2,44,0.5638000002363697
2,45,0.5759999912697822
2,46,0.4976999916834757
2,47,0.4825999931199476
2,48,0.5040999967604876
2,49,0.5425999988801777
2,50,0.4886999959126115
2,51,0.4828999954042956
2,52,0.49420000868849456
2,53,0.5546999891521409
2,54,0.5827999993925914
2,55,0.48609999066684395
2,56,0.4948999994667247
2,57,0.5044999998062849
2,58,0.5782000080216676
2,59,0.494399995659478
2,60,0.5120999994687736
2,61,0.5890000029467046
2,62,0.48800000513438135
2,63,0.4830999969271943
2,64,0.48889999743551016
2,65,0.5209999944781885
2,66,0.6174000009195879
2,67,0.49399999261368066
2,68,0.48230000538751483
2,69,0.6250000005820766
2,70,0.5298999894876033
2,71,0.7910999993328005
2,72,0.49330000183545053
2,73,0.6297999934758991
2,74,0.5050000036135316
2,75,0.48099999548867345
2,76,0.5572999943979084
2,77,0.49340000259689987
2,78,0.48160000005736947
2,79,0.5517000099644065
2,80,0.5234999989625067
2,81,0.8849000005284324
2,82,0.49259999650530517
2,83,0.5120000132592395
2,84,0.5172999954083934
2,85,0.5120999994687736
2,86,0.7113000028766692
2,87,0.4957000055583194
2,88,0.600500003201887
2,89,0.622600011411123
2,90,0.5340000061551109
2,91,0.6354000070132315
2,92,0.5180000007385388
2,93,0.632199997198768
2,94,0.4859999899053946
2,95,0.48439999227412045
2,96,0.4979999939678237
2,97,0.4824999923584983
2,98,0.7294999959412962
2,99,0.502099996083416
3,0,0.5864999984623864
3,1,0.5889000021852553
3,2,0.6292000034591183
3,3,0.5654999986290932
3,4,0.8877000072970986
3,5,0.5372000014176592
3,6,0.5018000083509833
3,7,0.5150999932084233
3,8,0.5555000097956508
3,9,0.5052999913459644
3,10,0.7440999906975776
3,11,0.5008000007364899
3,12,0.5010000022593886
3,13,0.4952999879606068
3,14,0.47899999481160194
3,15,0.5852999893249944
3,16,0.4999999946448952
3,17,0.5046000005677342
3,18,0.682699988828972
3,19,0.5455000064102933
3,20,0.487299999804236
3,21,0.4996000061510131
3,22,0.8292999991681427
3,23,0.5403999966802076
3,24,0.5803999956697226
3,25,0.5093999934615567
3,26,0.47640000411774963
3,27,0.48329999845009297
3,28,0.6064000044716522
3,29,0.4895000020042062
3,30,0.5385999975260347
3,31,0.5508000031113625
3,32,0.48719999904278666
3,33,0.49029999354388565
3,34,0.486999997519888
3,35,0.5801999941468239
3,36,0.49059999582823366
3,37,0.486999997519888
3,38,0.490399994305335
3,39,0.5879999953322113
3,40,0.49810000928118825
3,41,0.49140000191982836
3,42,0.48469999455846846
3,43,0.5066000012448058
3,44,0.5652999971061945
3,45,0.48940000124275684
3,46,0.5044999998062849
3,47,0.501799993799068
3,48,0.6212000007508323
3,49,0.5000999954063445
3,50,0.5879000091226771
3,51,0.6189999985508621
3,52,0.5902000120840967
3,53,0.5965999880572781
3,54,0.8382999949390069
3,55,0.5940999981248751
3,56,0.5384000105550513
3,57,0.5508000031113625
3,58,0.5635000125039369
