episode,step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
0,10,0.2,[1.],1.0,[2.0865],[3.0518],[15.1379  0.2753  0.1805  0.17    0.2952  0.2268  0.094 ],[0.0526 0.0413 0.0413 0.9201 0.0073 0.4294],2.937737099026362,-9.042450813409008,False,[0.2135],[0.0059 0.0049 0.006  0.924  0.0073 0.4294],[7.1479e-01 6.1919e-01 2.2180e-01 2.4280e-03 1.8264e-06 0.0000e+00],[0.2793 0.3759 0.7722 0.0736 0.9927 0.5706],0.5107088425978507,0.8535670507345021,2.5594211402378675,[1.     0.0059 0.0049 0.006  0.924  0.0073 0.4294]
0,11,0.22,[1.],1.0,[2.1507],[3.3459],[15.6043  0.2764  0.1816  0.171   0.2928  0.2244  0.0928],[0.0475 0.0374 0.0399 0.8998 0.0073 0.4294],7.017698055574526,-2.0247527578344826,True,[0.1493],[0.0045 0.0038 0.0274 0.8546 0.0073 0.4294],[7.1623e-01 6.2040e-01 2.0042e-01 7.1707e-02 1.8264e-06 1.0727e-06],[0.2792 0.3758 0.7722 0.0737 0.9927 0.5706],0.5107157355602032,0.8535670507345021,2.5594211402378675,[1.     0.0045 0.0038 0.0274 0.8546 0.0073 0.4294]
0,12,0.24,[1.],1.0,[2.2203],[3.5706],[16.1092  0.2775  0.1827  0.1722  0.2902  0.2218  0.0914],[0.043  0.0339 0.1383 0.7634 0.0073 0.4294],7.179937467829121,5.155184709994638,True,[0.0797],[0.0048 0.003  0.1753 0.4356 0.0073 0.4293],[7.1598e-01 6.2133e-01 5.2550e-02 4.9054e-01 1.8264e-06 0.0000e+00],[0.2792 0.3757 0.7722 0.0739 0.9927 0.5707],0.5107341282960838,0.8535670507345021,2.5594211402378675,[1.     0.0048 0.003  0.1753 0.4356 0.0073 0.4293]
0,13,0.26,[0.9928],0.9927962,[2.2853],[1.8096],[16.5806  0.2786  0.1838  0.1733  0.2879  0.2195  0.0901],[0.0417 0.0307 0.1978 0.6316 0.0073 0.4293],7.326450847378234,12.481635557372872,True,[0.0147],[0.0312 0.0024 0.2278 0.2651 0.0073 0.4292],[ 6.8961e-01  6.2206e-01 -6.9389e-18  6.6099e-01  1.8264e-06  1.0730e-06],[0.2792 0.3756 0.7722 0.0739 0.9927 0.5708],0.5107442586433332,0.8535670507345021,2.5594211402378675,[0.9928 0.0312 0.0024 0.2278 0.2651 0.0073 0.4292]
0,14,0.28,[1.],1.0,[2.2917],[-0.2981],[16.6273  0.2787  0.1839  0.1734  0.2877  0.2193  0.09  ],[0.0405 0.0277 0.2089 0.5381 0.0073 0.4176],7.396592228349125,19.878227785721997,True,[0.0083],[0.0303 0.0019 0.2151 0.2405 0.0073 0.3711],[6.9053e-01 6.2262e-01 1.2822e-02 6.8551e-01 1.8264e-06 5.8162e-02],[0.2792 0.3755 0.772  0.074  0.9927 0.5707],0.5106758468037343,0.8535670507345021,2.5594211402378675,[1.     0.0303 0.0019 0.2151 0.2405 0.0073 0.3711]
0,15,0.3,[1.],1.0,[2.2834],[-0.4133],[16.5669  0.2786  0.1838  0.1733  0.288   0.2196  0.0902],[0.0387 0.0251 0.1986 0.7048 0.0073 0.4236],7.277418875287879,27.155646661009875,True,[0.0166],[0.0229 0.0016 0.1392 0.926  0.0073 0.4292],[6.9797e-01 6.2307e-01 8.8905e-02 0.0000e+00 1.8264e-06 0.0000e+00],[0.2791 0.3754 0.7719 0.074  0.9927 0.5708],0.5106346158783093,0.8535670507345021,2.5594211402378675,[1.     0.0229 0.0016 0.1392 0.926  0.0073 0.4292]
0,16,0.32,[1.],1.0,[2.2768],[-0.2576],[16.5191  0.2785  0.1837  0.1731  0.2882  0.2198  0.0903],[0.0366 0.0227 0.1861 0.6894 0.0073 0.4264],7.282818272953596,34.43846493396347,True,[0.0232],[0.018  0.0013 0.1113 0.6464 0.0073 0.4291],[7.0300e-01 6.2343e-01 1.1697e-01 2.7941e-01 1.8264e-06 1.0731e-06],[0.279  0.3753 0.7717 0.0741 0.9927 0.5709],0.510610009476512,0.8535670507345021,2.5594211402378675,[1.     0.018  0.0013 0.1113 0.6464 0.0073 0.4291]
0,17,0.34,[1.],1.0,[2.2731],[-0.1347],[16.4922  0.2784  0.1836  0.1731  0.2883  0.2199  0.0904],[0.0343 0.0206 0.173  0.6785 0.0073 0.4277],7.28850634557894,41.72697127954241,True,[0.0269],[0.0143 0.0011 0.0929 0.6478 0.0073 0.4291],[7.0677e-01 6.2373e-01 1.3565e-01 2.7790e-01 1.8264e-06 0.0000e+00],[0.2789 0.3751 0.7715 0.0743 0.9927 0.5709],0.5105793682145872,0.8535670507345021,2.5594211402378675,[1.     0.0143 0.0011 0.0929 0.6478 0.0073 0.4291]
0,18,0.36,[1.],1.0,[2.2713],[-0.0656],[16.4787  0.2784  0.1836  0.1731  0.2884  0.22    0.0904],[0.0319 0.0187 0.1604 0.6698 0.0073 0.4284],7.294638796908411,49.02161007645082,True,[0.0287],[0.0116 0.001  0.0811 0.6448 0.0073 0.429 ],[7.0957e-01 6.2398e-01 1.4762e-01 2.8083e-01 1.8264e-06 1.0734e-06],[0.2789 0.375  0.7713 0.0744 0.9927 0.571 ],0.5105446375729259,0.8535670507345021,2.5594211402378675,"[1.0000e+00 1.1568e-02 9.8128e-04 8.1102e-02 6.4481e-01 7.2860e-03
 4.2898e-01]"
0,19,0.38,[1.],1.0,[2.2704],[-0.0306],[16.4723  0.2784  0.1836  0.173   0.2884  0.22    0.0904],[0.0297 0.0169 0.1487 0.6619 0.0073 0.4286],7.301026553757477,56.322636630208294,True,[0.0296],[0.0096 0.0009 0.0737 0.639  0.0073 0.4289],[7.1166e-01 6.2419e-01 1.5522e-01 2.8652e-01 1.8264e-06 0.0000e+00],[0.2788 0.3749 0.7711 0.0745 0.9927 0.5711],0.5105093811805915,0.8535670507345021,2.5594211402378675,"[1.0000e+00 9.5564e-03 8.7366e-04 7.3702e-02 6.3903e-01 7.2866e-03
 4.2890e-01]"
0,20,0.4,[1.],1.0,[2.27],[-0.0137],[16.4693  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0275 0.0154 0.1383 0.6545 0.0073 0.4287],7.307330153597377,63.62996678380567,True,[0.03],[0.0081 0.0008 0.0691 0.6328 0.0073 0.4288],[7.1323e-01 6.2438e-01 1.6004e-01 2.9264e-01 1.8264e-06 1.0737e-06],[0.2787 0.3748 0.7709 0.0746 0.9927 0.5712],0.5104736706688145,0.8535670507345021,2.5594211402378675,"[1.0000e+00 8.0625e-03 7.9307e-04 6.9087e-02 6.3281e-01 7.2871e-03
 4.2883e-01]"
0,21,0.42,[1.],1.0,[2.2698],[-0.0055],[16.4681  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0254 0.014  0.129  0.6476 0.0073 0.4287],7.31325476003295,70.94322154383862,True,[0.0302],[0.0069 0.0007 0.0662 0.6273 0.0073 0.4288],[7.1443e-01 6.2454e-01 1.6309e-01 2.9803e-01 1.8264e-06 0.0000e+00],[0.2786 0.3747 0.7707 0.0746 0.9927 0.5712],0.5104375943254894,0.8535670507345021,2.5594211402378675,"[1.0000e+00 6.9451e-03 7.3271e-04 6.6244e-02 6.2732e-01 7.2877e-03
 4.2875e-01]"
0,22,0.44,[1.],1.0,[2.2697],[-0.0012],[16.4676  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0235 0.0127 0.1208 0.6413 0.0073 0.4287],7.318649671092688,78.2618712149313,True,[0.0303],[0.0061 0.0007 0.0645 0.6227 0.0073 0.4287],[7.1534e-01 6.2470e-01 1.6500e-01 3.0256e-01 1.8264e-06 1.0739e-06],[0.2786 0.3746 0.7705 0.0747 0.9927 0.5713],0.5104012403022876,0.8535670507345021,2.5594211402378675,"[1.0000e+00 6.1044e-03 6.8750e-04 6.4534e-02 6.2270e-01 7.2882e-03
 4.2867e-01]"
0,23,0.46,[1.],1.0,[2.2697],[0.0004],[16.4676  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0217 0.0116 0.1137 0.6356 0.0073 0.4287],7.323483079458326,85.58535429438963,True,[0.0303],[0.0055 0.0007 0.0636 0.6187 0.0073 0.4286],[7.1606e-01 6.2483e-01 1.6618e-01 3.0644e-01 1.8264e-06 0.0000e+00],[0.2785 0.3745 0.7703 0.0748 0.9927 0.5714],0.5103646782539447,0.8535670507345021,2.5594211402378675,"[1.0000e+00 5.4689e-03 6.5362e-04 6.3560e-02 6.1873e-01 7.2887e-03
 4.2860e-01]"
0,24,0.48,[1.],1.0,[2.2697],[0.0006],[16.4677  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.02   0.0106 0.1075 0.6306 0.0073 0.4287],7.327738719464428,92.91309301385405,True,[0.0303],[0.005  0.0006 0.063  0.6155 0.0073 0.4285],[7.1662e-01 6.2497e-01 1.6690e-01 3.0960e-01 1.8264e-06 1.0742e-06],[0.2784 0.3744 0.7701 0.0749 0.9927 0.5715],0.5103279572949628,0.8535670507345021,2.5594211402378675,"[1.0000e+00 4.9859e-03 6.2824e-04 6.3046e-02 6.1548e-01 7.2893e-03
 4.2852e-01]"
0,25,0.5,[1.],1.0,[2.2698],[0.0005],[16.4678  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0185 0.0096 0.1021 0.6262 0.0073 0.4286],7.33143929419928,100.24453230805334,True,[0.0302],[4.6166e-03 6.0923e-04 6.2813e-02 6.1284e-01 7.2898e-03 4.2844e-01],[7.1706e-01 6.2509e-01 1.6734e-01 3.1215e-01 1.8264e-06 0.0000e+00],[0.2783 0.3743 0.7698 0.075  0.9927 0.5716],0.5102911178888093,0.8535670507345021,2.5594211402378675,"[1.0000e+00 4.6166e-03 6.0923e-04 6.2813e-02 6.1284e-01 7.2898e-03
 4.2844e-01]"
0,26,0.52,[1.],1.0,[2.2698],[0.0004],[16.4679  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0171 0.0088 0.0973 0.6223 0.0073 0.4286],7.334643667043661,107.579175975097,True,[0.0302],[4.3329e-03 5.9498e-04 6.2753e-02 6.1063e-01 7.2903e-03 4.2836e-01],[7.1743e-01 6.2521e-01 1.6761e-01 3.1426e-01 1.8264e-06 1.0745e-06],[0.2782 0.3742 0.7696 0.0751 0.9927 0.5716],0.5102541910732173,0.8535670507345021,2.5594211402378675,"[1.0000e+00 4.3329e-03 5.9498e-04 6.2753e-02 6.1063e-01 7.2903e-03
 4.2836e-01]"
0,27,0.54,[1.],1.0,[2.2698],[0.0004],[16.4679  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0158 0.0081 0.0933 0.619  0.0073 0.4285],7.337418719167744,114.91659469426475,True,[0.0302],[4.1141e-03 5.8430e-04 6.2971e-02 6.0873e-01 7.2909e-03 4.2829e-01],[ 7.1772e-01  6.2533e-01  1.6738e-01  3.1608e-01  1.8263e-06 -2.1176e-22],[0.2782 0.3741 0.7697 0.0752 0.9927 0.5717],0.510253129892047,0.8535670507345021,2.5594211402378675,"[1.0000e+00 4.1141e-03 5.8430e-04 6.2971e-02 6.0873e-01 7.2909e-03
 4.2829e-01]"
0,28,0.56,[1.],1.0,[2.2698],[0.0003],[16.468   0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0147 0.0074 0.0897 0.616  0.0073 0.4285],7.339826184022192,122.25642087828693,True,[0.0302],[3.9447e-03 5.7630e-04 6.3224e-02 6.0707e-01 7.2914e-03 4.2821e-01],[7.1797e-01 6.2544e-01 1.6712e-01 3.1764e-01 1.8263e-06 1.0748e-06],[0.2781 0.374  0.7697 0.0753 0.9927 0.5718],0.5102520124915964,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.9447e-03 5.7630e-04 6.3224e-02 6.0707e-01 7.2914e-03
 4.2821e-01]"
0,29,0.58,[1.],1.0,[2.2698],[0.0003],[16.468   0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0136 0.0068 0.0867 0.6135 0.0073 0.4284],7.341918734389134,129.59833961267606,True,[0.0302],[3.8130e-03 5.7030e-04 6.3420e-02 6.0563e-01 7.2919e-03 4.2813e-01],[7.1818e-01 6.2555e-01 1.6691e-01 3.1899e-01 1.8263e-06 0.0000e+00],[0.278  0.3739 0.7697 0.0754 0.9927 0.5719],0.5102508490656589,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.8130e-03 5.7030e-04 6.3420e-02 6.0563e-01 7.2919e-03
 4.2813e-01]"
