set,condition,step,time,jpos,jvel,exo_torque,exo_action_mag,mlen,act,ctrl,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown
0,PD+Exo,10,0.2,1.1031416124243016,4.871302004915999,0.7632408142089844,0.7632408,[8.2914 0.2679 0.1697 0.1588 0.3469 0.2761 0.1166],[0.0541 0.0287 0.0574 0.1192 0.0991 0.0457],[0.7632 0.072  0.005  0.0776 0.0888 0.0827 0.0433],7.845633653968265,14.236223974182586,True,[0.0026],[0.072  0.005  0.0776 0.0888 0.0827 0.0433],[0.0993 0.114  0.0978 0.0344 0.0185 0.0028],[0.8287 0.881  0.8246 0.8768 0.8988 0.9538],0.8772872529617199,0.8842548122881853,2.9594826055630277
0,PD+Exo,11,0.22,1.1908074495448453,3.958618166172274,0.0,0.0,[8.9503 0.2695 0.1712 0.1604 0.3436 0.2728 0.1152],[0.1326 0.034  0.1361 0.1129 0.0949 0.0444],[0.     0.1713 0.0359 0.1754 0.061  0.0582 0.0317],7.709152711096646,21.945376685279232,True,[-0.0851],[0.1713 0.0359 0.1754 0.061  0.0582 0.0317],[0.     0.0831 0.     0.0624 0.0432 0.0147],[0.8287 0.881  0.8246 0.8766 0.8985 0.9536],0.8771694019246107,0.8842548122881853,2.9594826055630277
0,PD+Exo,12,0.24,1.2589205955457483,2.9447303502247024,0.0,0.0,[9.4623 0.2707 0.1724 0.1615 0.341  0.2701 0.1141],[0.1569 0.092  0.1606 0.1055 0.0894 0.0424],[0.     0.1713 0.1171 0.1754 0.0431 0.0414 0.0231],7.611413816616682,29.556790501895915,True,[-0.1532],[0.1713 0.1171 0.1754 0.0431 0.0414 0.0231],[1.5580e-06 1.8717e-03 1.5502e-06 8.0513e-02 6.0335e-02 2.3526e-02],[0.8287 0.881  0.8246 0.8764 0.8983 0.9533],0.8770565780607819,0.8842548122881853,2.9594826055630277
0,PD+Exo,13,0.26,1.3064067426655985,1.9084154996355294,0.0,0.0,[9.8192 0.2715 0.1733 0.1624 0.3391 0.2682 0.1132],[0.1657 0.1099 0.1696 0.0977 0.0833 0.0401],[0.     0.1712 0.119  0.1753 0.0311 0.0299 0.0171],3.5543522709095647,33.11114277280548,False,[-0.2007],[0.1712 0.119  0.1753 0.0311 0.0299 0.0171],[7.5758e-07 0.0000e+00 7.3467e-07 9.2782e-02 7.2061e-02 2.9836e-02],[0.8288 0.881  0.8247 0.8761 0.898  0.9531],0.8769449402856145,0.8842548122881853,2.9594826055630277
0,PD+Exo,14,0.28,1.333368692567802,0.8952902354637238,0.0,0.0,[10.0218  0.272   0.1737  0.1628  0.338   0.2671  0.1128],[0.1691 0.1158 0.1731 0.0899 0.0772 0.0377],[0.     0.1712 0.119  0.1753 0.0227 0.0219 0.0128],3.5259663377449164,36.6371091105504,False,[-0.2276],[0.1712 0.119  0.1753 0.0227 0.0219 0.0128],[1.1689e-06 1.6563e-06 1.1639e-06 1.0138e-01 8.0308e-02 3.4455e-02],[0.8288 0.881  0.8247 0.8759 0.8978 0.9528],0.8768324937533164,0.8842548122881853,2.9594826055630277
0,PD+Exo,15,0.3,1.3405505663360449,-0.07158907859981484,0.0,0.0,[10.0758  0.2721  0.1739  0.163   0.3377  0.2668  0.1126],[0.1703 0.1179 0.1744 0.0825 0.0712 0.0351],[0.     0.1712 0.1189 0.1753 0.0168 0.0162 0.0096],3.520177483273682,40.15728659382408,False,[-0.2348],[0.1712 0.1189 0.1753 0.0168 0.0162 0.0096],[9.5778e-07 1.0653e-06 9.3827e-07 1.0755e-01 8.6247e-02 3.7890e-02],[0.8288 0.8811 0.8247 0.8756 0.8975 0.9525],0.8767194506503522,0.8842548122881853,2.9594826055630277
0,PD+Exo,16,0.32,1.3290207693707161,-0.9802637864276545,0.0,0.0,[9.9891 0.2719 0.1737 0.1628 0.3382 0.2673 0.1128],[0.1708 0.1185 0.1749 0.0755 0.0654 0.0326],[0.     0.1711 0.1189 0.1753 0.0125 0.0121 0.0073],3.5339178778355067,43.69120447165959,False,[-0.2233],[0.1711 0.1189 0.1753 0.0125 0.0121 0.0073],[1.0664e-06 1.2763e-06 1.0571e-06 1.1207e-01 9.0604e-02 4.0481e-02],[0.8289 0.8811 0.8247 0.8754 0.8973 0.9523],0.8766059911499511,0.8842548122881853,2.9594826055630277
0,PD+Exo,17,0.34,1.3000273799260191,-1.8234499672792748,0.0,0.0,[9.7712 0.2714 0.1731 0.1623 0.3393 0.2685 0.1134],[0.171  0.117  0.1751 0.069  0.06   0.0302],[0.     0.1711 0.1045 0.1752 0.0095 0.0091 0.0055],3.5657959618518493,47.257000433511436,False,[-0.1943],[0.1711 0.1045 0.1752 0.0095 0.0091 0.0055],[1.0108e-06 1.4655e-02 9.9475e-07 1.1540e-01 9.3842e-02 4.2462e-02],[0.8289 0.8809 0.8248 0.8751 0.897  0.952 ],0.8764511045109251,0.8842548122881853,2.9594826055630277
0,PD+Exo,18,0.36,1.254943828332345,-2.595553812486928,0.0,0.0,[9.4324 0.2706 0.1724 0.1615 0.3411 0.2703 0.1141],[0.1711 0.113  0.1752 0.0631 0.055  0.028 ],[0.     0.1711 0.0796 0.1752 0.008  0.0072 0.0047],7.614353408360377,54.871353841871816,True,[-0.1492],[0.1711 0.0796 0.1752 0.008  0.0072 0.0047],[1.0395e-06 3.9814e-02 1.0277e-06 1.1706e-01 9.6046e-02 4.3554e-02],[0.8289 0.8806 0.8248 0.8749 0.8968 0.9517],0.876295587333523,0.8842548122881853,2.9594826055630277
0,PD+Exo,19,0.38,1.1952557356474256,-3.2909969332759594,0.0,0.0,[8.9837 0.2696 0.1713 0.1604 0.3435 0.2726 0.1152],[0.1677 0.107  0.1726 0.0611 0.0505 0.0272],[0.     0.1435 0.0572 0.1544 0.0414 0.0068 0.0186],7.680124371642956,62.55147821351477,True,[-0.0895],[0.1435 0.0572 0.1544 0.0414 0.0068 0.0186],[0.0278 0.0624 0.021  0.0837 0.0966 0.0297],[0.8287 0.8804 0.8246 0.8749 0.8965 0.9517],0.876147301848318,0.8842548122881853,2.9594826055630277
