timestep,mean_reward
204288,81.4159
204800,81.1647
205312,93.2353
205824,83.6694
206336,92.8229
206848,106.3413
207360,115.3168
207872,133.6828
208384,141.8802
208896,142.0745
209408,160.2079
209920,156.2946
210432,155.7882
210944,145.4523
211456,153.0795
211968,155.4516
212480,151.9132
212992,149.3856
213504,160.8411
214016,167.7355
214528,164.9075
215040,159.9075
215552,161.4963
216064,158.7946
216576,156.5334
217088,153.9968
217600,138.2513
218112,124.5234
218624,130.6512
219136,139.7113
219648,141.5300
220160,140.3383
220672,140.7671
221184,143.6998
221696,149.3225
222208,136.3643
222720,155.8260
223232,134.3215
223744,129.0611
224256,124.8273
224768,123.1975
225280,124.8528
225792,115.9075
226304,119.0393
226816,109.6505
227328,105.7794
227840,104.1118
228352,116.8640
228864,120.4620
229376,118.3124
229888,122.2770
230400,118.1319
230912,125.6773
231424,124.3512
231936,125.6812
232448,124.2805
232960,127.9441
233472,128.0744
233984,131.8780
234496,134.3104
235008,140.8839
235520,148.1282
236032,149.1725
236544,145.5916
237056,137.9265
237568,150.1204
238080,156.1418
238592,142.6096
239104,146.5933
239616,151.4933
240128,146.0764
240640,147.9436
241152,137.0525
241664,139.9265
242176,141.7392
242688,133.6352
243200,130.7588
243712,131.0540
244224,139.7592
244736,129.5931
245248,123.3470
245760,122.8899
246272,142.0516
246784,148.0959
247296,149.3275
247808,146.3077
248320,147.7108
248832,130.6400
249344,121.9374
249856,115.8935
250368,104.0674
250880,111.6928
251392,109.2820
251904,119.3481
252416,115.9877
252928,123.5107
253440,109.9304
253952,108.3864
254464,116.3650
254976,109.6081
255488,109.6940
256000,99.9579
256512,78.7388
257024,88.8252
257536,87.8330
258048,92.5320
258560,86.8174
259072,92.1001
259584,93.8409
260096,92.2582
260608,89.7852
261120,88.1343
261632,80.6985
262144,83.1106
262656,88.7718
263168,100.5460
263680,90.4429
264192,94.5411
264704,95.2628
265216,81.1661
265728,83.2588
266240,79.7822
266752,76.0145
267264,64.3345
267776,75.1219
268288,67.9421
268800,76.5584
269312,92.9511
269824,95.2137
270336,94.5764
270848,95.1580
271360,110.1519
271872,119.7441
272384,105.7754
272896,114.1626
273408,108.5352
273920,104.5128
274432,101.9160
274944,98.9039
275456,109.0048
275968,100.4911
276480,112.9865
276992,124.2885
277504,121.4530
278016,126.3659
278528,138.0451
279040,121.8238
279552,121.7136
280064,125.6507
280576,141.0795
281088,140.7228
281600,120.3212
282112,126.1356
282624,124.1440
283136,129.8490
283648,142.3234
284160,134.6358
284672,144.5035
285184,158.6147
285696,173.5647
286208,187.0995
286720,189.2446
287232,182.6193
287744,184.3153
