seed,condition,task,assisted,mf_start,summed_activation,pearson_r,goal,final_angle
0,A,1,0,0.7000000000000001,91.78573660133272,0.7380504831717624,0,0.046864426980091224
0,A,2,0,0.6983688826915487,87.858468436621,0.6333354833330094,0,0.0030529310153905747
0,A,3,0,0.7009068213602235,86.31729820220401,0.7099187584073635,0,0.023597301208324303
0,A,4,0,0.7033973313472689,84.804204373719,0.43302675281597114,0,-6.60933484053472e-05
0,A,5,0,0.7058412789474396,83.31867734597402,-0.6593215674584083,0,-0.0001208069757075664
0,A,6,0,0.7082395146361397,81.86021588871431,-0.751690805045238,0,-0.00019782064339157577
0,A,7,0,0.7105928733582957,80.42832711270135,-0.7410089010501444,0,-0.00029288449675834993
0,A,8,0,0.7129021748119584,79.02252902724507,-0.7517963597469094,0,-0.00025910139918228377
0,A,9,0,0.7151682237267227,77.64234645973106,-0.757063069700489,0,-0.00019951333675697426
0,A,10,0,0.7173918101370688,76.28731465129962,-0.6392875035381237,0,-0.00010741555232762652
0,A,11,0,0.7195737096507036,74.9569751007447,-0.7443412782149458,0,-0.00029355012348612926
0,A,12,0,0.7217146837120098,73.65087932188034,-0.7508483822431704,0,-0.0001631121528421437
0,A,13,0,0.7238154798606796,72.36858644748217,-0.7568340895096052,0,-0.00025891497415945087
0,A,14,0,0.7258768319856271,71.1096634167047,-0.7645424837068384,0,-0.00021452504192426112
0,A,15,0,0.727899460574264,69.8736857359965,0.20282484841003973,0,-6.250147230324818e-05
0,A,16,0,0.7298840729572217,68.66025073193012,0.737367480921143,0,0.03579070947685559
0,A,17,0,0.7318313635486073,67.46893187337467,-0.7553756521482354,0,-0.00027538523997237043
0,A,18,0,0.7337420140818706,66.29932742223646,0.6804890019431264,0,0.005431869785380061
0,A,19,0,0.7356166938413634,65.15104159652918,0.7295292954658751,0,0.027096828655371868
0,A,20,0,0.7374560598896722,64.02368692720245,-0.726420573796144,0,-0.00011976241620089876
0,A,21,0,0.7392607572907978,62.91688277848121,-0.771843171883471,0,-0.00018621728536695508
0,A,22,0,0.7410314193292598,61.830254592239164,0.936628606024603,0,-1.577353738472812e-05
0,A,23,0,0.7427686677252012,60.763435757566874,0.5765461333248997,0,0.0007897910671566122
0,A,24,0,0.7444731128455642,59.71606545894833,-0.7746903299411569,0,-0.00021206076126343795
0,A,25,0,0.7461453539114088,58.687789733352204,-0.6065732231304752,0,-8.322454655393507e-05
0,A,26,0,0.7477859792014468,57.678261239698884,-0.7601312697551732,0,-0.0002783994207570697
0,A,27,0,0.7493955662518599,56.68713861165253,-0.7701468388744144,0,-0.0002483305501763495
0,A,28,0,0.7509746820524654,55.714086597979254,0.7182821113144979,0,0.015089413450896191
0,A,29,0,0.7525238832393044,54.758776464538805,0.673441504822805,0,0.0028796029937637837
0,A,30,0,0.7540437162837103,53.82088509159633,-0.715198621242244,0,-9.924550233990892e-05
0,A,31,0,0.7555347176779238,52.90009535032969,0.6960860106014252,0,0.00569239223973337
0,A,32,0,0.7569974141173224,51.99609588932546,-0.7720228160130513,0,-0.0002518198448437792
0,A,33,0,0.7584323226793174,51.10858080933079,0.7249847435676393,0,0.017099881993578668
0,A,34,0,0.759839950998988,50.2372503035162,-0.7247644539468757,0,-9.766329866553375e-05
0,A,35,0,0.7612207974415061,49.381809143020504,-0.7742541206366907,0,-0.0002493245130564722
0,A,36,0,0.7625753512714123,48.54196840573519,-0.3865087611260567,0,-6.044068358056937e-05
0,A,37,0,0.7639040928188018,47.717443586944974,-0.7860378002779673,0,-0.00019010893214788368
0,A,38,0,0.7652074936424764,46.90795595685016,-0.7854699972073428,0,-0.00020358312192730676
0,A,39,0,0.7664860166901136,46.11323161352339,-0.5313569437479128,0,-6.457829043339187e-05
0,A,40,0,0.7677401164555152,45.333001623342135,-0.7603931873689883,0,-0.000293401826861371
0,A,41,0,0.7689702391329812,44.5670016626066,-0.7602111832882202,0,-0.000294627082295937
0,A,42,0,0.7701768227688675,43.81497303937167,0.7294971088481427,0,0.016861841676700903
0,A,43,0,0.7713602974103729,43.07666081216991,-0.7893273876866105,0,-0.000159525195567222
0,A,44,0,0.7725210852516112,42.35181515506508,-0.7902324300084211,0,-0.0001898827421262288
0,A,45,0,0.7736596007770147,41.640190671386925,0.9286376448806185,0,-2.6340805832831624e-05
0,A,46,0,0.774776250902122,40.941546703843514,-0.7714922564463954,0,-0.0002707415634597315
0,A,47,0,0.7758714351117898,40.25564656758783,-0.770895630664033,0,-0.0002731682056010611
0,A,48,0,0.7769455455958846,39.5822581257236,0.9236035383110862,0,-2.5082312716045634e-06
0,A,49,0,0.7779989673824964,38.92115339407725,-0.7666084155157412,0,-0.00028541152088876393
0,A,50,0,0.779032078468718,38.27210829046782,0.7287897740452836,0,0.013873618257884923
0,A,51,0,0.7800452499490373,37.63490322772962,-0.7930724601362339,0,-0.00014663538521754473
0,A,52,0,0.7810388461413854,37.00932240729518,-0.7545936363390044,0,-0.00031355415988084756
0,A,53,0,0.782013224710881,36.39515404443096,-0.7875838905925305,0,-0.00012323511661926925
0,A,54,0,0.7829687367913182,35.792189960185745,-0.7959017580530735,0,-0.0001546651551707785
0,A,55,0,0.7839057271044331,35.200226182259684,-0.7945615786226209,0,-0.00019538708780610965
0,A,56,0,0.784824534076994,34.61906191045306,-0.7708716949684121,0,-0.00027950094053626456
0,A,57,0,0.7857254899557525,34.048500595884065,-0.7648541949513524,0,-0.000294152405538542
0,A,58,0,0.7866089209202962,33.48834885146139,-0.7974570250052578,0,-0.00014797246640071965
0,A,59,0,0.7874751471938408,32.93841686764014,-0.7961186040031276,0,-0.00019455961324701414
0,A,60,0,0.7883244831519978,32.39851836486867,-0.7822779276133509,0,-0.00010369850780812896
0,A,61,0,0.7891572374295576,31.86847041414154,-0.7853882082523318,0,-0.00010654216178713107
0,A,62,0,0.7899737130253209,31.348093516801327,-0.7909422794741973,0,-0.00011454888345752147
0,A,63,0,0.7907742074050179,30.837211305881702,-0.7870089035462711,0,-0.00023879850926058514
0,A,64,0,0.7915590126023461,30.335650670936595,-0.7453414025060714,0,-0.00033582868773371827
0,A,65,0,0.7923284153181641,29.843241646702456,0.7288648371104788,0,0.010301168942240178
0,A,66,0,0.793082697017874,29.359817446427037,-0.7549486870646384,0,-0.0003184478733603255
0,A,67,0,0.7938221340270255,28.885214161651867,-0.788471780455938,0,-0.0001032197081347405
0,A,68,0,0.7945469976251739,28.419270975720224,-0.7537174909990375,0,-0.0003214621198776683
0,A,69,0,0.7952575541380241,27.961830149747193,-0.7797735098567746,0,-0.0002637751164010436
0,A,70,0,0.7959540650278926,27.51273632068366,-0.76108970697795,0,-0.00030745037408185546
0,A,71,0,0.7966367869825167,27.071837653183618,-0.7963571872712427,0,-0.00011264658629530441
0,A,72,0,0.7973059720022428,26.638984245151008,-0.7942646554917981,0,-0.00022010848839345627
0,A,73,0,0.7979618674856227,26.214031161897903,-0.7627544027000319,0,-0.0003049527832448545
0,A,74,0,0.798604716313445,25.796835257897502,-0.7687300565402607,0,-7.798579722289656e-05
0,A,75,0,0.7992347569312347,25.387252492170727,-0.7859638355373947,0,-9.111484068261424e-05
0,A,76,0,0.7998522234302445,24.985143885230244,-0.7869994622259203,0,-0.0002469383552272208
0,A,77,0,0.8004573456269676,24.590373268598295,-0.7735375995739194,0,-0.00028251929976097614
0,A,78,0,0.8010503491411979,24.20280677209985,-0.8031670322636159,0,-0.0001829686510008255
0,A,79,0,0.8016314554726671,23.822313003528798,-0.7725954322077097,0,-0.0002853458674488195
0,A,80,0,0.802200882076279,23.448763086409432,-0.7878494879731547,0,-0.0002463088645249694
0,A,81,0,0.8027588424359715,23.08203025183952,-0.7956302136808328,0,-0.00022130638944056232
0,A,82,0,0.8033055461372314,22.721990186190713,-0.8045542970341155,0,-0.00017943319353503804
0,A,83,0,0.8038411989382821,22.368520728755193,-0.7423696348760694,0,-0.0003455275053298465
0,A,84,0,0.8043660028399736,22.021502298607274,-0.8062876605841074,0,-0.00012809013372237004
0,A,85,0,0.804880156154395,21.680817106667927,-0.771928343991248,0,-0.0002885712441111259
0,A,86,0,0.8053838535722346,21.34634943583641,-0.7902851043081648,0,-0.00024158547884245177
0,A,87,0,0.8058772862289096,21.017986100340714,-0.7726525524496964,0,-0.00028745790720375236
0,A,88,0,0.8063606417694898,20.69561570928827,-0.8079530428770613,0,-0.00015967002017889696
0,A,89,0,0.8068341044124322,20.379128962149228,-0.764661001208726,0,-0.00030507694522162183
0,A,90,0,0.8072978550121551,20.068418464735977,-0.7935848917011818,0,-0.0002328908360890204
0,A,91,0,0.8077520711204699,19.76337884998141,-0.8055550436755163,0,-0.00011126425119748379
0,A,92,0,0.8081969270468864,19.463906692786953,-0.806098860865717,0,-0.00011197423942745611
0,A,93,0,0.8086325939178227,19.169900525140445,-0.7134780349244813,0,-4.9165166997655885e-05
0,A,94,0,0.8090592397347306,18.881260409818815,-0.6168709478050665,0,-3.9349453607436374e-05
0,A,95,0,0.8094770294311595,18.597888596708017,-0.789542110594103,0,-0.00024699591389339023
0,A,96,0,0.80988612492878,18.31968902753645,-0.7791809790007629,0,-6.897552906850424e-05
0,A,97,0,0.810286685192383,18.046567261502542,-0.8066533200867444,0,-0.00018293661689604065
0,A,98,0,0.8106788662838742,17.77843060687325,-0.7227503856088117,0,-4.846097421199289e-05
0,A,99,0,0.8110628214152854,17.515188216996165,-0.789681272111405,0,-0.000247777131333439
0,A,100,0,0.8114387010008137,17.25675069255193,-0.746760323002322,0,-0.000340558277278272
0,A,101,0,0.8118066527079127,17.003030497761042,-0.759418921333002,0,-5.647165763690433e-05
0,A,102,0,0.8121668215074528,16.753941485385262,-0.7936640446702018,0,-0.00023685650894298844
0,A,103,0,0.8125193497229599,16.50939913839629,-0.7791677862694926,0,-0.0002759379218830036
0,A,104,0,0.8128643770789599,16.269320557766548,0.9281625473968806,0,-3.799066447294221e-06
0,A,105,0,0.8132020407484398,16.033624264715172,-0.8053089392290006,0,-0.00019511739284609652
0,A,106,0,0.813532475399439,15.802230237134552,-0.8076031065831062,0,-0.00018423415482920366
0,A,107,0,0.8138558132407924,15.575060059745518,-0.8068440753773245,0,-9.716077077165161e-05
