Wall time,Step,Value
1762051351.8154697,400,-36.0097770690918
1762051360.4551544,800,168.68142700195312
1762051369.586949,1200,198.9905548095703
1762051378.8541827,1600,263.6158752441406
1762051389.1706305,2000,242.0556640625
1762051399.0697126,2400,294.2483825683594
1762051409.9840143,2800,346.69818115234375
1762051420.3792102,3200,351.3102722167969
1762051429.9492123,3600,378.99053955078125
1762051437.0970998,4000,379.1106262207031
1762051443.2746294,4400,389.40570068359375
1762051450.9553268,4800,407.1280517578125
1762051457.328916,5200,394.5509948730469
1762051463.5888548,5600,396.69110107421875
1762051468.8983397,6000,390.5841064453125
1762051474.4527261,6400,376.6272277832031
1762051479.9951458,6800,375.7249755859375
1762051489.2920883,7200,369.47412109375
1762051494.9962647,7600,370.1993103027344
1762051500.5581517,8000,354.94580078125
1762051505.9801824,8400,367.9151306152344
1762051511.4426055,8800,376.719482421875
1762051516.861752,9200,388.47406005859375
1762051522.2654872,9600,398.8045654296875
1762051527.953056,10000,405.6424865722656
1762051534.7368267,10400,418.12200927734375
1762051545.53953,10800,423.8758239746094
1762051557.8330204,11200,415.4130859375
1762051568.606968,11600,406.0556335449219
1762051575.2688081,12000,411.7571716308594
1762051581.1603827,12400,407.4631652832031
1762051588.2198684,12800,395.97381591796875
1762051597.6442413,13200,390.70751953125
1762051607.9894626,13600,384.1495361328125
1762051614.5095515,14000,380.31549072265625
1762051620.546914,14400,380.4410705566406
1762051626.33654,14800,358.7048034667969
1762051632.2267554,15200,363.1304626464844
1762051638.1738455,15600,359.1269226074219
1762051644.1648278,16000,352.5683288574219
1762051650.4775481,16400,369.50335693359375
1762051656.80886,16800,361.5268249511719
1762051663.4799628,17200,368.6190490722656
1762051669.011862,17600,365.74322509765625
1762051675.0791428,18000,371.68994140625
1762051680.7363222,18400,364.9888610839844
1762051686.2375286,18800,363.9726867675781
1762051692.8905087,19200,353.8572998046875
1762051699.2692719,19600,330.89337158203125
1762051704.9752502,20000,328.6622619628906
1762051710.849649,20400,326.27978515625
1762051716.9302151,20800,323.376220703125
1762051723.3984215,21200,340.7861633300781
1762051729.9452229,21600,339.7207946777344
1762051735.7382789,22000,329.56939697265625
1762051742.313541,22400,327.81634521484375
1762051748.482863,22800,335.9479064941406
1762051754.7254093,23200,344.2939147949219
1762051761.8208022,23600,337.4491271972656
1762051767.8379655,24000,345.1178283691406
1762051773.498537,24400,338.2979431152344
1762051779.0091326,24800,354.8298034667969
1762051785.1976402,25200,353.93365478515625
1762051791.301334,25600,362.6273193359375
1762051797.5474148,26000,373.7612609863281
1762051804.0448885,26400,346.7259826660156
1762051810.4920895,26800,360.6679382324219
1762051816.4894044,27200,359.4287109375
1762051823.0433674,27600,359.6702880859375
1762051830.1504436,28000,376.4307556152344
1762051835.7506268,28400,382.0610656738281
