Wall time,Step,Value
1760936213.1448395,500,146.39256286621094
1760936214.6652436,1000,190.8498992919922
1760936216.2085834,1500,170.4238739013672
1760936217.6792433,2000,160.6754608154297
1760936219.346625,2500,134.72607421875
1760936221.307868,3000,109.5654525756836
1760936223.023317,3500,100.5678482055664
1760936224.9504483,4000,102.09081268310547
1760936227.5515227,4500,82.14761352539062
1760936229.224131,5000,83.8121109008789
1760936230.897913,5500,75.14407348632812
1760936232.2873878,6000,78.43072509765625
1760936234.110495,6500,75.25333404541016
1760936235.6338382,7000,88.6676254272461
1760936236.883472,7500,97.98233795166016
1760936238.1225128,8000,100.80310821533203
1760936239.6486166,8500,94.03551483154297
1760936240.9660864,9000,96.93122863769531
1760936242.3098242,9500,92.20073699951172
1760936243.6315753,10000,104.03937530517578
1760936245.0952628,10500,99.97187042236328
1760936246.5191286,11000,91.90513610839844
1760936247.941167,11500,97.72660064697266
1760936249.3098445,12000,93.40837860107422
1760936250.6585746,12500,103.03460693359375
1760936252.3459036,13000,110.59515380859375
1760936254.21245,13500,117.39596557617188
1760936255.9025333,14000,111.67088317871094
1760936257.3030937,14500,118.21428680419922
1760936258.5767903,15000,124.58885955810547
1760936259.8505201,15500,135.22462463378906
1760936261.1865005,16000,137.72474670410156
1760936262.4282799,16500,139.82998657226562
1760936263.6342063,17000,134.99453735351562
1760936264.8407164,17500,128.7129669189453
1760936266.0884411,18000,131.24111938476562
1760936267.3635087,18500,140.39541625976562
1760936268.5305083,19000,137.4415283203125
1760936269.8001873,19500,138.5090789794922
1760936271.2052455,20000,139.74244689941406
1760936272.4751909,20500,141.55801391601562
1760936273.8740854,21000,142.2709503173828
1760936275.3155324,21500,150.22994995117188
1760936276.5155504,22000,160.1778564453125
1760936277.8284144,22500,163.04714965820312
1760936279.0718253,23000,159.67733764648438
1760936280.2962554,23500,155.89056396484375
1760936281.657261,24000,172.6001739501953
1760936283.0106997,24500,182.02658081054688
1760936285.4991665,25000,186.61068725585938
1760936287.233099,25500,184.1614990234375
1760936288.4311104,26000,188.08859252929688
1760936289.7465246,26500,194.49905395507812
1760936290.9674861,27000,205.73194885253906
1760936292.3049817,27500,208.5361785888672
1760936293.6863964,28000,207.15309143066406
1760936294.9665053,28500,210.29342651367188
1760936296.161327,29000,216.1813507080078
1760936297.4250631,29500,232.38507080078125
1760936298.6198478,30000,234.15737915039062
1760936299.8573806,30500,237.20338439941406
1760936301.2114882,31000,243.8771209716797
1760936302.4893713,31500,243.61477661132812
1760936303.6762705,32000,248.79541015625
1760936304.8802512,32500,250.8942108154297
1760936306.4444535,33000,261.1771545410156
1760936308.4042225,33500,272.2610778808594
1760936309.9014833,34000,271.0043029785156
1760936311.2035255,34500,280.7237854003906
1760936312.570791,35000,286.37701416015625
1760936314.0446792,35500,286.88067626953125
1760936315.4517155,36000,291.9870910644531
1760936316.9920902,36500,300.49951171875
1760936318.3282268,37000,300.4771728515625
1760936319.6861434,37500,313.7758483886719
1760936320.9999514,38000,324.0586242675781
1760936322.3237998,38500,331.99212646484375
1760936323.6470668,39000,344.7621765136719
1760936324.9240415,39500,338.45635986328125
1760936326.2668834,40000,336.108154296875
1760936327.6286645,40500,347.08892822265625
1760936328.9406602,41000,351.52008056640625
1760936330.1192145,41500,347.9844055175781
1760936331.9568594,42000,348.56298828125
1760936333.4307349,42500,344.3371276855469
1760936334.7496173,43000,344.33978271484375
1760936336.2154686,43500,358.47491455078125
1760936337.5339878,44000,350.3281555175781
1760936338.8944142,44500,349.8249816894531
1760936340.1494675,45000,343.91400146484375
1760936341.5431886,45500,342.0506286621094
1760936342.8651905,46000,343.99810791015625
1760936344.2101753,46500,338.4182434082031
1760936345.77775,47000,327.8517761230469
1760936347.2370408,47500,325.9104309082031
1760936348.695395,48000,325.2069396972656
1760936350.2311776,48500,319.35467529296875
1760936351.9416163,49000,306.92425537109375
1760936353.8898623,49500,303.3915710449219
1760936355.4857209,50000,292.48565673828125
1760936357.2599068,50500,282.3809814453125
1760936358.788861,51000,280.6522216796875
1760936360.860391,51500,277.6549987792969
1760936362.489409,52000,272.41656494140625
1760936364.6626923,52500,266.3274230957031
1760936366.5828292,53000,260.8262634277344
1760936369.3741555,53500,238.22119140625
1760936371.509395,54000,245.3234405517578
1760936373.0937443,54500,241.09083557128906
1760936374.386792,55000,238.23870849609375
1760936375.8365135,55500,258.95733642578125
1760936377.4365664,56000,253.598388671875
1760936378.6732576,56500,266.40936279296875
1760936379.871179,57000,268.79986572265625
1760936381.078273,57500,263.3831787109375
1760936382.4224744,58000,261.7311706542969
1760936383.6401157,58500,258.9763488769531
1760936384.9401221,59000,269.3280944824219
1760936386.236706,59500,276.05169677734375
1760936387.7180266,60000,289.2129821777344
1760936389.0263515,60500,302.123779296875
1760936390.3108919,61000,307.3015441894531
1760936391.5858858,61500,305.9386291503906
1760936393.2752776,62000,305.1286926269531
1760936394.5225825,62500,311.407470703125
1760936395.7276635,63000,323.0660705566406
1760936397.12224,63500,327.1869812011719
1760936398.4227052,64000,332.9970703125
1760936399.7008452,64500,331.4309387207031
1760936400.9591088,65000,334.9541015625
1760936402.2347817,65500,324.16357421875
1760936403.532594,66000,330.6797790527344
1760936404.7870111,66500,317.517822265625
1760936405.9504526,67000,314.37091064453125
