Wall time,Step,Value
1762055858.6323833,400,242.1431427001953
1762055865.5610964,800,209.8254852294922
1762055871.8352714,1200,274.5218505859375
1762055878.0923283,1600,351.72650146484375
1762055884.3420641,2000,368.43609619140625
1762055890.5751483,2400,342.47247314453125
1762055896.8378026,2800,378.4401550292969
1762055903.1044853,3200,405.37249755859375
1762055909.4023328,3600,397.11102294921875
1762055915.6840224,4000,413.1671142578125
1762055921.9703348,4400,418.94073486328125
1762055928.658805,4800,415.97784423828125
1762055934.8756475,5200,405.2510070800781
1762055941.1017747,5600,400.2066650390625
1762055947.3154178,6000,417.3908386230469
1762055953.6944058,6400,426.6809997558594
1762055959.9300594,6800,425.65643310546875
1762055966.1612737,7200,430.8326110839844
1762055972.3884168,7600,419.6187744140625
1762055978.62689,8000,421.0068359375
1762055984.881282,8400,433.6911315917969
1762055991.403132,8800,435.64306640625
1762055998.8531108,9200,444.17529296875
1762056006.0375633,9600,447.25201416015625
1762056013.591742,10000,450.232421875
1762056021.1703987,10400,464.9017333984375
1762056028.768429,10800,481.57525634765625
1762056036.195314,11200,484.305908203125
1762056043.778107,11600,487.0135803222656
1762056051.2643638,12000,492.69146728515625
1762056058.8855562,12400,505.1612854003906
1762056066.3395,12800,501.01202392578125
1762056074.0040667,13200,501.9312438964844
1762056081.5903382,13600,508.19561767578125
1762056089.1625805,14000,510.94512939453125
1762056096.0679867,14400,510.0971984863281
1762056103.6026242,14800,512.2894287109375
1762056111.2608812,15200,516.88720703125
1762056119.5378292,15600,526.6251220703125
1762056128.4945412,16000,523.4317016601562
1762056137.3449774,16400,520.2677612304688
1762056144.3051412,16800,525.2364501953125
1762056152.9489467,17200,524.9124145507812
1762056161.5510285,17600,532.5372314453125
1762056168.4720402,18000,534.97509765625
1762056174.782495,18400,527.32958984375
1762056181.1361806,18800,537.3236083984375
1762056187.4843109,19200,539.3441162109375
1762056193.8634121,19600,543.7955322265625
1762056200.2212348,20000,543.5770263671875
1762056206.5983002,20400,539.8294067382812
1762056212.953567,20800,542.1195678710938
1762056219.284651,21200,535.1817016601562
1762056225.6913242,21600,533.793701171875
1762056232.043486,22000,535.1880493164062
1762056238.3962421,22400,533.04296875
1762056244.7456477,22800,539.6809692382812
1762056251.0694983,23200,532.2303466796875
1762056257.4393167,23600,532.0741577148438
1762056263.8492043,24000,523.354248046875
1762056270.171815,24400,529.6720581054688
1762056276.506115,24800,535.4937133789062
1762056282.9833992,25200,542.4758911132812
1762056289.3208559,25600,541.156494140625
1762056295.653163,26000,533.5654296875
1762056302.1335967,26400,538.26806640625
1762056308.470696,26800,540.9569091796875
1762056314.855627,27200,542.0640258789062
1762056321.551494,27600,545.9276733398438
1762056328.007797,28000,551.7445068359375
1762056334.3471534,28400,552.693359375
1762056340.6214578,28800,545.2332153320312
1762056347.0170324,29200,544.0662231445312
1762056353.3241053,29600,546.0772705078125
1762056359.6308053,30000,550.3644409179688
1762056365.9278595,30400,549.895751953125
1762056372.2282631,30800,551.0724487304688
1762056378.5136497,31200,562.6173095703125
1762056384.77477,31600,560.4815063476562
1762056391.0198233,32000,557.7921142578125
1762056397.2826505,32400,566.9126586914062
1762056403.561551,32800,562.3063354492188
1762056409.894936,33200,562.9989013671875
1762056416.3554916,33600,558.9393920898438
1762056422.7462988,34000,569.9527587890625
1762056429.2148716,34400,573.4967651367188
1762056435.5369158,34800,567.60009765625
1762056441.8640494,35200,564.3871459960938
1762056448.1942697,35600,556.9903564453125
1762056454.5185266,36000,565.9683227539062
1762056460.8516042,36400,564.981689453125
1762056467.2052298,36800,558.900390625
1762056473.543627,37200,560.5929565429688
1762056479.8857372,37600,564.3426513671875
1762056486.2583053,38000,566.2058715820312
1762056492.721564,38400,571.4856567382812
1762056499.1209311,38800,567.1327514648438
1762056505.453387,39200,565.7299194335938
1762056511.7773452,39600,555.4476318359375
1762056518.0980036,40000,541.7333374023438
1762056524.5608406,40400,542.209716796875
1762056530.8962095,40800,530.0308837890625
1762056537.2735794,41200,528.801513671875
1762056543.6946719,41600,532.0868530273438
1762056550.0214486,42000,534.77197265625
1762056556.553289,42400,526.5486450195312
1762056562.879841,42800,530.4902954101562
1762056569.213299,43200,539.4520874023438
1762056575.544769,43600,548.3036499023438
1762056581.8786955,44000,542.4842529296875
1762056588.6291585,44400,535.9876098632812
1762056594.9722526,44800,543.5187377929688
1762056601.5090334,45200,536.0762939453125
1762056607.9703574,45600,538.2006225585938
1762056614.340935,46000,533.5867309570312
1762056620.822724,46400,526.65234375
1762056627.159523,46800,521.099609375
1762056633.5279872,47200,516.2669067382812
1762056639.8996415,47600,510.0697937011719
1762056646.4069362,48000,509.0396728515625
1762056652.7997062,48400,508.0184020996094
1762056659.3414154,48800,507.79022216796875
1762056665.7372925,49200,505.3450927734375
1762056672.1333315,49600,515.034912109375
1762056678.6439738,50000,516.9405517578125
1762056685.0603945,50400,515.5579223632812
1762056691.4422808,50800,527.9434814453125
1762056697.8290725,51200,530.8178100585938
1762056704.2695978,51600,523.6419677734375
1762056710.7505057,52000,511.8158874511719
1762056717.3294861,52400,506.11541748046875
1762056723.819005,52800,506.79022216796875
1762056730.2359905,53200,502.986572265625
1762056736.6555233,53600,495.3157653808594
1762056743.0044413,54000,491.5953369140625
1762056749.3546734,54400,490.4697570800781
1762056755.7152276,54800,490.35797119140625
1762056762.0631697,55200,500.54669189453125
1762056768.549795,55600,506.821044921875
1762056774.928877,56000,506.85833740234375
1762056781.484575,56400,508.422119140625
1762056787.8501253,56800,511.670654296875
1762056794.307066,57200,509.32489013671875
1762056800.6906757,57600,515.1986694335938
1762056807.0597486,58000,512.2836303710938
1762056813.4096708,58400,510.67950439453125
1762056819.7713006,58800,518.2105712890625
1762056826.422285,59200,522.823486328125
1762056832.8497643,59600,520.44287109375
1762056839.2743857,60000,521.0106811523438
1762056845.6950738,60400,529.912109375
1762056852.2661643,60800,522.8301391601562
1762056858.6936507,61200,517.7083129882812
1762056865.1250045,61600,522.7933349609375
1762056871.5894296,62000,527.2260131835938
1762056878.0455883,62400,524.9522705078125
1762056884.631954,62800,525.522705078125
1762056891.0685828,63200,523.4014892578125
1762056897.5208747,63600,523.2008056640625
1762056904.004193,64000,529.7158203125
1762056910.4838538,64400,535.4267578125
1762056917.0686007,64800,533.924560546875
1762056923.673354,65200,539.5136108398438
1762056930.1543531,65600,534.3065795898438
1762056936.6263194,66000,539.0625610351562
1762056943.1532567,66400,544.9382934570312
1762056949.651528,66800,544.25
1762056956.2037358,67200,555.2910766601562
1762056962.8260245,67600,549.5641479492188
1762056969.7495458,68000,546.6546630859375
1762056976.3202636,68400,548.7706909179688
1762056982.808197,68800,552.6444091796875
1762056989.3300328,69200,548.4188232421875
1762056995.8540125,69600,548.49853515625
1762057002.4106867,70000,556.7556762695312
1762057008.9469237,70400,536.3790893554688
1762057015.7452958,70800,530.9473876953125
1762057022.4575977,71200,536.9437255859375
1762057029.0108893,71600,536.0621948242188
1762057035.5546865,72000,547.52734375
1762057042.1045046,72400,557.5167236328125
1762057048.681876,72800,548.2196655273438
1762057057.6167848,73200,555.246337890625
1762057064.5816174,73600,565.8613891601562
1762057071.072887,74000,565.6234741210938
1762057077.4729357,74400,565.0661010742188
1762057083.8735056,74800,552.228271484375
1762057090.302475,75200,546.166259765625
1762057096.775661,75600,552.9554443359375
1762057103.175126,76000,555.7191162109375
1762057109.5650017,76400,548.841064453125
1762057115.9515026,76800,558.3095703125
1762057122.3549862,77200,551.7420043945312
1762057128.9789007,77600,553.6655883789062
1762057135.5475914,78000,554.2846069335938
1762057141.884992,78400,549.6040649414062
1762057148.2257938,78800,550.1213989257812
1762057154.5858045,79200,552.4468383789062
1762057161.0112643,79600,545.7484741210938
1762057167.336163,80000,550.4844360351562
1762057173.7847972,80400,561.5400390625
1762057180.1365461,80800,562.021240234375
1762057186.4722514,81200,560.649658203125
1762057192.80556,81600,558.37646484375
1762057199.1850743,82000,554.3275756835938
1762057205.5576553,82400,555.7952270507812
1762057211.936773,82800,563.322509765625
1762057218.4432607,83200,551.3990478515625
1762057224.814824,83600,537.7098388671875
1762057231.1918151,84000,527.0308227539062
1762057237.6019347,84400,519.6443481445312
1762057244.0030053,84800,536.6433715820312
1762057250.3715465,85200,536.4627685546875
1762057256.7998388,85600,526.4842529296875
1762057263.301416,86000,522.6978759765625
1762057269.6770637,86400,527.156005859375
1762057276.1167006,86800,529.075927734375
1762057282.5084229,87200,532.5525512695312
1762057288.9005215,87600,536.190185546875
1762057295.2750924,88000,526.211669921875
1762057302.0730412,88400,524.1307373046875
1762057308.4670186,88800,520.9345703125
1762057315.0441647,89200,516.6817016601562
1762057321.4829538,89600,524.028076171875
1762057327.9995468,90000,510.8451843261719
1762057334.4047968,90400,514.4066162109375
1762057340.7727644,90800,519.7958374023438
1762057347.1570992,91200,516.6538696289062
1762057353.523828,91600,515.9144897460938
1762057359.932345,92000,515.2957153320312
1762057366.6125593,92400,518.5731811523438
1762057373.145927,92800,514.54833984375
1762057379.6032703,93200,515.6367797851562
1762057387.8158138,93600,523.18017578125
1762057394.9814854,94000,527.8475952148438
1762057402.6583195,94400,531.7474975585938
1762057411.05477,94800,528.3585815429688
1762057417.593109,95200,534.2698364257812
1762057425.3630068,95600,546.728515625
1762057434.4506583,96000,537.42236328125
1762057441.6161575,96400,540.5054321289062
1762057448.4184022,96800,537.5111694335938
1762057455.5509155,97200,535.2830200195312
1762057462.5604153,97600,537.4775390625
1762057470.4354208,98000,545.6463012695312
1762057477.3503897,98400,545.326416015625
1762057485.1615872,98800,547.2614135742188
1762057492.6169534,99200,541.386474609375
1762057499.7521045,99600,544.7522583007812
