Wall time,Step,Value
1762061215.2925844,400,91.74771881103516
1762061222.1818004,800,130.52513122558594
1762061228.4118245,1200,181.14981079101562
1762061234.1211822,1600,275.5074157714844
1762061240.4500172,2000,312.4952392578125
1762061246.6148467,2400,334.56866455078125
1762061252.7565906,2800,331.4210205078125
1762061258.7848434,3200,363.3302307128906
1762061264.9676852,3600,390.0396423339844
1762061271.3744915,4000,403.8866882324219
1762061277.1491854,4400,401.4007263183594
1762061283.2948065,4800,427.5560302734375
1762061290.0810232,5200,445.2629699707031
1762061296.0104587,5600,455.79937744140625
1762061301.7861023,6000,460.318603515625
1762061308.0758862,6400,464.4758605957031
1762061314.4673035,6800,477.42401123046875
1762061320.4936266,7200,478.84454345703125
1762061326.8334484,7600,486.0466003417969
1762061332.5669422,8000,497.4765930175781
1762061338.6284747,8400,506.6466979980469
1762061345.7456887,8800,513.8526000976562
1762061352.0203247,9200,510.69012451171875
1762061358.6138072,9600,507.8512268066406
1762061364.746245,10000,504.85400390625
1762061371.4037948,10400,527.8814086914062
1762061377.711976,10800,527.866943359375
1762061384.6283271,11200,536.2799682617188
1762061390.9390643,11600,541.0867309570312
1762061397.548007,12000,544.812744140625
1762061403.5945566,12400,549.4901123046875
1762061410.0999138,12800,553.07958984375
1762061417.0247955,13200,554.2837524414062
1762061423.1106849,13600,550.1524658203125
1762061429.5287886,14000,538.0152587890625
1762061436.7221897,14400,534.6771850585938
1762061442.6355717,14800,520.7315673828125
1762061448.256719,15200,511.3979797363281
1762061453.748497,15600,510.40838623046875
1762061459.108746,16000,510.9078063964844
1762061465.732971,16400,512.5365600585938
1762061471.638226,16800,505.71929931640625
1762061478.3947327,17200,512.7017211914062
1762061484.5874352,17600,510.5677185058594
1762061490.4144464,18000,509.1395568847656
1762061496.5969965,18400,506.8624572753906
1762061502.5234785,18800,505.9505615234375
1762061508.7770264,19200,512.2696533203125
1762061515.0835283,19600,510.504638671875
1762061521.623456,20000,517.3138427734375
