Wall time,Step,Value
1760979796.0979006,2048,151.5848388671875
1760979804.003917,4096,180.4034423828125
1760979809.9142244,6144,173.20864868164062
1760979817.8939736,8192,163.893798828125
1760979824.841951,10240,181.3174285888672
1760979829.9438531,12288,186.09246826171875
1760979835.11712,14336,191.24253845214844
1760979840.0525875,16384,204.46937561035156
1760979845.3472164,18432,217.17202758789062
1760979850.9030323,20480,225.94610595703125
1760979856.6355522,22528,225.84315490722656
1760979861.760384,24576,219.65928649902344
1760979866.7558763,26624,234.39256286621094
1760979872.4322317,28672,244.05775451660156
1760979878.2641332,30720,249.2318115234375
1760979883.3905878,32768,266.26318359375
1760979888.4323375,34816,279.6583251953125
1760979893.6649573,36864,298.4945068359375
1760979899.0564725,38912,309.8499450683594
1760979904.094806,40960,329.0043029785156
1760979909.5293264,43008,344.775146484375
1760979915.446465,45056,354.615478515625
1760979920.3911145,47104,366.16009521484375
1760979925.380641,49152,361.31982421875
1760979930.2430818,51200,363.6061096191406
1760979935.8144517,53248,360.9910888671875
1760979941.2719498,55296,362.0321960449219
1760979946.657879,57344,361.48931884765625
1760979952.1599467,59392,374.1947326660156
1760979957.529888,61440,373.2060241699219
1760979962.8230195,63488,397.5922546386719
1760979969.0560594,65536,412.2637023925781
1760979976.02799,67584,401.646728515625
1760979983.3594646,69632,415.3753967285156
1760979991.0646856,71680,397.55816650390625
1760979996.8684134,73728,387.57281494140625
1760980004.2393727,75776,374.21728515625
1760980010.446757,77824,385.50244140625
1760980016.3498175,79872,386.1213684082031
1760980021.7690606,81920,396.7083740234375
1760980028.21589,83968,399.6180419921875
1760980034.2592156,86016,420.1182861328125
1760980040.6796508,88064,423.9563903808594
1760980048.6018562,90112,408.7679443359375
1760980055.4548442,92160,409.0669250488281
1760980061.2148302,94208,427.2676696777344
1760980067.0253122,96256,409.2146301269531
1760980073.6005526,98304,411.3078308105469
1760980079.9772344,100352,411.475341796875
1760980085.3109705,102400,399.5986633300781
1760980090.458602,104448,389.0821533203125
1760980095.6327598,106496,377.36181640625
1760980100.9691014,108544,368.928466796875
1760980106.5871584,110592,383.3383483886719
1760980111.8776696,112640,384.9928283691406
1760980116.8528302,114688,412.9546203613281
1760980121.8605726,116736,425.0747985839844
1760980127.5159395,118784,440.99139404296875
1760980133.5353565,120832,410.2166748046875
1760980143.8914986,122880,417.99896240234375
1760980152.7571828,124928,405.843505859375
1760980160.3610775,126976,412.4801330566406
1760980165.845829,129024,399.0711364746094
1760980170.7369316,131072,421.451904296875
1760980176.504046,133120,427.7167053222656
1760980182.471406,135168,434.8724365234375
1760980188.7300148,137216,430.6446228027344
1760980194.9052143,139264,431.80706787109375
1760980200.4182103,141312,423.85137939453125
1760980206.8902264,143360,411.67889404296875
1760980212.7026613,145408,430.5162353515625
1760980217.4500444,147456,433.8590393066406
1760980222.2305386,149504,452.3408508300781
1760980226.9801152,151552,467.578857421875
1760980231.8217113,153600,474.0111389160156
1760980237.5898914,155648,462.1175537109375
1760980243.4345987,157696,471.3128662109375
1760980248.5782044,159744,482.9690856933594
1760980253.4192207,161792,476.418212890625
1760980258.2071965,163840,482.1017761230469
1760980263.0361204,165888,476.15234375
1760980267.8584673,167936,456.24334716796875
1760980272.6300986,169984,452.2777099609375
1760980277.6116464,172032,443.0855407714844
1760980282.5740683,174080,441.2160949707031
1760980287.4818594,176128,463.0307922363281
1760980292.8498878,178176,483.7291564941406
1760980297.912319,180224,472.1036376953125
1760980302.8687546,182272,479.2987365722656
1760980307.6403081,184320,478.71533203125
1760980312.5451753,186368,486.12164306640625
1760980317.33158,188416,478.8243713378906
1760980322.1086943,190464,485.1360778808594
1760980327.2909899,192512,479.5604248046875
1760980332.041699,194560,492.93450927734375
1760980336.8507714,196608,493.883544921875
1760980341.6000586,198656,483.1009216308594
1760980346.3413243,200704,490.67889404296875
1760980351.0797865,202752,489.53363037109375
1760980355.933787,204800,489.6965637207031
1760980360.6789834,206848,499.17254638671875
1760980365.595419,208896,506.860595703125
1760980370.346392,210944,525.1909790039062
1760980375.1207833,212992,532.5065307617188
1760980380.0955894,215040,527.3484497070312
1760980385.28732,217088,513.6599731445312
1760980390.0001554,219136,482.1369934082031
1760980394.8009832,221184,480.7423095703125
1760980399.5719934,223232,477.1286926269531
1760980404.3650239,225280,465.1500244140625
1760980409.1019664,227328,448.747802734375
1760980413.9263754,229376,469.88043212890625
1760980418.7578065,231424,470.8797912597656
1760980423.496283,233472,470.1889343261719
1760980428.2834044,235520,464.6063537597656
1760980433.3391018,237568,505.1006774902344
1760980439.9749913,239616,526.2200927734375
1760980446.1053436,241664,527.9837036132812
1760980452.0744414,243712,514.7366333007812
1760980458.0288699,245760,514.4595947265625
1760980464.4784913,247808,492.98583984375
1760980470.2158098,249856,476.5492858886719
1760980476.28191,251904,461.19708251953125
1760980481.6994092,253952,472.6818542480469
1760980488.4057994,256000,452.993896484375
1760980494.9968557,258048,462.76434326171875
1760980500.9446084,260096,463.31744384765625
1760980506.5800877,262144,484.8494873046875
1760980511.9584987,264192,508.2746887207031
1760980517.726306,266240,518.8395385742188
1760980525.780287,268288,540.9544677734375
1760980533.2646663,270336,544.0074462890625
1760980539.1802747,272384,536.4526977539062
1760980545.212267,274432,527.8920288085938
1760980556.3284478,276480,524.2646484375
1760980562.5373893,278528,504.9076843261719
1760980568.3661387,280576,489.72332763671875
1760980573.5509732,282624,486.5819396972656
1760980578.6632965,284672,495.3364562988281
1760980584.4727643,286720,494.67559814453125
1760980590.3326297,288768,504.3182678222656
1760980595.5537825,290816,525.1598510742188
1760980600.580918,292864,518.956787109375
1760980607.4996727,294912,503.7313537597656
1760980613.7090406,296960,509.3025207519531
1760980619.8894708,299008,511.30517578125
1760980625.1213486,301056,497.9261474609375
1760980630.5150988,303104,499.1100158691406
1760980636.0706823,305152,488.7683410644531
1760980641.3386402,307200,477.2550048828125
1760980647.0448923,309248,488.8651123046875
1760980654.2680922,311296,490.0563049316406
1760980659.5465844,313344,517.2622680664062
1760980664.5616343,315392,521.031982421875
1760980669.3360453,317440,532.0235595703125
1760980674.4473863,319488,500.15765380859375
1760980680.9998186,321536,508.0639343261719
1760980695.0509126,323584,471.0800476074219
1760980712.9975715,325632,485.9149475097656
1760980721.3791718,327680,484.87127685546875
1760980729.746855,329728,511.7810363769531
1760980735.3134744,331776,508.08502197265625
1760980741.224714,333824,523.6611938476562
1760980747.143414,335872,541.2638549804688
1760980753.3669167,337920,542.3484497070312
1760980760.4494367,339968,535.4083862304688
1760980767.3845718,342016,538.933349609375
1760980775.586126,344064,530.5570678710938
1760980781.6712284,346112,529.2749633789062
1760980789.0526915,348160,516.7921142578125
1760980795.6542606,350208,508.7926025390625
1760980805.1229205,352256,524.4540405273438
1760980813.4878242,354304,508.80859375
1760980819.638334,356352,483.00213623046875
1760980827.6599522,358400,487.7353515625
1760980834.6152525,360448,518.7614135742188
1760980840.8366263,362496,519.2313232421875
1760980846.7254996,364544,546.6173095703125
1760980853.0092068,366592,581.5634765625
1760980860.097449,368640,580.4396362304688
1760980865.9953017,370688,585.1865234375
1760980872.0241938,372736,574.1392822265625
1760980878.1449533,374784,587.5060424804688
1760980884.5846467,376832,554.85888671875
1760980890.4917789,378880,556.5736083984375
