step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,force_scale,activation_slowdown,ctrl
16,0.32,[1.035],[3.7013],[7.2512 0.2485 0.157  0.1468 0.3257 0.2597 0.1097],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.9988234836596883,-43.336158682170144,False,[0.665],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
17,0.34,[1.1059],[3.4136],[7.7481 0.2498 0.1582 0.148  0.3233 0.2573 0.1087],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.9279475179146859,-45.26410620008483,False,[0.5941],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
18,0.36,[1.1707],[3.0982],[8.2023 0.2509 0.1593 0.1491 0.321  0.255  0.1077],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.863129719207206,-47.12723591929204,False,[0.5293],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
19,0.38,[1.229],[2.7628],[8.6108 0.2518 0.1603 0.1501 0.3189 0.2529 0.1068],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.804839749181898,-48.932075668473935,False,[0.471],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
20,0.4,[1.2804],[2.4125],[8.9711 0.2527 0.1611 0.1509 0.317  0.251  0.106 ],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.7534248965248613,-50.6855005649988,False,[0.4196],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
21,0.42,[1.3247],[2.0523],[9.2815 0.2534 0.1618 0.1516 0.3154 0.2493 0.1052],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.7091301993511985,-52.39463076435,False,[0.3753],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
22,0.44,[1.3618],[1.687],[9.5409 0.254  0.1624 0.1523 0.314  0.2479 0.1046],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-1.672100731322681,-54.06673149567268,False,[0.3382],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 6.8193e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
23,0.46,[1.3915],[1.3211],[9.7491 0.2545 0.1629 0.1527 0.3128 0.2468 0.1041],[0.001  0.001  0.001  0.9218 0.9241 0.9241],-1.6412497153154895,-55.707981210988166,False,[0.3085],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 9.5216e-04 5.5278e-04 9.1768e-01 9.2414e-01
 9.2414e-01]"
24,0.48,[1.4139],[0.9583],[9.9062 0.2548 0.1633 0.1531 0.312  0.2459 0.1037],[0.001  0.0012 0.001  0.9027 0.9241 0.9241],-1.609748424800014,-57.31772963578818,False,[0.2861],0.8242625962404506,2.1102874836746293,"[0.0000e+00 7.1987e-04 1.2261e-03 5.5278e-04 8.6952e-01 9.2413e-01
 9.2414e-01]"
25,0.5,[1.4292],[0.6019],[10.013   0.2551  0.1635  0.1534  0.3114  0.2453  0.1034],[0.001  0.0014 0.001  0.8798 0.9175 0.9241],-1.5805107955364504,-58.89824043132463,False,[0.2708],0.8242625962404506,2.1102874836746293,"[0.0000e+00 9.3472e-04 1.4382e-03 5.5278e-04 8.3897e-01 9.0595e-01
 9.2414e-01]"
