step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
11,0.22,[1.],1.0,[1.3476],[2.578],[9.4793 0.2548 0.1628 0.1526 0.3158 0.2495 0.1053],[0.0211 0.0253 0.0233 0.9241 0.9241 0.9241],-1.9866860265630057,-26.15685756536703,False,[0.6524],[0.004  0.0047 0.0044 0.924  0.924  0.924 ],[0.9959 0.9951 0.9954 0.074  0.0741 0.0741],[0.0001 0.0002 0.0002 0.002  0.0019 0.0019],0.0010597878538300984,0.8275665088902681,1.227341848229487,[1.     0.004  0.0047 0.0044 0.924  0.924  0.924 ]
12,0.24,[1.],1.0,[1.4],[2.6548],[9.8482 0.2556 0.1637 0.1535 0.3137 0.2474 0.1044],[0.0175 0.021  0.0194 0.9243 0.9243 0.9243],-1.9343544315203078,-28.09121199688734,False,[0.6],[0.0031 0.0036 0.0034 0.9244 0.9244 0.9244],[0.9967 0.9961 0.9964 0.0734 0.0735 0.0735],[0.0001 0.0002 0.0002 0.0022 0.0021 0.0021],0.001144426272155064,0.8275665088902681,1.227341848229487,[1.     0.0031 0.0036 0.0034 0.9244 0.9244 0.9244]
13,0.26,[1.],1.0,[1.4537],[2.7075],[10.2261  0.2565  0.1646  0.1544  0.3116  0.2453  0.1034],[0.0146 0.0174 0.0161 0.9241 0.9241 0.9241],-1.880315750642835,-29.971527747530175,False,[0.5463],[0.0025 0.0029 0.0027 0.924  0.924  0.924 ],[0.9974 0.9969 0.9971 0.0737 0.0738 0.0738],[0.0001 0.0002 0.0002 0.0023 0.0022 0.0022],0.0012287187766743075,0.8275665088902681,1.227341848229487,[1.     0.0025 0.0029 0.0027 0.924  0.924  0.924 ]
14,0.28,[1.],1.0,[1.5083],[2.7392],[10.6097  0.2574  0.1655  0.1553  0.3095  0.2432  0.1024],[0.0122 0.0145 0.0134 0.9243 0.9243 0.9243],-1.8259617480426291,-31.797489495572805,False,[0.4917],[0.002  0.0023 0.0021 0.9244 0.9244 0.9244],[0.9979 0.9975 0.9976 0.0731 0.0732 0.0732],[0.0001 0.0002 0.0002 0.0025 0.0024 0.0024],0.0013132029573715495,0.8275665088902681,1.227341848229487,[1.     0.002  0.0023 0.0021 0.9244 0.9244 0.9244]
15,0.3,[1.],1.0,[1.5632],[2.7521],[10.9962  0.2583  0.1664  0.1562  0.3073  0.241   0.1014],[0.0102 0.0121 0.0112 0.9241 0.9241 0.9241],-1.770725116617305,-33.56821461219011,False,[0.4368],[0.0016 0.0018 0.0017 0.924  0.924  0.924 ],[0.9982 0.9979 0.998  0.0733 0.0734 0.0734],[0.0001 0.0002 0.0002 0.0027 0.0026 0.0026],0.0013973333456469082,0.8275665088902681,1.227341848229487,[1.     0.0016 0.0018 0.0017 0.924  0.924  0.924 ]
16,0.32,[1.],1.0,[1.6182],[2.7478],[11.3833  0.2592  0.1673  0.1571  0.305   0.2387  0.1004],[0.0085 0.01   0.0093 0.9243 0.9243 0.9243],-1.7159125928428847,-35.284127205032995,False,[0.3818],[0.0014 0.0015 0.0014 0.9244 0.9244 0.9244],[0.9985 0.9983 0.9983 0.0728 0.0728 0.0728],[0.0001 0.0002 0.0002 0.0028 0.0028 0.0028],0.0014817316604927948,0.8275665088902681,1.227341848229487,[1.     0.0014 0.0015 0.0014 0.9244 0.9244 0.9244]
17,0.34,[1.],1.0,[1.673],[2.7284],[11.7685  0.2601  0.1682  0.158   0.3028  0.2365  0.0993],[0.0071 0.0084 0.0078 0.9241 0.9241 0.9241],-1.6608885198984804,-36.94501572493147,False,[0.327],[0.0012 0.0013 0.0012 0.924  0.924  0.924 ],[0.9987 0.9985 0.9986 0.073  0.0731 0.0731],[0.0001 0.0002 0.0002 0.003  0.0029 0.0029],0.0015657507080290925,0.8275665088902681,1.227341848229487,[1.     0.0012 0.0013 0.0012 0.924  0.924  0.924 ]
18,0.36,[1.],1.0,[1.7272],[2.6962],[12.15    0.261   0.1691  0.1589  0.3006  0.2343  0.0983],[0.0059 0.007  0.0065 0.8976 0.9159 0.9243],-1.5901029639528843,-38.53511868888436,False,[0.2728],[0.001  0.0011 0.0011 0.8755 0.9092 0.9244],[0.9989 0.9986 0.9987 0.1213 0.0877 0.0725],[0.0001 0.0002 0.0002 0.0032 0.0031 0.0031],0.001649824463050063,0.8275665088902681,1.227341848229487,[1.     0.001  0.0011 0.0011 0.8755 0.9092 0.9244]
19,0.38,[1.],1.0,[1.7807],[2.6537],[12.5261  0.2619  0.17    0.1598  0.2984  0.2321  0.0972],[0.0053 0.006  0.0055 0.7653 0.8514 0.9241],2.554659962662212,-35.980458726222146,False,[0.2193],[0.0027 0.0017 0.0009 0.6438 0.796  0.924 ],[0.9971 0.998  0.9989 0.3529 0.2008 0.0728],[0.0001 0.0002 0.0002 0.0033 0.0033 0.0033],0.001731830426022767,0.8275665088902681,1.227341848229487,"[1.0000e+00 2.7459e-03 1.7346e-03 9.2768e-04 6.4381e-01 7.9596e-01
 9.2399e-01]"
20,0.4,[1.],1.0,[1.8332],[2.5989],[12.8954  0.2628  0.1708  0.1606  0.2963  0.23    0.0962],[0.0072 0.0055 0.0047 0.6285 0.7348 0.8727],6.747737746943155,-29.23272097927899,True,[0.1668],[0.0072 0.0036 0.0012 0.4787 0.6225 0.8294],[0.9927 0.9962 0.9986 0.5179 0.3741 0.1672],[0.0001 0.0002 0.0002 0.0034 0.0034 0.0034],0.0018033905046295502,0.8275665088902681,1.227341848229487,[1.     0.0072 0.0036 0.0012 0.4787 0.6225 0.8294]
21,0.42,[1.],1.0,[1.8844],[2.524],[13.2555  0.2636  0.1717  0.1615  0.2942  0.2279  0.0952],[0.0147 0.0055 0.0044 0.5095 0.5902 0.7322],6.99294729823349,-22.2397736810455,True,[0.1156],[0.0149 0.0052 0.0033 0.3535 0.4242 0.5983],[0.985  0.9946 0.9965 0.643  0.5723 0.3981],[0.0001 0.0002 0.0002 0.0035 0.0035 0.0036],0.0018619622556314906,0.8275665088902681,1.227341848229487,[1.     0.0149 0.0052 0.0033 0.3535 0.4242 0.5983]
22,0.44,[1.],1.0,[1.9339],[2.4274],[13.6034  0.2644  0.1725  0.1623  0.2922  0.2259  0.0942],[0.0247 0.0054 0.0094 0.4106 0.4584 0.5747],7.231780460786111,-15.007993220259387,True,[0.0661],[0.0249 0.005  0.0096 0.2569 0.2733 0.3916],[0.975  0.9948 0.9902 0.7395 0.7231 0.6047],[0.0001 0.0002 0.0002 0.0036 0.0036 0.0037],0.0019039935852184053,0.8275665088902681,1.227341848229487,[1.     0.0249 0.005  0.0096 0.2569 0.2733 0.3916]
23,0.46,[1.],1.0,[1.9811],[2.3092],[13.9359  0.2652  0.1733  0.1631  0.2903  0.224   0.0933],[0.0415 0.0052 0.027  0.3298 0.3546 0.4422],7.433048100263253,-7.5749451199961335,True,[0.0189],[0.0421 0.0046 0.0275 0.1834 0.1783 0.2515],[0.9578 0.9952 0.9723 0.8129 0.8181 0.7448],[0.0001 0.0002 0.0002 0.0036 0.0036 0.0038],0.001932695362011371,0.8275665088902681,1.227341848229487,[1.     0.0421 0.0046 0.0275 0.1834 0.1783 0.2515]
24,0.48,[1.],1.0,[2.0257],[2.1597],[14.2497  0.2659  0.174   0.1638  0.2886  0.2223  0.0924],[0.0757 0.0051 0.0686 0.2651 0.2764 0.3414],7.538301740892289,-0.036643379103844076,True,[-0.0257],[0.0772 0.0043 0.0703 0.1309 0.1198 0.1655],[0.9227 0.9954 0.9295 0.8655 0.8766 0.8307],[0.0001 0.0002 0.0002 0.0037 0.0037 0.0038],0.0019530618908567899,0.8275665088902681,1.227341848229487,[1.     0.0772 0.0043 0.0703 0.1309 0.1198 0.1655]
25,0.5,[1.],1.0,[2.0668],[1.9557],[14.5385  0.2666  0.1747  0.1645  0.287   0.2207  0.0916],[0.1397 0.0049 0.1401 0.214  0.2177 0.2665],7.557393983862463,7.520750604758619,True,[-0.0668],[0.144  0.0043 0.1448 0.095  0.0827 0.1132],[0.8558 0.9955 0.8549 0.9013 0.9136 0.883 ],[0.0001 0.0002 0.0002 0.0037 0.0037 0.0038],0.0019697932713957423,0.8275665088902681,1.227341848229487,[1.     0.144  0.0043 0.1448 0.095  0.0827 0.1132]
26,0.52,[1.],1.0,[2.103],[1.6753],[14.7929  0.2672  0.1753  0.1651  0.2856  0.2193  0.0909],[0.2323 0.0053 0.2127 0.1741 0.173  0.2108],7.520749492193482,15.0415000969521,True,[-0.103],[0.2428 0.0053 0.2203 0.0711 0.0583 0.0805],[0.7571 0.9945 0.7794 0.9252 0.938  0.9157],[0.0002 0.0002 0.0003 0.0037 0.0037 0.0038],0.0019870197547165063,0.8275665088902681,1.227341848229487,[1.     0.2428 0.0053 0.2203 0.0711 0.0583 0.0805]
