step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,force_scale,activation_slowdown,ctrl
88,1.76,[1.6925],[-0.0034],[14.3859  0.3147  0.2036  0.1913  0.365   0.2848  0.1196],[0.009  0.001  0.049  0.3166 0.046  0.2818],7.6347911451810315,525.2824833178166,True,[0.0075],1.0,1.0,[0.     0.0089 0.0006 0.0489 0.3166 0.046  0.2818]
89,1.78,[1.6925],[0.0045],[14.3861  0.3147  0.2036  0.1913  0.365   0.2848  0.1196],[0.009  0.001  0.0491 0.3162 0.046  0.2815],7.635163900414419,532.9176472182311,True,[0.0075],1.0,1.0,[0.     0.0089 0.0006 0.0491 0.3157 0.046  0.2811]
90,1.8,[1.6926],[0.01],[14.3874  0.3147  0.2036  0.1913  0.3649  0.2848  0.1196],[0.009  0.001  0.0493 0.3154 0.046  0.2808],7.636163695402495,540.5538109136336,True,[0.0074],1.0,1.0,[0.     0.009  0.0006 0.0493 0.3142 0.0458 0.2797]
91,1.82,[1.6929],[0.012],[14.3894  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.009  0.001  0.0494 0.3144 0.0459 0.2797],7.637597188336347,548.19140810197,True,[0.0071],1.0,1.0,[0.     0.009  0.0006 0.0494 0.3129 0.0456 0.2779]
92,1.84,[1.6931],[0.0104],[14.3913  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0091 0.001  0.0494 0.3134 0.0458 0.2785],7.6391277038674215,555.8305358058374,True,[0.0069],1.0,1.0,[0.     0.0091 0.0006 0.0494 0.3119 0.0455 0.2764]
93,1.86,[1.6933],[0.0056],[14.3927  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0091 0.001  0.0494 0.3127 0.0457 0.2773],7.6403572109707785,563.4708930168082,True,[0.0067],1.0,1.0,[0.     0.0091 0.0006 0.0493 0.3116 0.0454 0.2755]
94,1.8800000000000001,[1.6933],[-0.0008],[14.393   0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0091 0.001  0.0493 0.3125 0.0456 0.2766],7.640939840177803,571.111832856986,True,[0.0067],1.0,1.0,[0.     0.009  0.0006 0.0491 0.3122 0.0454 0.2754]
95,1.9000000000000001,[1.6932],[-0.0065],[14.3923  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.009  0.001  0.0492 0.3133 0.0456 0.2765],7.64044416353884,578.7522770205248,True,[0.0068],1.0,1.0,[0.     0.009  0.0006 0.0489 0.3134 0.0455 0.2764]
96,1.92,[1.6931],[-0.0091],[14.3909  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.009  0.001  0.0491 0.3142 0.0457 0.2778],7.639069592083997,586.3913466126088,True,[0.0069],1.0,1.0,[0.     0.0089 0.0006 0.0488 0.3143 0.0457 0.2779]
97,1.94,[1.6929],[-0.0082],[14.3894  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.009  0.001  0.049  0.315  0.0458 0.279 ],7.637748915841094,594.02909552845,True,[0.0071],1.0,1.0,[0.     0.0089 0.0006 0.0488 0.315  0.0458 0.2791]
98,1.96,[1.6927],[-0.0052],[14.3883  0.3147  0.2036  0.1913  0.3649  0.2848  0.1196],[0.009  0.001  0.049  0.3153 0.0459 0.2797],7.6370183091148,601.6661138375647,True,[0.0073],1.0,1.0,[0.     0.0089 0.0006 0.0489 0.3153 0.0459 0.2798]
99,1.98,[1.6927],[-0.0015],[14.3877  0.3147  0.2036  0.1913  0.3649  0.2848  0.1196],[0.0089 0.001  0.049  0.3153 0.0459 0.2799],7.636821956660887,609.3029357942256,True,[0.0073],1.0,1.0,[0.     0.0089 0.0006 0.049  0.3153 0.0459 0.28  ]
