step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,force_scale,activation_slowdown,ctrl
17,0.34,[1.7936],[-6.7411],[15.2452  0.3167  0.2056  0.1933  0.36    0.2798  0.1172],[0.3045 0.2619 0.2566 0.6342 0.0368 0.2844],7.203416291376703,-11.286469035508963,True,[-0.0936],1.0,1.0,[0.     0.0032 0.0015 0.0078 0.7221 0.0064 0.2986]
18,0.36,[1.6705],[-5.42],[14.1989  0.3143  0.2032  0.1909  0.366   0.2859  0.1201],[0.1951 0.1722 0.1729 0.8354 0.0629 0.7937],6.9741577534735635,-4.3123112820354,True,[0.0295],1.0,1.0,"[0.0000e+00 5.9716e-04 5.5278e-04 1.2509e-02 9.0878e-01 6.3261e-02
 9.2414e-01]"
19,0.38,[1.5871],[-3.0694],[13.4901  0.3126  0.2015  0.1892  0.3701  0.29    0.122 ],[0.1336 0.1196 0.1225 0.8967 0.2372 0.885 ],6.803498617568782,2.4911873355333825,True,[0.1129],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 9.2607e-03 9.2414e-01 2.4611e-01
 9.2414e-01]"
20,0.4,[1.5539],[-0.5075],[13.2082  0.3119  0.2008  0.1885  0.3718  0.2916  0.1227],[0.0952 0.086  0.0892 0.9154 0.4027 0.9117],6.718739579696384,9.209926915229765,True,[0.1461],1.0,1.0,"[0.0000e+00 5.5278e-04 5.5278e-04 5.4962e-03 9.2414e-01 4.2306e-01
 9.2414e-01]"
21,0.42,[1.5686],[1.6506],[13.3329  0.3122  0.2011  0.1888  0.371   0.2909  0.1224],[0.0703 0.0635 0.0681 0.7913 0.3801 0.9201],6.8043700342810265,16.014296949510793,True,[0.1314],1.0,1.0,[0.     0.0036 0.0017 0.0109 0.7103 0.35   0.9241]
22,0.44,[1.6173],[2.9193],[13.7473  0.3132  0.2021  0.1898  0.3687  0.2885  0.1213],[0.06   0.0492 0.0638 0.494  0.2812 0.7611],7.121330495972537,23.13562744548333,True,[0.0827],1.0,1.0,[0.     0.0311 0.0078 0.0517 0.2284 0.1327 0.6551]
23,0.46,[1.6803],[3.1932],[14.2823  0.3145  0.2034  0.191   0.3656  0.2854  0.1198],[0.0975 0.0407 0.1093 0.3127 0.195  0.4441],7.482938477714532,30.618565923197863,True,[0.0197],1.0,1.0,[0.     0.0983 0.0153 0.1104 0.0746 0.0382 0.1425]
24,0.48,[1.7399],[2.7256],[14.7896  0.3157  0.2046  0.1922  0.3626  0.2825  0.1184],[0.1936 0.0336 0.1877 0.2078 0.1366 0.2744],7.577311655723733,38.195877578921596,True,[-0.0399],1.0,1.0,[0.     0.198  0.0117 0.1912 0.0258 0.0109 0.0324]
25,0.5,[1.785],[1.8189],[15.1728  0.3166  0.2055  0.1931  0.3604  0.2802  0.1174],[0.2914 0.0285 0.2502 0.1464 0.0978 0.184 ],7.530225819314357,45.726103398235956,True,[-0.085],1.0,1.0,[0.     0.2996 0.0124 0.2546 0.0179 0.0035 0.0162]
26,0.52,[1.8096],[0.7358],[15.3819  0.317   0.2059  0.1936  0.3592  0.279   0.1168],[0.2977 0.0244 0.2524 0.1096 0.0716 0.1314],7.529674464019703,53.255777862255655,True,[-0.1096],1.0,1.0,[0.     0.2983 0.0115 0.2526 0.0226 0.0017 0.0162]
27,0.54,[1.8122],[-0.3586],[15.4039  0.3171  0.206   0.1937  0.359   0.2789  0.1167],[0.2584 0.0203 0.2325 0.0894 0.0534 0.0994],7.5737948438139115,60.82957270606957,True,[-0.1122],1.0,1.0,[0.     0.1928 0.007  0.1965 0.0379 0.0019 0.0212]
28,0.56,[1.7939],[-1.3498],[15.2481  0.3167  0.2056  0.1933  0.3599  0.2798  0.1172],[0.193  0.0162 0.1871 0.097  0.0409 0.0838],7.6552267847703535,68.48479949083992,True,[-0.0939],1.0,1.0,[0.     0.0708 0.003  0.0993 0.0972 0.0036 0.0431]
29,0.58,[1.7594],[-1.9604],[14.9548  0.316   0.2049  0.1926  0.3617  0.2815  0.118 ],[0.1368 0.0127 0.1397 0.272  0.0333 0.1219],7.642056302154468,76.12685579299439,True,[-0.0594],1.0,1.0,[0.     0.0159 0.0009 0.0372 0.2832 0.0102 0.123 ]
30,0.6,[1.719],[-1.9709],[14.6113  0.3152  0.2041  0.1918  0.3636  0.2835  0.1189],[0.0988 0.01   0.1082 0.419  0.0311 0.3307],7.51892327116942,83.6457790641638,True,[-0.019],1.0,1.0,[0.     0.0063 0.0006 0.0329 0.4389 0.0241 0.348 ]
31,0.62,[1.6851],[-1.377],[14.3235  0.3146  0.2035  0.1911  0.3653  0.2852  0.1197],[0.073  0.0079 0.0886 0.5485 0.0429 0.5407],7.335200343603728,90.98097940776753,True,[0.0149],1.0,1.0,"[0.0000e+00 4.4959e-03 5.5278e-04 3.8144e-02 5.7553e-01 4.3045e-02
 5.7971e-01]"
32,0.64,[1.667],[-0.5127],[14.1693  0.3142  0.2031  0.1908  0.3662  0.2861  0.1202],[0.0557 0.0063 0.0828 0.5421 0.0517 0.6228],7.27254711254632,98.25352652031386,True,[0.033],1.0,1.0,[0.     0.0069 0.0007 0.0677 0.5356 0.0518 0.6445]
33,0.66,[1.6657],[0.2762],[14.1585  0.3142  0.2031  0.1908  0.3663  0.2861  0.1202],[0.0442 0.0052 0.0824 0.5059 0.0516 0.5961],7.308063609399562,105.56159012971342,True,[0.0343],1.0,1.0,[0.     0.0104 0.0012 0.0813 0.4676 0.0512 0.5715]
34,0.68,[1.6774],[0.7843],[14.258   0.3144  0.2033  0.191   0.3657  0.2856  0.1199],[0.0377 0.0044 0.108  0.422  0.0486 0.5038],7.420045260652905,112.98163539036632,True,[0.0226],1.0,1.0,[0.     0.0179 0.0017 0.1087 0.3235 0.0399 0.4097]
35,0.7000000000000001,[1.6956],[0.9625],[14.4125  0.3148  0.2037  0.1914  0.3648  0.2847  0.1195],[0.0348 0.0039 0.1068 0.3446 0.0441 0.392 ],7.54915772657793,120.53079311694425,True,[0.0044],1.0,1.0,[0.     0.026  0.002  0.1036 0.2396 0.0306 0.2568]
36,0.72,[1.7141],[0.8589],[14.5701  0.3151  0.204   0.1917  0.3639  0.2838  0.119 ],[0.0345 0.0034 0.1102 0.2746 0.0389 0.2942],7.6354639505125945,128.16625706745685,True,[-0.0141],1.0,1.0,[0.     0.0334 0.0019 0.1103 0.165  0.023  0.151 ]
37,0.74,[1.7282],[0.5528],[14.6897  0.3154  0.2043  0.192   0.3632  0.2831  0.1187],[0.0346 0.003  0.1074 0.2261 0.0341 0.225 ],7.68836325058932,135.8546203180462,True,[-0.0282],1.0,1.0,[0.     0.0346 0.0016 0.1004 0.1404 0.0195 0.105 ]
38,0.76,[1.7348],[0.1341],[14.7456  0.3156  0.2045  0.1921  0.3629  0.2827  0.1186],[0.0333 0.0026 0.101  0.1986 0.0304 0.1807],7.723254545772737,143.57787486381892,True,[-0.0348],1.0,1.0,[0.     0.0294 0.0013 0.0848 0.1455 0.0189 0.0933]
39,0.78,[1.7325],[-0.3171],[14.7261  0.3155  0.2044  0.1921  0.363   0.2828  0.1186],[0.0301 0.0022 0.0904 0.1944 0.0283 0.1577],7.743031580922651,151.32090644474158,True,[-0.0325],1.0,1.0,[0.     0.02   0.0009 0.0632 0.1861 0.0216 0.1088]
40,0.8,[1.7221],[-0.6578],[14.6379  0.3153  0.2042  0.1919  0.3635  0.2834  0.1189],[0.0256 0.002  0.0774 0.2668 0.0289 0.1602],7.708737692965544,159.02964413770712,True,[-0.0221],1.0,1.0,[0.     0.0113 0.0006 0.0426 0.2723 0.0289 0.1604]
41,0.8200000000000001,[1.7074],[-0.7632],[14.5125  0.315   0.2039  0.1916  0.3642  0.2841  0.1192],[0.0213 0.0017 0.0676 0.3248 0.0379 0.25  ],7.64459213714601,166.67423627485314,True,[-0.0074],1.0,1.0,[0.     0.0077 0.0006 0.0403 0.3309 0.038  0.2561]
42,0.84,[1.6933],[-0.6155],[14.393   0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0179 0.0016 0.0603 0.3864 0.0473 0.3372],7.56091576262908,174.23515203748224,True,[0.0067],1.0,1.0,[0.     0.0065 0.0006 0.0399 0.3947 0.0474 0.3465]
43,0.86,[1.684],[-0.3278],[14.3142  0.3145  0.2034  0.1911  0.3654  0.2852  0.1198],[0.0154 0.0015 0.0573 0.3926 0.0517 0.3886],7.519048547317621,181.75420058479986,True,[0.016],1.0,1.0,[0.     0.0073 0.0006 0.0487 0.3936 0.0518 0.3957]
44,0.88,[1.6809],[-0.0229],[14.2873  0.3145  0.2034  0.1911  0.3655  0.2854  0.1198],[0.0137 0.0013 0.0558 0.3912 0.053  0.3915],7.515105687839017,189.2693062726389,True,[0.0191],1.0,1.0,[0.     0.0081 0.0006 0.0516 0.3892 0.053  0.3919]
45,0.9,[1.6833],[0.226],[14.3079  0.3145  0.2034  0.1911  0.3654  0.2853  0.1198],[0.0128 0.0013 0.059  0.3702 0.052  0.3746],7.539420505275323,196.80872677791422,True,[0.0167],1.0,1.0,[0.     0.0099 0.0007 0.0591 0.3416 0.0492 0.3517]
46,0.92,[1.6896],[0.3668],[14.3613  0.3146  0.2036  0.1912  0.3651  0.285   0.1196],[0.0127 0.0012 0.0647 0.3386 0.0499 0.3405],7.5834771985779525,204.39220397649217,True,[0.0104],1.0,1.0,[0.     0.0122 0.0008 0.0648 0.2935 0.0435 0.292 ]
47,0.9400000000000001,[1.6973],[0.3836],[14.427   0.3148  0.2037  0.1914  0.3647  0.2846  0.1194],[0.0142 0.0012 0.0665 0.3063 0.0469 0.2998],7.633524417214453,212.02572839370663,True,[0.0027],1.0,1.0,[0.     0.0142 0.0009 0.0665 0.2571 0.0383 0.2374]
48,0.96,[1.7041],[0.2911],[14.4849  0.3149  0.2038  0.1915  0.3644  0.2842  0.1193],[0.0151 0.0011 0.0663 0.2791 0.0438 0.2623],7.6697018932508545,219.69543028695747,True,[-0.0041],1.0,1.0,[0.     0.0151 0.0009 0.0658 0.2349 0.0345 0.2001]
49,0.98,[1.7082],[0.1221],[14.5194  0.315   0.2039  0.1916  0.3642  0.284   0.1192],[0.0149 0.0011 0.065  0.2619 0.0412 0.2341],7.6918659000401135,227.3872961869976,True,[-0.0082],1.0,1.0,[0.     0.0144 0.0008 0.0611 0.2329 0.0332 0.1841]
50,1.0,[1.7084],[-0.0796],[14.5214  0.315   0.2039  0.1916  0.3642  0.284   0.1192],[0.0143 0.0011 0.062  0.2584 0.0396 0.2187],7.702649326969987,235.08994551396756,True,[-0.0084],1.0,1.0,[0.     0.0123 0.0007 0.0535 0.2524 0.0346 0.1899]
51,1.02,[1.7049],[-0.2428],[14.4916  0.315   0.2039  0.1915  0.3643  0.2842  0.1193],[0.0132 0.0011 0.0577 0.2883 0.0393 0.2184],7.6879438787135514,242.77788939268112,True,[-0.0049],1.0,1.0,[0.     0.0097 0.0006 0.0454 0.2911 0.0385 0.2179]
52,1.04,[1.6992],[-0.3046],[14.4429  0.3148  0.2037  0.1914  0.3646  0.2845  0.1194],[0.0121 0.001  0.0543 0.3136 0.0427 0.2596],7.654914294153511,250.43280368683463,True,[0.0008],1.0,1.0,[0.     0.0083 0.0006 0.0443 0.3163 0.0428 0.2628]
53,1.06,[1.6934],[-0.2579],[14.394   0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0111 0.001  0.0518 0.3398 0.0466 0.2964],7.61310154434945,258.04590523118407,True,[0.0066],1.0,1.0,[0.     0.0078 0.0006 0.0445 0.3429 0.0467 0.2999]
54,1.08,[1.6894],[-0.1493],[14.3598  0.3146  0.2035  0.1912  0.3651  0.285   0.1196],[0.0104 0.001  0.0508 0.3446 0.0485 0.3188],7.5937349591307175,265.63964019031476,True,[0.0106],1.0,1.0,[0.     0.0081 0.0006 0.048  0.3452 0.0485 0.3212]
55,1.1,[1.6877],[-0.0274],[14.3458  0.3146  0.2035  0.1912  0.3652  0.2851  0.1197],[0.0099 0.001  0.0504 0.3453 0.0492 0.3228],7.589426003207952,273.2290661935227,True,[0.0123],1.0,1.0,[0.     0.0084 0.0006 0.0492 0.3454 0.0492 0.3232]
56,1.12,[1.6884],[0.0781],[14.3515  0.3146  0.2035  0.1912  0.3652  0.285   0.1197],[0.0097 0.001  0.0519 0.3387 0.0489 0.318 ],7.596681795819698,280.8257479893424,True,[0.0116],1.0,1.0,[0.     0.0091 0.0006 0.0519 0.3289 0.0479 0.3106]
57,1.1400000000000001,[1.6908],[0.1452],[14.3717  0.3147  0.2036  0.1913  0.365   0.2849  0.1196],[0.0099 0.001  0.0542 0.3268 0.048  0.3065],7.612460008741004,288.4382079980834,True,[0.0092],1.0,1.0,[0.     0.0099 0.0006 0.0543 0.3092 0.0456 0.2886]
58,1.16,[1.694],[0.1626],[14.3987  0.3147  0.2036  0.1913  0.3649  0.2847  0.1195],[0.0107 0.001  0.0555 0.3131 0.0468 0.2905],7.632817200539301,296.0710251986227,True,[0.006],1.0,1.0,[0.     0.0107 0.0007 0.0555 0.292  0.0431 0.265 ]
59,1.18,[1.697],[0.1315],[14.4241  0.3148  0.2037  0.1914  0.3647  0.2846  0.1195],[0.0111 0.001  0.0554 0.3006 0.0454 0.2739],7.652752919622524,303.7237781182452,True,[0.003],1.0,1.0,[0.     0.0111 0.0007 0.0554 0.2808 0.0411 0.2463]
60,1.2,[1.6989],[0.0632],[14.4405  0.3148  0.2037  0.1914  0.3646  0.2845  0.1194],[0.011  0.001  0.055  0.2921 0.0441 0.2601],7.667550769999433,311.39132888824463,True,[0.0011],1.0,1.0,[0.     0.0109 0.0006 0.0538 0.2786 0.0403 0.2366]
61,1.22,[1.6992],[-0.0233],[14.4433  0.3148  0.2037  0.1914  0.3646  0.2845  0.1194],[0.0108 0.001  0.054  0.2901 0.0433 0.2521],7.673650281780422,319.064979170025,True,[0.0008],1.0,1.0,[0.     0.0102 0.0006 0.0508 0.2868 0.0408 0.2381]
62,1.24,[1.6979],[-0.0958],[14.4321  0.3148  0.2037  0.1914  0.3647  0.2846  0.1194],[0.0105 0.001  0.0523 0.3022 0.0431 0.2517],7.6652234062699485,326.73020257629497,True,[0.0021],1.0,1.0,[0.     0.0092 0.0006 0.0473 0.3034 0.0426 0.2509]
63,1.26,[1.6956],[-0.1253],[14.4123  0.3148  0.2037  0.1914  0.3648  0.2847  0.1195],[0.01   0.001  0.0509 0.3132 0.0445 0.2692],7.646692390401225,334.37689496669617,True,[0.0044],1.0,1.0,[0.     0.0086 0.0006 0.0468 0.3144 0.0445 0.2707]
64,1.28,[1.6932],[-0.1087],[14.392   0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0097 0.001  0.0499 0.3241 0.0461 0.285 ],7.629010294181703,342.00590526087785,True,[0.0068],1.0,1.0,[0.     0.0084 0.0006 0.047  0.3254 0.0461 0.2864]
65,1.3,[1.6914],[-0.0652],[14.3773  0.3147  0.2036  0.1913  0.365   0.2849  0.1196],[0.0094 0.001  0.0495 0.3268 0.0469 0.2945],7.620412372756412,349.62631763363424,True,[0.0086],1.0,1.0,[0.     0.0085 0.0006 0.0484 0.3271 0.047  0.2954]
66,1.32,[1.6907],[-0.0149],[14.3709  0.3147  0.2036  0.1913  0.365   0.2849  0.1196],[0.0092 0.001  0.0494 0.3272 0.0472 0.2966],7.618206139888107,357.24452377352236,True,[0.0093],1.0,1.0,[0.     0.0087 0.0006 0.0489 0.3272 0.0472 0.2969]
67,1.34,[1.6909],[0.0295],[14.3727  0.3147  0.2036  0.1913  0.365   0.2849  0.1196],[0.0092 0.001  0.05   0.3247 0.0471 0.295 ],7.620777133771812,364.86530090729417,True,[0.0091],1.0,1.0,[0.     0.0089 0.0006 0.05   0.321  0.0468 0.2923]
68,1.36,[1.6918],[0.059],[14.3807  0.3147  0.2036  0.1913  0.365   0.2849  0.1196],[0.0093 0.001  0.051  0.3201 0.0468 0.2907],7.626889376350294,372.49219028364445,True,[0.0082],1.0,1.0,[0.     0.0093 0.0006 0.051  0.3129 0.0459 0.2837]
69,1.3800000000000001,[1.6932],[0.0684],[14.3919  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0096 0.001  0.0515 0.3143 0.0463 0.2843],7.635240833239478,380.12743111688394,True,[0.0068],1.0,1.0,[0.     0.0096 0.0006 0.0516 0.3054 0.0448 0.2738]
70,1.4000000000000001,[1.6944],[0.057],[14.4028  0.3147  0.2036  0.1913  0.3649  0.2847  0.1195],[0.0098 0.001  0.0516 0.3088 0.0457 0.2772],7.643803240909593,387.77123435779356,True,[0.0056],1.0,1.0,[0.     0.0098 0.0006 0.0516 0.3003 0.0439 0.2654]
71,1.42,[1.6953],[0.029],[14.4101  0.3148  0.2037  0.1913  0.3648  0.2847  0.1195],[0.0097 0.001  0.0514 0.305  0.0451 0.271 ],7.650421848226611,395.42165620602015,True,[0.0047],1.0,1.0,[0.     0.0097 0.0006 0.051  0.2991 0.0434 0.2607]
72,1.44,[1.6955],[-0.0075],[14.4116  0.3148  0.2037  0.1914  0.3648  0.2847  0.1195],[0.0097 0.001  0.051  0.304  0.0448 0.2673],7.653318966675419,403.0749751726956,True,[0.0045],1.0,1.0,[0.     0.0094 0.0006 0.0497 0.3024 0.0437 0.261 ]
73,1.46,[1.695],[-0.0388],[14.4073  0.3148  0.2037  0.1913  0.3648  0.2847  0.1195],[0.0095 0.001  0.0503 0.3089 0.0447 0.267 ],7.650028224637238,410.72500339733284,True,[0.005],1.0,1.0,[0.     0.0091 0.0006 0.0483 0.3094 0.0444 0.2665]
74,1.48,[1.694],[-0.0522],[14.3991  0.3147  0.2036  0.1913  0.3649  0.2847  0.1195],[0.0094 0.001  0.0497 0.3137 0.0452 0.2743],7.642175002708317,418.36717840004115,True,[0.006],1.0,1.0,[0.     0.0088 0.0006 0.048  0.3142 0.0452 0.275 ]
75,1.5,[1.693],[-0.046],[14.3906  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0092 0.001  0.0493 0.3182 0.0459 0.281 ],7.634717598029214,426.0018959980704,True,[0.007],1.0,1.0,[0.     0.0087 0.0006 0.0481 0.3187 0.0459 0.2816]
76,1.52,[1.6923],[-0.0282],[14.3843  0.3147  0.2036  0.1913  0.365   0.2848  0.1196],[0.0091 0.001  0.0492 0.3195 0.0463 0.2851],7.630933171188838,433.6328291692592,True,[0.0077],1.0,1.0,[0.     0.0088 0.0006 0.0487 0.3197 0.0463 0.2855]
77,1.54,[1.6919],[-0.0072],[14.3815  0.3147  0.2036  0.1913  0.365   0.2848  0.1196],[0.009  0.001  0.0491 0.3197 0.0464 0.2861],7.629928976941084,441.26275814620027,True,[0.0081],1.0,1.0,[0.     0.0088 0.0006 0.0489 0.3197 0.0464 0.2862]
78,1.56,[1.692],[0.0115],[14.3821  0.3147  0.2036  0.1913  0.365   0.2848  0.1196],[0.009  0.001  0.0493 0.3188 0.0464 0.2855],7.630897638065283,448.89365578426555,True,[0.008],1.0,1.0,[0.     0.0089 0.0006 0.0494 0.3173 0.0462 0.2845]
79,1.58,[1.6924],[0.0243],[14.3853  0.3147  0.2036  0.1913  0.365   0.2848  0.1196],[0.0091 0.001  0.0498 0.3169 0.0462 0.2838],7.633353021698968,456.5270088059645,True,[0.0076],1.0,1.0,[0.     0.0091 0.0006 0.0498 0.3139 0.0458 0.281 ]
80,1.6,[1.6929],[0.0287],[14.39    0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0092 0.001  0.05   0.3145 0.046  0.2812],7.636807677609965,464.16381648357446,True,[0.0071],1.0,1.0,[0.     0.0092 0.0006 0.05   0.3107 0.0454 0.2768]
81,1.62,[1.6935],[0.0244],[14.3946  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0093 0.001  0.0501 0.3121 0.0458 0.2782],7.6404372006643895,471.80425368423886,True,[0.0065],1.0,1.0,[0.     0.0093 0.0006 0.0501 0.3085 0.045  0.2732]
82,1.6400000000000001,[1.6939],[0.0129],[14.3977  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0093 0.001  0.05   0.3105 0.0455 0.2755],7.643307197793032,479.4475608820319,True,[0.0061],1.0,1.0,[0.     0.0092 0.0006 0.0498 0.3079 0.0448 0.2711]
83,1.6600000000000001,[1.6939],[-0.0025],[14.3985  0.3147  0.2036  0.1913  0.3649  0.2847  0.1195],[0.0092 0.001  0.0498 0.31   0.0454 0.2739],7.644618464038405,487.0921793460703,True,[0.0061],1.0,1.0,[0.     0.0091 0.0006 0.0493 0.3092 0.0449 0.2711]
84,1.68,[1.6937],[-0.0159],[14.3968  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0092 0.001  0.0495 0.312  0.0453 0.2737],7.643335533152453,494.73551487922276,True,[0.0063],1.0,1.0,[0.     0.009  0.0006 0.0487 0.3122 0.0452 0.2734]
85,1.7,[1.6933],[-0.0218],[14.3934  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.0091 0.001  0.0493 0.314  0.0455 0.2767],7.6400404969899265,502.3755553762127,True,[0.0067],1.0,1.0,[0.     0.0089 0.0006 0.0485 0.3142 0.0456 0.277 ]
86,1.72,[1.6929],[-0.0195],[14.3898  0.3147  0.2036  0.1913  0.3649  0.2848  0.1195],[0.009  0.001  0.0491 0.3159 0.0458 0.2795],7.6368999217585625,510.01245529797126,True,[0.0071],1.0,1.0,[0.     0.0088 0.0006 0.0486 0.3161 0.0458 0.2798]
87,1.74,[1.6926],[-0.0121],[14.3871  0.3147  0.2036  0.1913  0.3649  0.2848  0.1196],[0.009  0.001  0.049  0.3165 0.046  0.2813],7.63523687466435,517.6476921726356,True,[0.0074],1.0,1.0,[0.     0.0089 0.0006 0.0488 0.3166 0.046  0.2814]
