step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
11,0.22,[0.],0.0,[0.9336],[0.0558],[6.5669 0.2477 0.1558 0.1456 0.3303 0.264  0.1114],[0.0211 0.0253 0.0233 0.9241 0.9241 0.9241],-2.4007150703059392,-28.26260796308097,False,[1.0664],[0.004  0.0047 0.0044 0.924  0.924  0.924 ],[0.9959 0.9951 0.9954 0.074  0.0741 0.0741],[0.0001 0.0002 0.0002 0.002  0.0019 0.0019],0.0010597878538300984,0.8275665088902681,1.227341848229487,[0.     0.004  0.0047 0.0044 0.924  0.924  0.924 ]
12,0.24,[0.],0.0,[0.9356],[0.1401],[6.5813 0.2478 0.1558 0.1456 0.3302 0.2639 0.1114],[0.0175 0.021  0.0194 0.9243 0.9243 0.9243],-2.3987825204891338,-30.661390483570106,False,[1.0644],[0.0031 0.0036 0.0034 0.9244 0.9244 0.9244],[0.9967 0.9961 0.9964 0.0734 0.0735 0.0735],[0.0001 0.0002 0.0002 0.0022 0.0021 0.0021],0.001144426272155064,0.8275665088902681,1.227341848229487,[0.     0.0031 0.0036 0.0034 0.9244 0.9244 0.9244]
13,0.26,[0.],0.0,[0.9393],[0.2209],[6.6073 0.2478 0.1559 0.1457 0.3301 0.2638 0.1114],[0.0146 0.0174 0.0161 0.9241 0.9241 0.9241],-2.394758405496036,-33.056148889066144,False,[1.0607],[0.0025 0.0029 0.0027 0.924  0.924  0.924 ],[0.9974 0.9969 0.9971 0.0737 0.0738 0.0738],[0.0001 0.0002 0.0002 0.0023 0.0022 0.0022],0.0012287187766743075,0.8275665088902681,1.227341848229487,[0.     0.0025 0.0029 0.0027 0.924  0.924  0.924 ]
14,0.28,[0.],0.0,[0.9446],[0.2965],[6.6443 0.2479 0.156  0.1458 0.3299 0.2636 0.1113],[0.0122 0.0145 0.0134 0.9243 0.9243 0.9243],-2.3896766388081345,-35.44582552787428,False,[1.0554],[0.002  0.0023 0.0021 0.9244 0.9244 0.9244],[0.9979 0.9975 0.9976 0.0731 0.0732 0.0732],[0.0001 0.0002 0.0002 0.0025 0.0024 0.0024],0.0013132029573715495,0.8275665088902681,1.227341848229487,[0.     0.002  0.0023 0.0021 0.9244 0.9244 0.9244]
15,0.3,[0.],0.0,[0.9513],[0.3653],[6.6914 0.248  0.1561 0.1459 0.3297 0.2634 0.1112],[0.0102 0.0121 0.0112 0.9241 0.9241 0.9241],-2.382696944024202,-37.82852247189848,False,[1.0487],[0.0016 0.0018 0.0017 0.924  0.924  0.924 ],[0.9982 0.9979 0.998  0.0733 0.0734 0.0734],[0.0001 0.0002 0.0002 0.0027 0.0026 0.0026],0.0013973333456469082,0.8275665088902681,1.227341848229487,[0.     0.0016 0.0018 0.0017 0.924  0.924  0.924 ]
16,0.32,[0.],0.0,[0.9592],[0.4263],[6.7476 0.2482 0.1562 0.1461 0.3295 0.2632 0.1111],[0.0085 0.01   0.0093 0.9243 0.9243 0.9243],-2.374914686379965,-40.20343715827845,False,[1.0408],[0.0014 0.0015 0.0014 0.9244 0.9244 0.9244],[0.9985 0.9983 0.9983 0.0728 0.0728 0.0728],[0.0001 0.0002 0.0002 0.0028 0.0028 0.0028],0.0014817316604927948,0.8275665088902681,1.227341848229487,[0.     0.0014 0.0015 0.0014 0.9244 0.9244 0.9244]
17,0.34,[0.],0.0,[0.9684],[0.4785],[6.8118 0.2483 0.1564 0.1462 0.3292 0.2629 0.111 ],[0.0071 0.0084 0.0078 0.9241 0.9241 0.9241],-2.3655405026205756,-42.56897766089902,False,[1.0316],[0.0012 0.0013 0.0012 0.924  0.924  0.924 ],[0.9987 0.9985 0.9986 0.073  0.0731 0.0731],[0.0001 0.0002 0.0002 0.003  0.0029 0.0029],0.0015657507080290925,0.8275665088902681,1.227341848229487,[0.     0.0012 0.0013 0.0012 0.924  0.924  0.924 ]
18,0.36,[0.],0.0,[0.9784],[0.5212],[6.8825 0.2485 0.1566 0.1464 0.3289 0.2625 0.1109],[0.0059 0.007  0.0065 0.9243 0.9243 0.9243],-2.355709228080792,-44.924686888979814,False,[1.0216],[0.001  0.0011 0.0011 0.9244 0.9244 0.9244],[0.9989 0.9987 0.9987 0.0724 0.0725 0.0725],[0.0001 0.0002 0.0002 0.0032 0.0031 0.0031],0.001650100935088032,0.8275665088902681,1.227341848229487,[0.     0.001  0.0011 0.0011 0.9244 0.9244 0.9244]
19,0.38,[0.],0.0,[0.9892],[0.5539],[6.9585 0.2487 0.1568 0.1466 0.3285 0.2622 0.1107],[0.005  0.0059 0.0055 0.9241 0.9241 0.9241],-2.3446605568923986,-47.269347445872214,False,[1.0108],[8.9379e-04 9.5794e-04 9.2768e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.999  0.9988 0.9989 0.0727 0.0728 0.0728],[0.0001 0.0002 0.0002 0.0033 0.0033 0.0033],0.0017340368195257934,0.8275665088902681,1.227341848229487,"[0.0000e+00 8.9379e-04 9.5794e-04 9.2768e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
20,0.4,[0.],0.0,[1.0006],[0.5765],[7.0383 0.2489 0.157  0.1468 0.3281 0.2618 0.1106],[0.0043 0.0049 0.0046 0.9243 0.9243 0.9243],-2.3335482150114233,-49.60289566088364,False,[0.9994],[8.0814e-04 8.5618e-04 8.3353e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9991 0.9989 0.9989 0.0721 0.0722 0.0722],[0.0001 0.0002 0.0002 0.0035 0.0034 0.0034],0.0018183599831339495,0.8275665088902681,1.227341848229487,"[0.0000e+00 8.0814e-04 8.5618e-04 8.3353e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
