episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
70,0,0.0,[1.],1.0,[0.3143],[0.7303],[0.1055 0.1055 0.1055 0.3378 0.3378 0.3378],[0.2326 0.2326 0.2326 0.     0.     0.    ],[0.662  0.662  0.662  0.6622 0.6622 0.6622],0.6620580693792737,0.8,2.0,-2.085339393166641,-2.085339393166641,[1.6857],[1.     0.1055 0.1055 0.1055 0.3378 0.3378 0.3378],0.7303004860877991
70,1,0.02,[1.],1.0,[0.3375],[1.5095],[0.0709 0.0709 0.0709 0.3378 0.3378 0.3378],[2.6728e-01 2.6728e-01 2.6728e-01 1.2448e-06 1.2448e-06 1.2448e-06],[0.6618 0.6618 0.6618 0.6622 0.6622 0.6622],0.6620045411552768,0.8,2.0,-2.131796951249479,-4.2171363444161205,[1.6625],[1.     0.0709 0.0709 0.0709 0.3378 0.3378 0.3378],1.5095094442367554
70,2,0.04,[1.],1.0,[0.3759],[2.2448],[0.0496 0.0496 0.0496 0.3377 0.3377 0.3377],[0.2888 0.2888 0.2888 0.     0.     0.    ],[0.6616 0.6616 0.6616 0.6623 0.6623 0.6623],0.661947879862875,0.8,2.0,-2.1138279626493426,-6.330964307065463,[1.6241],[1.     0.0496 0.0496 0.0496 0.3377 0.3377 0.3377],2.2447781562805176
70,3,0.06,[1.],1.0,[0.4282],[2.9067],[0.0355 0.0355 0.0355 0.3377 0.3377 0.3377],[3.0306e-01 3.0306e-01 3.0306e-01 1.2451e-06 1.2451e-06 1.2451e-06],[0.6614 0.6614 0.6614 0.6623 0.6623 0.6623],0.6618892905141508,0.8,2.0,-2.066914557501644,-8.397878864567106,[1.5718],[1.     0.0355 0.0355 0.0355 0.3377 0.3377 0.3377],2.906748056411743
70,4,0.08,[1.],1.0,[0.4928],[3.4834],[0.0258 0.0258 0.0258 0.3376 0.3376 0.3376],[0.3129 0.3129 0.3129 0.     0.     0.    ],[0.6613 0.6613 0.6613 0.6624 0.6624 0.6624],0.6618294357202242,0.8,2.0,-2.0027968196114516,-10.400675684178559,[1.5072],[1.     0.0258 0.0258 0.0258 0.3376 0.3376 0.3376],3.4833567142486572
70,5,0.1,[1.],1.0,[0.568],[3.9693],[0.019  0.019  0.019  0.3375 0.3375 0.3375],[3.1991e-01 3.1991e-01 3.1991e-01 1.2453e-06 1.2453e-06 1.2453e-06],[0.6611 0.6611 0.6611 0.6625 0.6625 0.6625],0.6617687189357196,0.8,2.0,-1.926637222549198,-12.327312906727757,[1.432],[1.     0.019  0.019  0.019  0.3375 0.3375 0.3375],3.969325304031372
70,6,0.12,[1.],1.0,[0.6519],[4.3637],[0.0141 0.0141 0.0141 0.3375 0.3375 0.3375],[ 3.2497e-01  3.2497e-01  3.2497e-01 -2.1176e-22 -2.1176e-22 -2.1176e-22],[0.6609 0.6609 0.6609 0.6625 0.6625 0.6625],0.6617074010056071,0.8,2.0,-1.8414375274378554,-14.168750434165613,[1.3481],[1.     0.0141 0.0141 0.0141 0.3375 0.3375 0.3375],4.363710403442383
70,7,0.14,[1.],1.0,[0.7427],[4.6697],[0.0106 0.0106 0.0106 0.3374 0.3374 0.3374],[3.2869e-01 3.2869e-01 3.2869e-01 1.2455e-06 1.2455e-06 1.2455e-06],[0.6607 0.6607 0.6607 0.6626 0.6626 0.6626],0.6616456583386016,0.8,2.0,-1.74938607081751,-15.918136504983122,[1.2573],[1.     0.0106 0.0106 0.0106 0.3374 0.3374 0.3374],4.669731616973877
70,8,0.16,[1.],1.0,[0.8387],[4.8974],[0.008  0.008  0.008  0.3374 0.3374 0.3374],[3.3147e-01 3.3147e-01 3.3147e-01 2.1176e-22 2.1176e-22 2.1176e-22],[0.6605 0.6605 0.6605 0.6626 0.6626 0.6626],0.6615836130570517,0.8,2.0,-1.6523086519383563,-17.57044515692148,[1.1613],[1.     0.008  0.008  0.008  0.3374 0.3374 0.3374],4.897384166717529
70,9,0.18,[1.],1.0,[0.9386],[5.0692],[0.0061 0.0061 0.0061 0.3373 0.3373 0.3373],[3.3356e-01 3.3356e-01 3.3356e-01 1.2458e-06 1.2458e-06 1.2458e-06],[0.6603 0.6603 0.6603 0.6627 0.6627 0.6627],0.6615213520974,0.8,2.0,-1.5515070167270828,-19.121952173648562,[1.0614],[1.     0.0061 0.0061 0.0061 0.3373 0.3373 0.3373],5.069239616394043
