episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
75,0,0.0,[1.],1.0,[0.2602],[0.2962],[0.0931 0.0931 0.0931 0.2899 0.2899 0.2899],[0.1969 0.1969 0.1969 0.     0.     0.    ],[0.7099 0.7099 0.7099 0.7101 0.7101 0.7101],0.7100266554661202,0.8,2.0,-2.0892096482061646,-2.0892096482061646,[1.7398],[1.     0.0931 0.0931 0.0931 0.2899 0.2899 0.2899],0.29621824622154236
75,1,0.02,[1.],1.0,[0.2698],[0.6308],[0.0635 0.0635 0.0635 0.2898 0.2898 0.2898],[2.2676e-01 2.2676e-01 2.2676e-01 1.3350e-06 1.3350e-06 1.3350e-06],[0.7097 0.7097 0.7097 0.7102 0.7102 0.7102],0.7099608178209439,0.8,2.0,-2.1376966611934898,-4.226906309399654,[1.7302],[1.     0.0635 0.0635 0.0635 0.2898 0.2898 0.2898],0.6307942271232605
75,2,0.04,[1.],1.0,[0.2861],[0.9602],[0.0448 0.0448 0.0448 0.2898 0.2898 0.2898],[2.4569e-01 2.4569e-01 2.4569e-01 1.7437e-07 1.7437e-07 1.7437e-07],[0.7096 0.7096 0.7096 0.7102 0.7102 0.7102],0.7098922992379233,0.8,2.0,-2.1370623909514275,-6.363968700351082,[1.7139],[1.     0.0448 0.0448 0.0448 0.2898 0.2898 0.2898],0.9601749777793884
75,3,0.06,[1.],1.0,[0.3087],[1.271],[0.0322 0.0322 0.0322 0.2897 0.2897 0.2897],[2.5842e-01 2.5842e-01 2.5842e-01 1.1837e-06 1.1837e-06 1.1837e-06],[0.7094 0.7094 0.7094 0.7103 0.7103 0.7103],0.7098220929395068,0.8,2.0,-2.1178762320063993,-8.48184493235748,[1.6913],[1.     0.0322 0.0322 0.0322 0.2897 0.2897 0.2897],1.2709940671920776
75,4,0.08,[1.],1.0,[0.3373],[1.5573],[0.0235 0.0235 0.0235 0.2897 0.2897 0.2897],[2.6730e-01 2.6730e-01 2.6730e-01 3.0655e-07 3.0655e-07 3.0655e-07],[0.7092 0.7092 0.7092 0.7103 0.7103 0.7103],0.7097507650297538,0.8,2.0,-2.0890717336780367,-10.570916666035517,[1.6627],[1.     0.0235 0.0235 0.0235 0.2897 0.2897 0.2897],1.5572879314422607
75,5,0.1,[1.],1.0,[0.3714],[1.8155],[0.0174 0.0174 0.0174 0.2896 0.2896 0.2896],[2.7365e-01 2.7365e-01 2.7365e-01 1.0690e-06 1.0690e-06 1.0690e-06],[0.709  0.709  0.709  0.7104 0.7104 0.7104],0.709678667716546,0.8,2.0,-2.0538432712519725,-12.62475993728749,[1.6286],[1.     0.0174 0.0174 0.0174 0.2896 0.2896 0.2896],1.8155055046081543
75,6,0.12,[1.],1.0,[0.4102],[2.0432],[0.0129 0.0129 0.0129 0.2896 0.2896 0.2896],[2.7828e-01 2.7828e-01 2.7828e-01 4.0670e-07 4.0670e-07 4.0670e-07],[0.7088 0.7088 0.7088 0.7104 0.7104 0.7104],0.7096060320248286,0.8,2.0,-2.013638466439722,-14.638398403727212,[1.5898],[1.     0.0129 0.0129 0.0129 0.2896 0.2896 0.2896],2.0431838035583496
75,7,0.14,[1.],1.0,[0.4533],[2.2386],[0.0097 0.0097 0.0097 0.2895 0.2895 0.2895],[2.8170e-01 2.8170e-01 2.8170e-01 9.8232e-07 9.8232e-07 9.8232e-07],[0.7086 0.7086 0.7086 0.7105 0.7105 0.7105],0.7095330156080815,0.8,2.0,-1.9693581486614053,-16.60775655238862,[1.5467],[1.     0.0097 0.0097 0.0097 0.2895 0.2895 0.2895],2.2385900020599365
75,8,0.16,[1.],1.0,[0.4999],[2.4006],[0.0074 0.0074 0.0074 0.2895 0.2895 0.2895],[2.8426e-01 2.8426e-01 2.8426e-01 4.8253e-07 4.8253e-07 4.8253e-07],[0.7084 0.7084 0.7084 0.7105 0.7105 0.7105],0.7094597284944673,0.8,2.0,-1.9217415408745617,-18.52949809326318,[1.5001],[1.     0.0074 0.0074 0.0074 0.2895 0.2895 0.2895],2.400639772415161
75,9,0.18,[1.],1.0,[0.5494],[2.5289],[0.0056 0.0056 0.0056 0.2894 0.2894 0.2894],[2.8620e-01 2.8620e-01 2.8620e-01 9.1679e-07 9.1679e-07 9.1679e-07],[0.7082 0.7082 0.7082 0.7106 0.7106 0.7106],0.7093862492219541,0.8,2.0,-1.8714349504280172,-20.400933043691197,[1.4506],[1.     0.0056 0.0056 0.0056 0.2894 0.2894 0.2894],2.528886318206787
