episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
43,0,0.0,[1.],1.0,[0.583],[0.8917],[0.1573 0.1573 0.1573 0.5969 0.5969 0.5969],[0.4398 0.4398 0.4398 0.     0.     0.    ],[0.403  0.403  0.403  0.4031 0.4031 0.4031],0.40302754361799903,0.8,2.0,-2.0618649536897253,-2.0618649536897253,[1.417],[1.     0.1573 0.1573 0.1573 0.5969 0.5969 0.5969],0.8916762471199036
43,1,0.02,[1.],1.0,[0.6114],[1.8479],[0.0996 0.0996 0.0996 0.5968 0.5968 0.5968],[4.9755e-01 4.9755e-01 4.9755e-01 7.5780e-07 7.5780e-07 7.5780e-07],[0.4029 0.4029 0.4029 0.4032 0.4032 0.4032],0.4030391258498876,0.8,2.0,-2.1676130622766943,-4.22947801596642,[1.3886],[1.     0.0996 0.0996 0.0996 0.5968 0.5968 0.5968],1.8478981256484985
43,2,0.04,[1.],1.0,[0.6583],[2.7423],[0.0674 0.0674 0.0674 0.5967 0.5967 0.5967],[ 5.2981e-01  5.2981e-01  5.2981e-01 -2.1176e-22 -2.1176e-22 -2.1176e-22],[0.4028 0.4028 0.4028 0.4033 0.4033 0.4033],0.403045449242384,0.8,2.0,-2.1730071608207044,-6.402485176787124,[1.3417],[1.     0.0674 0.0674 0.0674 0.5967 0.5967 0.5967],2.7423174381256104
43,3,0.06,[1.],1.0,[0.722],[3.5252],[0.0473 0.0473 0.0473 0.5966 0.5966 0.5966],[5.5001e-01 5.5001e-01 5.5001e-01 7.5820e-07 7.5820e-07 7.5820e-07],[0.4027 0.4027 0.4027 0.4034 0.4034 0.4034],0.4030488426911126,0.8,2.0,-2.1310096387572806,-8.533494815544405,[1.278],[1.     0.0473 0.0473 0.0473 0.5966 0.5966 0.5966],3.5251615047454834
43,4,0.08,[1.],1.0,[0.7999],[4.18],[0.0339 0.0339 0.0339 0.5965 0.5965 0.5965],[0.5635 0.5635 0.5635 0.     0.     0.    ],[0.4026 0.4026 0.4026 0.4035 0.4035 0.4035],0.4030504069331502,0.8,2.0,-2.061761918761341,-10.595256734305746,[1.2001],[1.     0.0339 0.0339 0.0339 0.5965 0.5965 0.5965],4.179986000061035
43,5,0.1,[1.],1.0,[0.8897],[4.7323],[0.0247 0.0247 0.0247 0.5964 0.5964 0.5964],[5.7278e-01 5.7278e-01 5.7278e-01 7.5861e-07 7.5861e-07 7.5861e-07],[0.4025 0.4025 0.4025 0.4036 0.4036 0.4036],0.4030507582837113,0.8,2.0,-1.9749374235758435,-12.57019415788159,[1.1103],[1.     0.0247 0.0247 0.0247 0.5964 0.5964 0.5964],4.732276916503906
43,6,0.12,[1.],1.0,[0.9896],[5.1952],[0.0182 0.0182 0.0182 0.5963 0.5963 0.5963],[5.7939e-01 5.7939e-01 5.7939e-01 1.0588e-22 1.0588e-22 1.0588e-22],[0.4024 0.4024 0.4024 0.4037 0.4037 0.4037],0.4030502753153078,0.8,2.0,-1.875609933489986,-14.445804091371576,[1.0104],[1.     0.0182 0.0182 0.0182 0.5963 0.5963 0.5963],5.195232391357422
43,7,0.14,[1.],1.0,[1.0978],[5.5677],[0.0136 0.0136 0.0136 0.5962 0.5962 0.5962],[5.8417e-01 5.8417e-01 5.8417e-01 7.5902e-07 7.5902e-07 7.5902e-07],[0.4023 0.4023 0.4023 0.4038 0.4038 0.4038],0.403049205009572,0.8,2.0,-1.7670407275156632,-16.212844818887238,[0.9022],[1.     0.0136 0.0136 0.0136 0.5962 0.5962 0.5962],5.567737579345703
43,8,0.16,[1.],1.0,[1.2124],[5.854],[0.0102 0.0102 0.0102 0.5961 0.5961 0.5961],[5.8767e-01 5.8767e-01 5.8767e-01 1.0588e-22 1.0588e-22 1.0588e-22],[0.4021 0.4021 0.4021 0.4039 0.4039 0.4039],0.40304771457008176,0.8,2.0,-1.6516533559426634,-17.8644981748299,[0.7876],[1.     0.0102 0.0102 0.0102 0.5961 0.5961 0.5961],5.854034900665283
43,9,0.18,[1.],1.0,[1.3319],[6.0628],[0.0077 0.0077 0.0077 0.5959 0.5959 0.5959],[5.9026e-01 5.9026e-01 5.9026e-01 7.5942e-07 7.5942e-07 7.5942e-07],[0.402  0.402  0.402  0.4041 0.4041 0.4041],0.40304592072057055,0.8,2.0,-1.531351325163881,-19.395849499993783,[0.6681],[1.     0.0077 0.0077 0.0077 0.5959 0.5959 0.5959],6.062835216522217
43,10,0.2,[1.],1.0,[1.4548],[6.1988],[0.0059 0.0059 0.0059 0.5958 0.5958 0.5958],[ 5.9221e-01  5.9221e-01  5.9221e-01 -1.0588e-22 -1.0588e-22 -1.0588e-22],[0.4019 0.4019 0.4019 0.4042 0.4042 0.4042],0.40304390613780566,0.8,2.0,-1.4077543732663644,-20.803603873260148,[0.5452],[1.     0.0059 0.0059 0.0059 0.5958 0.5958 0.5958],6.1987504959106445
43,11,0.22,[1.],1.0,[1.5797],[6.2715],[0.0045 0.0045 0.0045 0.5957 0.5957 0.5957],[5.9367e-01 5.9367e-01 5.9367e-01 7.5983e-07 7.5983e-07 7.5983e-07],[0.4018 0.4018 0.4018 0.4043 0.4043 0.4043],0.4030417306173239,0.8,2.0,-1.282271300225093,-22.085875173485242,[0.4203],[1.     0.0045 0.0045 0.0045 0.5957 0.5957 0.5957],6.271456718444824
43,12,0.24,[0.8013],0.8012746572494507,[1.7031],[6.0874],[0.0035 0.0035 0.0035 0.5956 0.5956 0.5956],[0.5948 0.5948 0.5948 0.     0.     0.    ],[0.4017 0.4017 0.4017 0.4044 0.4044 0.4044],0.40303943743668363,0.8,2.0,-1.1583116402363132,-23.244186813721555,[0.2969],[0.8013 0.0035 0.0035 0.0035 0.5956 0.5956 0.5956],6.087368965148926
43,13,0.26,[0.3067],0.30670517683029175,[1.8169],[5.3717],[0.0031 0.0028 0.0028 0.5955 0.5955 0.5955],[5.9530e-01 5.9559e-01 5.9560e-01 7.6023e-07 7.6023e-07 7.6023e-07],[0.4016 0.4016 0.4016 0.4045 0.4045 0.4045],0.4030370585692797,0.8,2.0,2.9559398823122707,-20.288246931409283,[0.1831],[0.3067 0.0031 0.0028 0.0028 0.5955 0.5955 0.5955],5.371721267700195
43,14,0.28,[0.],0.0,[1.9132],[4.3637],[0.0422 0.0041 0.0134 0.2315 0.298  0.3942],[0.5562 0.5944 0.585  0.364  0.2975 0.2014],[0.4016 0.4016 0.4016 0.4045 0.4045 0.4045],0.40303422475876816,0.8,2.0,7.170572523976949,-13.117674407432334,[0.0868],[0.     0.0422 0.0041 0.0134 0.2315 0.298  0.3942],4.363712787628174
43,15,0.3,[0.],0.0,[1.9888],[3.288],[0.184  0.0083 0.0755 0.1408 0.175  0.2094],[0.4144 0.5901 0.5229 0.4548 0.4205 0.3862],[0.4016 0.4016 0.4016 0.4044 0.4044 0.4044],0.40300670721455867,0.8,2.0,7.359503442622167,-5.7581709648101675,[0.0112],[0.     0.184  0.0083 0.0755 0.1408 0.175  0.2094],3.2879996299743652
43,16,0.32,[0.],0.0,[2.0414],[2.0636],[0.3284 0.0104 0.1958 0.0948 0.1117 0.1348],[0.27   0.588  0.4026 0.5009 0.4839 0.4608],[0.4016 0.4016 0.4016 0.4043 0.4043 0.4044],0.4029734113069979,0.8,2.0,7.3841020969947655,1.625931132184598,[-0.0414],[0.     0.3284 0.0104 0.1958 0.0948 0.1117 0.1348],2.0636441707611084
43,17,0.34,[0.],0.0,[2.069],[0.8303],[0.2852 0.0101 0.1793 0.0715 0.0757 0.0992],[0.3132 0.5885 0.4192 0.5242 0.52   0.4966],[0.4016 0.4015 0.4015 0.4042 0.4042 0.4043],0.4028863984981163,0.8,2.0,7.426639511300483,9.05257064348508,[-0.069],[0.     0.2852 0.0101 0.1793 0.0715 0.0757 0.0992],0.8302947282791138
43,18,0.36,[0.1378],0.13777175545692444,[2.0747],[-0.1447],[0.2107 0.0087 0.1525 0.0646 0.0538 0.0827],[0.3878 0.5899 0.4461 0.5313 0.5421 0.5131],[0.4015 0.4014 0.4014 0.4041 0.4041 0.4042],0.4027947029513295,0.8,2.0,7.48214028842606,16.53471093191114,[-0.0747],[0.1378 0.2107 0.0087 0.1525 0.0646 0.0538 0.0827],0.14473329484462738
43,19,0.38,[0.3695],0.3694932460784912,[2.0648],[-0.7588],[0.1424 0.007  0.1172 0.1443 0.0402 0.0997],[0.4561 0.5918 0.4814 0.4516 0.5558 0.4961],[0.4014 0.4013 0.4014 0.4041 0.404  0.4042],0.4027362695569026,0.8,2.0,7.538582480421839,24.07329341233298,[-0.0648],[0.3695 0.1424 0.007  0.1172 0.1443 0.0402 0.0997],0.7588101625442505
43,20,0.4,[0.5861],0.5860703587532043,[2.0464],[-1.0469],[0.0967 0.0054 0.0868 0.3699 0.0324 0.2279],[0.5019 0.5934 0.512  0.226  0.5637 0.3679],[0.4013 0.4011 0.4013 0.4042 0.4039 0.4042],0.40267717761655836,0.8,2.0,7.532936135195966,31.606229547528947,[-0.0464],[0.5861 0.0967 0.0054 0.0868 0.3699 0.0324 0.2279],1.0468881130218506
43,21,0.42,[0.7672],0.7672302722930908,[2.0251],[-1.0679],[0.0683 0.0042 0.0681 0.4212 0.0286 0.4427],[0.5305 0.5948 0.5307 0.1745 0.5675 0.153 ],[0.4013 0.401  0.4012 0.4042 0.4038 0.4043],0.402626262397521,0.8,2.0,7.47300529294085,39.079234840469795,[-0.0251],[0.7672 0.0683 0.0042 0.0681 0.4212 0.0286 0.4427],1.0679285526275635
43,22,0.44,[0.8969],0.8968696594238281,[2.0055],[-0.8988],[0.0498 0.0033 0.0567 0.5957 0.0277 0.5211],[0.5491 0.5958 0.5422 0.     0.5686 0.0746],[0.4012 0.4009 0.4011 0.4043 0.4037 0.4043],0.40258187618113955,0.8,2.0,7.386924352187307,46.4661591926571,[-0.0055],[0.8969 0.0498 0.0033 0.0567 0.5957 0.0277 0.5211],0.898806631565094
43,23,0.46,[0.9732],0.9732497930526733,[1.9906],[-0.6163],[0.0377 0.0026 0.0552 0.5161 0.0285 0.5956],[0.5612 0.5966 0.5439 0.0796 0.5677 0.    ],[0.401  0.4008 0.401  0.4043 0.4037 0.4044],0.4025441998269667,0.8,2.0,7.3462012425101,53.8123604351672,[0.0094],[0.9732 0.0377 0.0026 0.0552 0.5161 0.0285 0.5956],0.6163375973701477
43,24,0.48,[1.],1.0,[1.9819],[-0.2886],[0.0293 0.0021 0.0542 0.5504 0.0339 0.5936],[0.5698 0.5972 0.545  0.0452 0.5623 0.002 ],[0.4009 0.4007 0.4009 0.4044 0.4037 0.4044],0.4025059703570763,0.8,2.0,7.313197036977606,61.125557472144806,[0.0181],[1.     0.0293 0.0021 0.0542 0.5504 0.0339 0.5936],0.2885732054710388
43,25,0.5,[1.],1.0,[1.9798],[0.0451],[0.0236 0.0017 0.067  0.5113 0.034  0.5807],[0.5755 0.5977 0.5321 0.0843 0.5622 0.0149],[0.4008 0.4006 0.4009 0.4044 0.4037 0.4044],0.4024684365099505,0.8,2.0,7.314012735115548,68.43957020726036,[0.0202],[1.     0.0236 0.0017 0.067  0.5113 0.034  0.5807],0.04508490860462189
43,26,0.52,[0.976],0.9760335683822632,[1.9841],[0.352],[0.0202 0.0015 0.083  0.4598 0.0333 0.5322],[0.5791 0.598  0.5161 0.1358 0.563  0.0634],[0.4007 0.4005 0.4009 0.4044 0.4036 0.4044],0.4024106955247464,0.8,2.0,7.338493632766779,75.77806384002714,[0.0159],[0.976  0.0202 0.0015 0.083  0.4598 0.0333 0.5322],0.3519582450389862
43,27,0.54,[0.9193],0.9192726612091064,[1.9937],[0.5914],[0.0189 0.0014 0.1075 0.3903 0.0315 0.4507],[0.5805 0.5983 0.4916 0.2054 0.565  0.1449],[0.4006 0.4004 0.4009 0.4043 0.4035 0.4044],0.4023502875337908,0.8,2.0,7.3856440200546345,83.16370786008179,[0.0063],[0.9193 0.0189 0.0014 0.1075 0.3903 0.0315 0.4507],0.591365396976471
43,28,0.56,[0.8475],0.8474678993225098,[2.0073],[0.7445],[0.0219 0.0013 0.1268 0.3222 0.0288 0.3604],[0.5775 0.5984 0.4723 0.2735 0.5678 0.2352],[0.4006 0.4002 0.4009 0.4043 0.4034 0.4044],0.40230465088874956,0.8,2.0,7.433698339275287,90.59740619935707,[-0.0073],[0.8475 0.0219 0.0013 0.1268 0.3222 0.0288 0.3604],0.7444583773612976
43,29,0.58,[0.7699],0.7699337005615234,[2.0229],[0.8078],[0.0308 0.0013 0.1391 0.2641 0.0256 0.2796],[0.5686 0.5984 0.4599 0.3316 0.5711 0.3161],[0.4006 0.4002 0.4009 0.4042 0.4033 0.4043],0.40227349285181796,0.8,2.0,7.471884501220773,98.06929070057784,[-0.0229],[0.7699 0.0308 0.0013 0.1391 0.2641 0.0256 0.2796],0.8077645301818848
43,30,0.6,[0.6956],0.6956467628479004,[2.0388],[0.7888],[0.0413 0.0015 0.1536 0.2157 0.0225 0.2145],[0.5581 0.5983 0.4454 0.3801 0.5743 0.3813],[0.4006 0.4002 0.401  0.4042 0.4032 0.4042],0.4022386767272063,0.8,2.0,7.507558567349619,105.57684926792746,[-0.0388],[0.6956 0.0413 0.0015 0.1536 0.2157 0.0225 0.2145],0.7887897491455078
43,31,0.62,[0.6316],0.6316112279891968,[2.0536],[0.7038],[0.0514 0.0016 0.158  0.1787 0.0195 0.1659],[0.548  0.5982 0.4411 0.4172 0.5774 0.43  ],[0.4006 0.4002 0.401  0.4041 0.4031 0.4042],0.4022010855242461,0.8,2.0,7.5404169670003265,113.11726623492778,[-0.0536],[0.6316 0.0514 0.0016 0.158  0.1787 0.0195 0.1659],0.7038361430168152
43,32,0.64,[0.583],0.5830478072166443,[2.0663],[0.5738],[0.0588 0.0016 0.1645 0.1507 0.0169 0.1303],[0.5405 0.5982 0.4345 0.4453 0.5801 0.4656],[0.4006 0.4002 0.401  0.404  0.403  0.4041],0.4021612543541837,0.8,2.0,7.568632097909205,120.68589833283698,[-0.0663],[0.583  0.0588 0.0016 0.1645 0.1507 0.0169 0.1303],0.5737690925598145
43,33,0.66,[0.552],0.5519554615020752,[2.076],[0.4211],[0.0615 0.0016 0.1624 0.1312 0.0147 0.1051],[0.5379 0.5983 0.4366 0.4649 0.5824 0.4909],[0.4007 0.4001 0.4009 0.4039 0.4029 0.404 ],0.4020824431337606,0.8,2.0,7.5948035299230225,128.28070186276,[-0.076],[0.552  0.0615 0.0016 0.1624 0.1312 0.0147 0.1051],0.4210920035839081
43,34,0.68,[0.5381],0.5381250381469727,[2.0827],[0.2669],[0.0609 0.0016 0.1587 0.1184 0.013  0.0872],[0.5385 0.5984 0.4404 0.4777 0.5842 0.5089],[0.4006 0.4    0.4009 0.4038 0.4028 0.4039],0.4019835428419354,0.8,2.0,7.618088838984659,135.89879070174464,[-0.0827],[0.5381 0.0609 0.0016 0.1587 0.1184 0.013  0.0872],0.2668551504611969
43,35,0.7000000000000001,[0.5389],0.5388704538345337,[2.0865],[0.127],[0.059  0.0015 0.1516 0.1118 0.0118 0.0751],[0.5406 0.5986 0.4476 0.4845 0.5856 0.5211],[0.4004 0.3999 0.4008 0.4037 0.4026 0.4038],0.40188355733081,0.8,2.0,7.639193817285039,143.5379845190297,[-0.0865],[0.5389 0.059  0.0015 0.1516 0.1118 0.0118 0.0751],0.12695549428462982
