episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
81,0,0.0,[1.],1.0,[0.2017],[0.3683],[0.0772 0.0772 0.0772 0.2323 0.2323 0.2323],[0.1554 0.1554 0.1554 0.     0.     0.    ],[0.7675 0.7675 0.7675 0.7677 0.7677 0.7677],0.7675889945247855,0.8,2.0,-2.085035455224283,-2.085035455224283,[1.7983],[1.     0.0772 0.0772 0.0772 0.2323 0.2323 0.2323],0.3683392405509949
81,1,0.02,[1.],1.0,[0.2134],[0.7671],[0.0536 0.0536 0.0536 0.2323 0.2323 0.2323],[1.7916e-01 1.7916e-01 1.7916e-01 1.4433e-06 1.4433e-06 1.4433e-06],[0.7673 0.7673 0.7673 0.7677 0.7677 0.7677],0.7675082816407884,0.8,2.0,-2.117831135342598,-4.202866590566881,[1.7866],[1.     0.0536 0.0536 0.0536 0.2323 0.2323 0.2323],0.7671086192131042
81,2,0.04,[1.],1.0,[0.2331],[1.1534],[0.0382 0.0382 0.0382 0.2322 0.2322 0.2322],[1.9476e-01 1.9476e-01 1.9476e-01 4.3770e-07 4.3770e-07 4.3770e-07],[0.7671 0.7671 0.7671 0.7678 0.7678 0.7678],0.7674254409366114,0.8,2.0,-2.108764720628884,-6.3116313111957645,[1.7669],[1.     0.0382 0.0382 0.0382 0.2322 0.2322 0.2322],1.1533832550048828
81,3,0.06,[1.],1.0,[0.2602],[1.5145],[0.0277 0.0277 0.0277 0.2322 0.2322 0.2322],[2.0545e-01 2.0545e-01 2.0545e-01 1.1385e-06 1.1385e-06 1.1385e-06],[0.7669 0.7669 0.7669 0.7678 0.7678 0.7678],0.7673412218918115,0.8,2.0,-2.083369820915953,-8.395001132111718,[1.7398],[1.     0.0277 0.0277 0.0277 0.2322 0.2322 0.2322],1.5145237445831299
81,4,0.08,[1.],1.0,[0.2941],[1.8449],[0.0203 0.0203 0.0203 0.2321 0.2321 0.2321],[2.1302e-01 2.1302e-01 2.1302e-01 6.5050e-07 6.5050e-07 6.5050e-07],[0.7667 0.7667 0.7667 0.7679 0.7679 0.7679],0.7672560719463509,0.8,2.0,-2.048694383895988,-10.443695516007706,[1.7059],[1.     0.0203 0.0203 0.0203 0.2321 0.2321 0.2321],1.8448551893234253
81,5,0.1,[1.],1.0,[0.3343],[2.1409],[0.0151 0.0151 0.0151 0.2321 0.2321 0.2321],[2.1848e-01 2.1848e-01 2.1848e-01 9.9056e-07 9.9056e-07 9.9056e-07],[0.7664 0.7664 0.7664 0.7679 0.7679 0.7679],0.7671702776426249,0.8,2.0,-2.0072408628984664,-12.450936378906173,[1.6657],[1.     0.0151 0.0151 0.0151 0.2321 0.2321 0.2321],2.140899896621704
81,6,0.12,[1.],1.0,[0.3801],[2.4002],[0.0113 0.0113 0.0113 0.2321 0.2321 0.2321],[2.2249e-01 2.2249e-01 2.2249e-01 7.5393e-07 7.5393e-07 7.5393e-07],[0.7662 0.7662 0.7662 0.7679 0.7679 0.7679],0.767084030677131,0.8,2.0,-1.9602630055196486,-14.41119938442582,[1.6199],[1.     0.0113 0.0113 0.0113 0.2321 0.2321 0.2321],2.4002206325531006
81,7,0.14,[1.],1.0,[0.4306],[2.6212],[0.0085 0.0085 0.0085 0.232  0.232  0.232 ],[2.2548e-01 2.2548e-01 2.2548e-01 9.1886e-07 9.1886e-07 9.1886e-07],[0.766 0.766 0.766 0.768 0.768 0.768],0.7669974635423426,0.8,2.0,-1.9086882303670993,-16.31988761479292,[1.5694],[1.     0.0085 0.0085 0.0085 0.232  0.232  0.232 ],2.6211509704589844
81,8,0.16,[1.],1.0,[0.4851],[2.8028],[0.0065 0.0065 0.0065 0.232  0.232  0.232 ],[2.2774e-01 2.2774e-01 2.2774e-01 8.0423e-07 8.0423e-07 8.0423e-07],[0.7658 0.7658 0.7658 0.768  0.768  0.768 ],0.7669106696905117,0.8,2.0,-1.8533039744599,-18.17319158925282,[1.5149],[1.     0.0065 0.0065 0.0065 0.232  0.232  0.232 ],2.802762269973755
81,9,0.18,[1.],1.0,[0.5427],[2.9449],[0.005  0.005  0.005  0.2319 0.2319 0.2319],[2.2946e-01 2.2946e-01 2.2946e-01 8.8420e-07 8.8420e-07 8.8420e-07],[0.7656 0.7656 0.7656 0.7681 0.7681 0.7681],0.7668237161866386,0.8,2.0,-1.7948792387182149,-19.968070827971033,[1.4573],[1.     0.005  0.005  0.005  0.2319 0.2319 0.2319],2.9448800086975098
81,10,0.2,[1.],1.0,[0.6028],[3.0481],[0.0038 0.0038 0.0038 0.2319 0.2319 0.2319],[2.3079e-01 2.3079e-01 2.3079e-01 8.2873e-07 8.2873e-07 8.2873e-07],[0.7654 0.7654 0.7654 0.7681 0.7681 0.7681],0.7667366516386749,0.8,2.0,-1.7341751841013542,-21.702246012072386,[1.3972],[1.     0.0038 0.0038 0.0038 0.2319 0.2319 0.2319],3.0481209754943848
81,11,0.22,[1.],1.0,[0.6646],[3.114],[0.003  0.003  0.003  0.2319 0.2319 0.2319],[2.3184e-01 2.3184e-01 2.3184e-01 8.6750e-07 8.6750e-07 8.6750e-07],[0.7652 0.7652 0.7652 0.7681 0.7681 0.7681],0.7666495116252371,0.8,2.0,-1.6719316721691984,-23.374177684241584,[1.3354],[1.     0.003  0.003  0.003  0.2319 0.2319 0.2319],3.1139755249023438
81,12,0.24,[1.],1.0,[0.7273],[3.1447],[0.0024 0.0024 0.0024 0.2318 0.2318 0.2318],[2.3267e-01 2.3267e-01 2.3267e-01 8.4072e-07 8.4072e-07 8.4072e-07],[0.7649 0.7649 0.7649 0.7682 0.7682 0.7682],0.7665623223129071,0.8,2.0,-1.6088522730699217,-24.983029957311505,[1.2727],[1.     0.0024 0.0024 0.0024 0.2318 0.2318 0.2318],3.1447103023529053
