episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
100,0,0.0,[1.],1.0,[0.0163],[0.5842],[0.0184 0.0184 0.0184 0.05   0.05   0.05  ],[0.0318 0.0318 0.0318 0.     0.     0.    ],[0.9497 0.9497 0.9497 0.95   0.95   0.95  ],0.9498697050818503,0.8,2.0,-2.050818812100515,-2.050818812100515,[1.9837],[1.     0.0184 0.0184 0.0184 0.05   0.05   0.05  ],0.5842249393463135
100,1,0.02,[1.],1.0,[0.0343],[1.1503],[0.0137 0.0137 0.0137 0.05   0.05   0.05  ],[3.6821e-02 3.6821e-02 3.6821e-02 1.7860e-06 1.7860e-06 1.7860e-06],[0.9495 0.9495 0.9495 0.95   0.95   0.95  ],0.9497411393430913,0.8,2.0,-2.0401902439030026,-4.091009056003518,[1.9657],[1.     0.0137 0.0137 0.0137 0.05   0.05   0.05  ],1.1503442525863647
100,2,0.04,[1.],1.0,[0.0632],[1.6791],[0.0103 0.0103 0.0103 0.05   0.05   0.05  ],[4.0513e-02 4.0513e-02 4.0513e-02 1.5182e-06 1.5182e-06 1.5182e-06],[0.9492 0.9492 0.9492 0.95   0.95   0.95  ],0.949612179731918,0.8,2.0,-2.0120820719605637,-6.103091127964081,[1.9368],[1.     0.0103 0.0103 0.0103 0.05   0.05   0.05  ],1.6790906190872192
100,3,0.06,[1.],1.0,[0.1022],[2.1641],[0.0078 0.0078 0.0078 0.05   0.05   0.05  ],[4.3287e-02 4.3287e-02 4.3287e-02 1.5584e-06 1.5584e-06 1.5584e-06],[0.9489 0.9489 0.9489 0.95   0.95   0.95  ],0.9494829443979401,0.8,2.0,-1.9728629224249257,-8.075954050389006,[1.8978],[1.     0.0078 0.0078 0.0078 0.05   0.05   0.05  ],2.1640822887420654
100,4,0.08,[1.],1.0,[0.1503],[2.6014],[0.0059 0.0059 0.0059 0.05   0.05   0.05  ],[4.5402e-02 4.5402e-02 4.5402e-02 1.5524e-06 1.5524e-06 1.5524e-06],[0.9487 0.9487 0.9487 0.95   0.95   0.95  ],0.9493535170577582,0.8,2.0,-1.924304485227194,-10.0002585356162,[1.8497],[1.     0.0059 0.0059 0.0059 0.05   0.05   0.05  ],2.601449966430664
100,5,0.1,[1.],1.0,[0.2067],[2.9884],[0.0046 0.0046 0.0046 0.05   0.05   0.05  ],[4.7036e-02 4.7036e-02 4.7036e-02 1.5534e-06 1.5534e-06 1.5534e-06],[0.9484 0.9484 0.9484 0.95   0.95   0.95  ],0.9492239580156507,0.8,2.0,-1.867549170481864,-11.867807706098064,[1.7933],[1.     0.0046 0.0046 0.0046 0.05   0.05   0.05  ],2.988415002822876
100,6,0.12,[1.],1.0,[0.2702],[3.3231],[0.0035 0.0035 0.0035 0.05   0.05   0.05  ],[4.8318e-02 4.8318e-02 4.8318e-02 1.5533e-06 1.5533e-06 1.5533e-06],[0.9481 0.9481 0.9481 0.95   0.95   0.95  ],0.9490943111400377,0.8,2.0,-1.8036594477427452,-13.67146715384081,[1.7298],[1.     0.0035 0.0035 0.0035 0.05   0.05   0.05  ],3.3231282234191895
100,7,0.14,[1.],1.0,[0.3399],[3.6047],[0.0028 0.0028 0.0028 0.0499 0.0499 0.0499],[4.9340e-02 4.9340e-02 4.9340e-02 1.5533e-06 1.5533e-06 1.5533e-06],[0.9479 0.9479 0.9479 0.9501 0.9501 0.9501],0.9489646085888309,0.8,2.0,-1.7337002435768054,-15.405167397417616,[1.6601],[1.     0.0028 0.0028 0.0028 0.0499 0.0499 0.0499],3.6046934127807617
100,8,0.16,[1.],1.0,[0.4146],[3.8332],[0.0022 0.0022 0.0022 0.0499 0.0499 0.0499],[5.0170e-02 5.0170e-02 5.0170e-02 1.5534e-06 1.5534e-06 1.5534e-06],[0.9476 0.9476 0.9476 0.9501 0.9501 0.9501],0.948834874066914,0.8,2.0,-1.6587369515033945,-17.06390434892101,[1.5854],[1.     0.0022 0.0022 0.0022 0.0499 0.0499 0.0499],3.833209991455078
100,9,0.18,[1.],1.0,[0.4933],[4.0098],[0.0018 0.0018 0.0018 0.0499 0.0499 0.0499],[5.0857e-02 5.0857e-02 5.0857e-02 1.5534e-06 1.5534e-06 1.5534e-06],[0.9473 0.9473 0.9473 0.9501 0.9501 0.9501],0.948705125120323,0.8,2.0,-1.5798180522463603,-18.64372240116737,[1.5067],[1.     0.0018 0.0018 0.0018 0.0499 0.0499 0.0499],4.009791851043701
100,10,0.2,[1.],1.0,[0.5749],[4.1366],[0.0015 0.0015 0.0015 0.0499 0.0499 0.0499],[5.1438e-02 5.1438e-02 5.1438e-02 1.5534e-06 1.5534e-06 1.5534e-06],[0.9471 0.9471 0.9471 0.9501 0.9501 0.9501],0.9485753747759379,0.8,2.0,-1.4979566109628608,-20.14167901213023,[1.4251],[1.     0.0015 0.0015 0.0015 0.0499 0.0499 0.0499],4.136566638946533
100,11,0.22,[1.],1.0,[0.6586],[4.2166],[0.0013 0.0013 0.0013 0.0499 0.0499 0.0499],[5.1940e-02 5.1940e-02 5.1940e-02 1.5535e-06 1.5535e-06 1.5535e-06],[0.9468 0.9468 0.9468 0.9501 0.9501 0.9501],0.9484456327270764,0.8,2.0,-1.4141114560312846,-21.555790468161515,[1.3414],[1.     0.0013 0.0013 0.0013 0.0499 0.0499 0.0499],4.216649532318115
100,12,0.24,[1.],1.0,[0.7434],[4.2541],[0.0011 0.0011 0.0011 0.0499 0.0499 0.0499],[5.2382e-02 5.2382e-02 5.2382e-02 1.5535e-06 1.5535e-06 1.5535e-06],[0.9465 0.9465 0.9465 0.9501 0.9501 0.9501],0.948315906198293,0.8,2.0,-1.329168728004739,-22.884959196166253,[1.2566],[1.     0.0011 0.0011 0.0011 0.0499 0.0499 0.0499],4.254065990447998
100,13,0.26,[1.],1.0,[0.8286],[4.2538],[0.0009 0.0009 0.0009 0.0499 0.0499 0.0499],[5.2781e-02 5.2781e-02 5.2781e-02 1.5536e-06 1.5536e-06 1.5536e-06],[0.9463 0.9463 0.9463 0.9501 0.9501 0.9501],0.9481862005803946,0.8,2.0,-1.2439260251128024,-24.128885221279056,[1.1714],"[1.0000e+00 9.4497e-04 9.4497e-04 9.4497e-04 4.9900e-02 4.9900e-02
 4.9900e-02]",4.253815650939941
100,14,0.28,[1.],1.0,[0.9134],[4.2224],[0.0008 0.0008 0.0008 0.0499 0.0499 0.0499],[5.3146e-02 5.3146e-02 5.3146e-02 1.5536e-06 1.5536e-06 1.5536e-06],[0.946  0.946  0.946  0.9501 0.9501 0.9501],0.9480565198990857,0.8,2.0,-1.1590607756835285,-25.287945996962584,[1.0866],"[1.0000e+00 8.4647e-04 8.4647e-04 8.4647e-04 4.9893e-02 4.9893e-02
 4.9893e-02]",4.222433567047119
100,15,0.3,[1.],1.0,[0.9972],[4.1649],[0.0008 0.0008 0.0008 0.0499 0.0499 0.0499],[5.3486e-02 5.3486e-02 5.3486e-02 1.5537e-06 1.5537e-06 1.5537e-06],[0.9457 0.9457 0.9457 0.9501 0.9501 0.9501],0.947926867162148,0.8,2.0,-1.075134454086093,-26.363080451048678,[1.0028],"[1.0000e+00 7.7271e-04 7.7271e-04 7.7271e-04 4.9886e-02 4.9886e-02
 4.9886e-02]",4.16490364074707
100,16,0.32,[1.],1.0,[1.0797],[4.086],[0.0007 0.0007 0.0007 0.0499 0.0499 0.0499],[5.3808e-02 5.3808e-02 5.3808e-02 1.5537e-06 1.5537e-06 1.5537e-06],[0.9455 0.9455 0.9455 0.9501 0.9501 0.9501],0.947797244617374,0.8,2.0,-0.9926145092164518,-27.35569496026513,[0.9203],"[1.0000e+00 7.1746e-04 7.1746e-04 7.1746e-04 4.9879e-02 4.9879e-02
 4.9879e-02]",4.085968971252441
100,17,0.34,[1.],1.0,[1.1604],[3.9904],[0.0007 0.0007 0.0007 0.0499 0.0499 0.0499],[5.4116e-02 5.4116e-02 5.4116e-02 1.5537e-06 1.5537e-06 1.5537e-06],[0.9452 0.9452 0.9452 0.9501 0.9501 0.9501],0.9476676539446117,0.8,2.0,-0.9118741007341008,-28.26756906099923,[0.8396],"[1.0000e+00 6.7607e-04 6.7607e-04 6.7607e-04 4.9871e-02 4.9871e-02
 4.9871e-02]",3.990370273590088
100,18,0.36,[1.],1.0,[1.239],[3.8827],[0.0006 0.0006 0.0006 0.0499 0.0499 0.0499],[5.4413e-02 5.4413e-02 5.4413e-02 1.5538e-06 1.5538e-06 1.5538e-06],[0.9449 0.9449 0.9449 0.9501 0.9501 0.9501],0.9475380963989822,0.8,2.0,-0.8331933388038705,-29.1007623998031,[0.761],"[1.0000e+00 6.4506e-04 6.4506e-04 6.4506e-04 4.9864e-02 4.9864e-02
 4.9864e-02]",3.8827247619628906
100,19,0.38,[1.],1.0,[1.3154],[3.7673],[0.0006 0.0006 0.0006 0.0499 0.0499 0.0499],[5.4703e-02 5.4703e-02 5.4703e-02 1.5538e-06 1.5538e-06 1.5538e-06],[0.9447 0.9447 0.9447 0.9501 0.9501 0.9501],0.9474085729178162,0.8,2.0,-0.7567633812912433,-29.857525781094342,[0.6846],"[1.0000e+00 6.2183e-04 6.2183e-04 6.2183e-04 4.9857e-02 4.9857e-02
 4.9857e-02]",3.7673325538635254
100,20,0.4,[1.],1.0,[1.3894],[3.648],[0.0006 0.0006 0.0006 0.0498 0.0498 0.0498],[5.4987e-02 5.4987e-02 5.4987e-02 1.5539e-06 1.5539e-06 1.5539e-06],[0.9444 0.9444 0.9444 0.9501 0.9501 0.9501],0.9472790842005723,0.8,2.0,-0.6826956164001208,-30.540221397494463,[0.6106],"[1.0000e+00 6.0442e-04 6.0442e-04 6.0442e-04 4.9849e-02 4.9849e-02
 4.9849e-02]",3.647979974746704
100,21,0.42,[1.],1.0,[1.4611],[3.5281],[0.0006 0.0006 0.0006 0.0498 0.0498 0.0498],[5.5266e-02 5.5266e-02 5.5266e-02 1.5539e-06 1.5539e-06 1.5539e-06],[0.9441 0.9441 0.9441 0.9502 0.9502 0.9502],0.9471496307686048,0.8,2.0,-0.611029758684146,-31.15125115617861,[0.5389],"[1.0000e+00 5.9138e-04 5.9138e-04 5.9138e-04 4.9842e-02 4.9842e-02
 4.9842e-02]",3.528111696243286
100,22,0.44,[1.],1.0,[1.5303],[3.4108],[0.0006 0.0006 0.0006 0.0498 0.0498 0.0498],[5.5542e-02 5.5542e-02 5.5542e-02 1.5539e-06 1.5539e-06 1.5539e-06],[0.9439 0.9439 0.9439 0.9502 0.9502 0.9502],0.9470202130098855,0.8,2.0,-0.5417409856666705,-31.69299214184528,[0.4697],"[1.0000e+00 5.8160e-04 5.8160e-04 5.8160e-04 4.9835e-02 4.9835e-02
 4.9835e-02]",3.4107937812805176
100,23,0.46,[1.],1.0,[1.5973],[3.2987],[0.0006 0.0006 0.0006 0.0498 0.0498 0.0498],[5.5815e-02 5.5815e-02 5.5815e-02 1.5540e-06 1.5540e-06 1.5540e-06],[0.9436 0.9436 0.9436 0.9502 0.9502 0.9502],0.9468908312124787,0.8,2.0,-0.47474748366268305,-32.16773962550796,[0.4027],"[1.0000e+00 5.7428e-04 5.7428e-04 5.7428e-04 4.9827e-02 4.9827e-02
 4.9827e-02]",3.298715114593506
100,24,0.48,[1.],1.0,[1.6621],[3.1942],[0.0006 0.0006 0.0006 0.0498 0.0498 0.0498],[5.6087e-02 5.6087e-02 5.6087e-02 1.5540e-06 1.5540e-06 1.5540e-06],[0.9433 0.9433 0.9433 0.9502 0.9502 0.9502],0.9467614855896075,0.8,2.0,-0.409917809864716,-32.57765743537268,[0.3379],"[1.0000e+00 5.6879e-04 5.6879e-04 5.6879e-04 4.9820e-02 4.9820e-02
 4.9820e-02]",3.1942031383514404
