episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
41,0,0.0,[1.],1.0,[0.5969],[0.3493],[0.1601 0.1601 0.1601 0.6161 0.6161 0.6161],[0.4561 0.4561 0.4561 0.     0.     0.    ],[0.3838 0.3838 0.3838 0.3839 0.3839 0.3839],0.38384009725967466,0.8,2.0,-2.06463028233883,-2.06463028233883,[1.4031],[1.     0.1601 0.1601 0.1601 0.6161 0.6161 0.6161],0.34932979941368103
41,1,0.02,[1.],1.0,[0.6085],[0.7694],[0.101 0.101 0.101 0.616 0.616 0.616],[5.1527e-01 5.1527e-01 5.1527e-01 7.2172e-07 7.2172e-07 7.2172e-07],[0.3837 0.3837 0.3837 0.384  0.384  0.384 ],0.3838564111544471,0.8,2.0,-2.192004350817709,-4.256634633156539,[1.3915],[1.    0.101 0.101 0.101 0.616 0.616 0.616],0.769417941570282
41,2,0.04,[1.],1.0,[0.6286],[1.1952],[0.0683 0.0683 0.0683 0.6159 0.6159 0.6159],[0.5481 0.5481 0.5481 0.     0.     0.    ],[0.3836 0.3836 0.3836 0.3841 0.3841 0.3841],0.38386733899307424,0.8,2.0,-2.226908233848288,-6.483542867004827,[1.3714],[1.     0.0683 0.0683 0.0683 0.6159 0.6159 0.6159],1.195178747177124
41,3,0.06,[1.],1.0,[0.657],[1.5986],[0.0479 0.0479 0.0479 0.6158 0.6158 0.6158],[5.6862e-01 5.6862e-01 5.6862e-01 7.2214e-07 7.2214e-07 7.2214e-07],[0.3835 0.3835 0.3835 0.3842 0.3842 0.3842],0.3838752827795473,0.8,2.0,-2.2217070580379024,-8.705249925042729,[1.343],[1.     0.0479 0.0479 0.0479 0.6158 0.6158 0.6158],1.5985556840896606
41,4,0.08,[1.],1.0,[0.693],[1.966],[0.0343 0.0343 0.0343 0.6157 0.6157 0.6157],[0.5822 0.5822 0.5822 0.     0.     0.    ],[0.3834 0.3834 0.3834 0.3843 0.3843 0.3843],0.38388136834103853,0.8,2.0,-2.1951736274204707,-10.900423552463199,[1.307],[1.     0.0343 0.0343 0.0343 0.6157 0.6157 0.6157],1.9659829139709473
41,5,0.1,[1.],1.0,[0.736],[2.2904],[0.025  0.025  0.025  0.6155 0.6155 0.6155],[5.9167e-01 5.9167e-01 5.9167e-01 7.2256e-07 7.2256e-07 7.2256e-07],[0.3833 0.3833 0.3833 0.3845 0.3845 0.3845],0.38388622337024536,0.8,2.0,-2.1557032859015552,-13.056126838364754,[1.264],[1.     0.025  0.025  0.025  0.6155 0.6155 0.6155],2.2903664112091064
41,6,0.12,[1.],1.0,[0.785],[2.5685],[0.0184 0.0184 0.0184 0.6154 0.6154 0.6154],[ 5.9835e-01  5.9835e-01  5.9835e-01 -2.1176e-22 -2.1176e-22 -2.1176e-22],[0.3832 0.3832 0.3832 0.3846 0.3846 0.3846],0.3838902324661484,0.8,2.0,-2.10759627919909,-15.163723117563844,[1.215],[1.     0.0184 0.0184 0.0184 0.6154 0.6154 0.6154],2.5684847831726074
41,7,0.14,[1.],1.0,[0.839],[2.808],[0.0137 0.0137 0.0137 0.6153 0.6153 0.6153],[6.0318e-01 6.0318e-01 6.0318e-01 7.2298e-07 7.2298e-07 7.2298e-07],[0.3831 0.3831 0.3831 0.3847 0.3847 0.3847],0.38389364611280996,0.8,2.0,-2.0532735640536357,-17.21699668161748,[1.161],[1.     0.0137 0.0137 0.0137 0.6153 0.6153 0.6153],2.808030128479004
41,8,0.16,[1.],1.0,[0.8975],[3.0167],[0.0103 0.0103 0.0103 0.6152 0.6152 0.6152],[6.0671e-01 6.0671e-01 6.0671e-01 2.1176e-22 2.1176e-22 2.1176e-22],[0.383  0.383  0.383  0.3848 0.3848 0.3848],0.3838966337072029,0.8,2.0,-1.9940993134167933,-19.211095995034274,[1.1025],[1.     0.0103 0.0103 0.0103 0.6152 0.6152 0.6152],3.0167417526245117
41,9,0.18,[1.],1.0,[0.9599],[3.1937],[0.0078 0.0078 0.0078 0.6151 0.6151 0.6151],[6.0933e-01 6.0933e-01 6.0933e-01 7.2340e-07 7.2340e-07 7.2340e-07],[0.3829 0.3829 0.3829 0.3849 0.3849 0.3849],0.38389931339595923,0.8,2.0,-1.931007834869794,-21.14210382990407,[1.0401],[1.     0.0078 0.0078 0.0078 0.6151 0.6151 0.6151],3.193699598312378
