episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
93,0,0.0,[1.],1.0,[0.0846],[0.5101],[0.0415 0.0415 0.0415 0.1172 0.1172 0.1172],[0.0759 0.0759 0.0759 0.     0.     0.    ],[0.8826 0.8826 0.8826 0.8828 0.8828 0.8828],0.8827136726421153,0.8,2.0,-2.067557420732928,-2.067557420732928,[1.9154],[1.     0.0415 0.0415 0.0415 0.1172 0.1172 0.1172],0.5101335644721985
93,1,0.02,[1.],1.0,[0.1005],[1.0244],[0.03   0.03   0.03   0.1171 0.1171 0.1171],[8.7658e-02 8.7658e-02 8.7658e-02 1.6597e-06 1.6597e-06 1.6597e-06],[0.8823 0.8823 0.8823 0.8829 0.8829 0.8829],0.8826028691647195,0.8,2.0,-2.0712729332763686,-4.138830354009297,[1.8995],[1.     0.03   0.03   0.03   0.1171 0.1171 0.1171],1.0243871212005615
93,2,0.04,[1.],1.0,[0.1264],[1.5101],[0.022  0.022  0.022  0.1171 0.1171 0.1171],[9.5930e-02 9.5930e-02 9.5930e-02 1.0765e-06 1.0765e-06 1.0765e-06],[0.8821 0.8821 0.8821 0.8829 0.8829 0.8829],0.8824910467431898,0.8,2.0,-2.048525567502268,-6.187355921511565,[1.8736],[1.     0.022  0.022  0.022  0.1171 0.1171 0.1171],1.510070562362671
93,3,0.06,[1.],1.0,[0.1616],[1.958],[0.0163 0.0163 0.0163 0.1171 0.1171 0.1171],[1.0188e-01 1.0188e-01 1.0188e-01 1.2816e-06 1.2816e-06 1.2816e-06],[0.8819 0.8819 0.8819 0.8829 0.8829 0.8829],0.8823785247435182,0.8,2.0,-2.0132097008584102,-8.200565622369975,[1.8384],[1.     0.0163 0.0163 0.0163 0.1171 0.1171 0.1171],1.95795476436615
93,4,0.08,[1.],1.0,[0.2053],[2.3635],[0.0121 0.0121 0.0121 0.1171 0.1171 0.1171],[1.0625e-01 1.0625e-01 1.0625e-01 1.2096e-06 1.2096e-06 1.2096e-06],[0.8816 0.8816 0.8816 0.8829 0.8829 0.8829],0.882265514682846,0.8,2.0,-1.9687517827831296,-10.169317405153105,[1.7947],[1.     0.0121 0.0121 0.0121 0.1171 0.1171 0.1171],2.363468647003174
93,5,0.1,[1.],1.0,[0.2566],[2.7235],[0.0091 0.0091 0.0091 0.1171 0.1171 0.1171],[1.095e-01 1.095e-01 1.095e-01 1.235e-06 1.235e-06 1.235e-06],[0.8814 0.8814 0.8814 0.8829 0.8829 0.8829],0.8821521617140755,0.8,2.0,-1.9166065696922074,-12.085923974845313,[1.7434],[1.     0.0091 0.0091 0.0091 0.1171 0.1171 0.1171],2.723524808883667
93,6,0.12,[1.],1.0,[0.3146],[3.036],[0.0069 0.0069 0.0069 0.117  0.117  0.117 ],[1.1195e-01 1.1195e-01 1.1195e-01 1.2262e-06 1.2262e-06 1.2262e-06],[0.8811 0.8811 0.8811 0.883  0.883  0.883 ],0.8820385677748314,0.8,2.0,-1.8578626437785737,-13.943786618623887,[1.6854],[1.     0.0069 0.0069 0.0069 0.117  0.117  0.117 ],3.0359764099121094
93,7,0.14,[1.],1.0,[0.3783],[3.2996],[0.0053 0.0053 0.0053 0.117  0.117  0.117 ],[1.1383e-01 1.1383e-01 1.1383e-01 1.2294e-06 1.2294e-06 1.2294e-06],[0.8809 0.8809 0.8809 0.883  0.883  0.883 ],0.8819248057151826,0.8,2.0,-1.7935051204238628,-15.73729173904775,[1.6217],[1.     0.0053 0.0053 0.0053 0.117  0.117  0.117 ],3.2995553016662598
93,8,0.16,[1.],1.0,[0.4467],[3.5139],[0.0041 0.0041 0.0041 0.117  0.117  0.117 ],[1.1528e-01 1.1528e-01 1.1528e-01 1.2284e-06 1.2284e-06 1.2284e-06],[0.8806 0.8806 0.8806 0.883  0.883  0.883 ],0.8818109282360532,0.8,2.0,-1.7245166250071189,-17.461808364054868,[1.5533],[1.     0.0041 0.0041 0.0041 0.117  0.117  0.117 ],3.5138909816741943
93,9,0.18,[1.],1.0,[0.5189],[3.6796],[0.0032 0.0032 0.0032 0.117  0.117  0.117 ],[1.1642e-01 1.1642e-01 1.1642e-01 1.2289e-06 1.2289e-06 1.2289e-06],[0.8804 0.8804 0.8804 0.883  0.883  0.883 ],0.8816969738125339,0.8,2.0,-1.6518695146860876,-19.113677878740955,[1.4811],[1.     0.0032 0.0032 0.0032 0.117  0.117  0.117 ],3.679565191268921
