episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
61,0,0.0,[1.],1.0,[0.4091],[1.2706],[0.1255 0.1255 0.1255 0.4242 0.4242 0.4242],[0.2988 0.2988 0.2988 0.     0.     0.    ],[0.5756 0.5756 0.5756 0.5758 0.5758 0.5758],0.5757145309959019,0.8,2.0,-2.076783586762921,-2.076783586762921,[1.5909],[1.     0.1255 0.1255 0.1255 0.4242 0.4242 0.4242],1.270600438117981
61,1,0.02,[1.],1.0,[0.449],[2.5698],[0.0825 0.0825 0.0825 0.4241 0.4241 0.4241],[3.4201e-01 3.4201e-01 3.4201e-01 1.0825e-06 1.0825e-06 1.0825e-06],[0.5755 0.5755 0.5755 0.5759 0.5759 0.5759],0.5756829613505091,0.8,2.0,-2.127877976993509,-4.20466156375643,[1.551],[1.     0.0825 0.0825 0.0825 0.4241 0.4241 0.4241],2.5698082447052
61,2,0.04,[1.],1.0,[0.5135],[3.7339],[0.0569 0.0569 0.0569 0.4241 0.4241 0.4241],[ 3.6773e-01  3.6773e-01  3.6773e-01 -2.1176e-22 -2.1176e-22 -2.1176e-22],[0.5753 0.5753 0.5753 0.5759 0.5759 0.5759],0.5756474795099832,0.8,2.0,-2.093477993867734,-6.298139557624164,[1.4865],[1.     0.0569 0.0569 0.0569 0.4241 0.4241 0.4241],3.7339367866516113
61,3,0.06,[1.],1.0,[0.5992],[4.7124],[0.0404 0.0404 0.0404 0.424  0.424  0.424 ],[3.8439e-01 3.8439e-01 3.8439e-01 1.0828e-06 1.0828e-06 1.0828e-06],[0.5752 0.5752 0.5752 0.576  0.576  0.576 ],0.5756096793883945,0.8,2.0,-2.017514104698038,-8.315653662322202,[1.4008],[1.     0.0404 0.0404 0.0404 0.424  0.424  0.424 ],4.712428569793701
61,4,0.08,[1.],1.0,[0.7024],[5.4932],[0.0292 0.0292 0.0292 0.4239 0.4239 0.4239],[ 3.9573e-01  3.9573e-01  3.9573e-01 -2.1176e-22 -2.1176e-22 -2.1176e-22],[0.575  0.575  0.575  0.5761 0.5761 0.5761],0.5755703877917181,0.8,2.0,-1.916771895546982,-10.232425557869183,[1.2976],[1.     0.0292 0.0292 0.0292 0.4239 0.4239 0.4239],5.493192672729492
61,5,0.1,[1.],1.0,[0.8191],[6.0868],[0.0214 0.0214 0.0214 0.4238 0.4238 0.4238],[4.0369e-01 4.0369e-01 4.0369e-01 1.0831e-06 1.0831e-06 1.0831e-06],[0.5749 0.5749 0.5749 0.5762 0.5762 0.5762],0.5755300913583522,0.8,2.0,-1.7998676799682247,-12.032293237837408,[1.1809],[1.     0.0214 0.0214 0.0214 0.4238 0.4238 0.4238],6.086836338043213
61,6,0.12,[1.],1.0,[0.9461],[6.546],[0.0159 0.0159 0.0159 0.4237 0.4237 0.4237],[4.0940e-01 4.0940e-01 4.0940e-01 2.1176e-22 2.1176e-22 2.1176e-22],[0.5747 0.5747 0.5747 0.5763 0.5763 0.5763],0.5754890981405367,0.8,2.0,-1.6718275693851776,-13.704120807222585,[1.0539],[1.     0.0159 0.0159 0.0159 0.4237 0.4237 0.4237],6.5460405349731445
61,7,0.14,[1.],1.0,[1.081],[6.8918],[0.0119 0.0119 0.0119 0.4237 0.4237 0.4237],[4.1358e-01 4.1358e-01 4.1358e-01 1.0834e-06 1.0834e-06 1.0834e-06],[0.5746 0.5746 0.5746 0.5763 0.5763 0.5763],0.575447613355801,0.8,2.0,-1.5357101924025718,-15.239830999625157,[0.919],[1.     0.0119 0.0119 0.0119 0.4237 0.4237 0.4237],6.891792297363281
61,8,0.16,[1.],1.0,[1.2216],[7.1342],[0.0089 0.0089 0.0089 0.4236 0.4236 0.4236],[ 4.1667e-01  4.1667e-01  4.1667e-01 -2.1176e-22 -2.1176e-22 -2.1176e-22],[0.5744 0.5744 0.5744 0.5764 0.5764 0.5764],0.5754057777464665,0.8,2.0,-1.3939308951241034,-16.63376189474926,[0.7784],[1.     0.0089 0.0089 0.0089 0.4236 0.4236 0.4236],7.134217262268066
61,9,0.18,[1.],1.0,[1.3661],[7.2885],[0.0068 0.0068 0.0068 0.4235 0.4235 0.4235],[4.1898e-01 4.1898e-01 4.1898e-01 1.0836e-06 1.0836e-06 1.0836e-06],[0.5742 0.5742 0.5742 0.5765 0.5765 0.5765],0.5753636906745578,0.8,2.0,-1.2484835738399103,-17.88224546858917,[0.6339],[1.     0.0068 0.0068 0.0068 0.4235 0.4235 0.4235],7.2885003089904785
61,10,0.2,[1.],1.0,[1.5129],[7.3651],[0.0052 0.0052 0.0052 0.4234 0.4234 0.4234],[0.4207 0.4207 0.4207 0.     0.     0.    ],[0.5741 0.5741 0.5741 0.5766 0.5766 0.5766],0.5753214228843769,0.8,2.0,-1.1009980816489129,-18.983243550238083,[0.4871],[1.     0.0052 0.0052 0.0052 0.4234 0.4234 0.4234],7.365137577056885
61,11,0.22,[1.],1.0,[1.6604],[7.3821],[0.004  0.004  0.004  0.4234 0.4234 0.4234],[4.2207e-01 4.2207e-01 4.2207e-01 1.0839e-06 1.0839e-06 1.0839e-06],[0.5739 0.5739 0.5739 0.5766 0.5766 0.5766],0.5752790259417796,0.8,2.0,-0.9528067679986152,-19.9360503182367,[0.3396],[1.     0.004  0.004  0.004  0.4234 0.4234 0.4234],7.38212776184082
61,12,0.24,[0.6036],0.6036211252212524,[1.8022],[6.8526],[0.0031 0.0031 0.0031 0.4233 0.4233 0.4233],[0.4231 0.4231 0.4231 0.     0.     0.    ],[0.5738 0.5738 0.5738 0.5767 0.5767 0.5767],0.5752365371743334,0.8,2.0,3.1894732113871465,-16.746577106849553,[0.1978],[0.6036 0.0031 0.0031 0.0031 0.4233 0.4233 0.4233],6.852553844451904
61,13,0.26,[0.0339],0.03391529619693756,[1.9256],[5.6234],[0.0257 0.0029 0.014  0.2392 0.2591 0.3289],[0.4005 0.4235 0.4122 0.1842 0.1643 0.0945],[0.5738 0.5736 0.5738 0.5766 0.5766 0.5766],0.5751667845974857,0.8,2.0,7.36492877748578,-9.381648329363774,[0.0744],[0.0339 0.0257 0.0029 0.014  0.2392 0.2591 0.3289],5.623353481292725
61,14,0.28,[0.],0.0,[2.0225],[4.1567],[0.2902 0.0084 0.1727 0.1399 0.1521 0.1752],[0.136  0.418  0.2535 0.2836 0.2714 0.2483],[0.5738 0.5736 0.5738 0.5765 0.5765 0.5765],0.5751113828231025,0.8,2.0,7.443942973813617,-1.9377053555501567,[-0.0225],[0.     0.2902 0.0084 0.1727 0.1399 0.1521 0.1752],4.156665802001953
