episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
76,0,0.0,[1.],1.0,[0.2514],[0.3964],[0.0906 0.0906 0.0906 0.2803 0.2803 0.2803],[0.1899 0.1899 0.1899 0.     0.     0.    ],[0.7195 0.7195 0.7195 0.7197 0.7197 0.7197],0.7196204084379386,0.8,2.0,-2.0877548935864736,-2.0877548935864736,[1.7486],[1.     0.0906 0.0906 0.0906 0.2803 0.2803 0.2803],0.3964056372642517
76,1,0.02,[1.],1.0,[0.2641],[0.8322],[0.0619 0.0619 0.0619 0.2802 0.2802 0.2802],[2.1874e-01 2.1874e-01 2.1874e-01 1.3531e-06 1.3531e-06 1.3531e-06],[0.7193 0.7193 0.7193 0.7198 0.7198 0.7198],0.7195520994516621,0.8,2.0,-2.1308295455320967,-4.218584439118571,[1.7359],[1.     0.0619 0.0619 0.0619 0.2802 0.2802 0.2802],0.8321813344955444
76,2,0.04,[1.],1.0,[0.2855],[1.2555],[0.0437 0.0437 0.0437 0.2802 0.2802 0.2802],[2.3714e-01 2.3714e-01 2.3714e-01 2.1566e-07 2.1566e-07 2.1566e-07],[0.7191 0.7191 0.7191 0.7198 0.7198 0.7198],0.719481201096417,0.8,2.0,-2.124220565737536,-6.342805004856107,[1.7145],[1.     0.0437 0.0437 0.0437 0.2802 0.2802 0.2802],1.255508542060852
76,3,0.06,[1.],1.0,[0.315],[1.6505],[0.0315 0.0315 0.0315 0.2801 0.2801 0.2801],[2.4955e-01 2.4955e-01 2.4955e-01 1.1720e-06 1.1720e-06 1.1720e-06],[0.7189 0.7189 0.7189 0.7199 0.7199 0.7199],0.719408665037926,0.8,2.0,-2.09784690597204,-8.440651910828148,[1.685],[1.     0.0315 0.0315 0.0315 0.2801 0.2801 0.2801],1.6505297422409058
76,4,0.08,[1.],1.0,[0.352],[2.0102],[0.023  0.023  0.023  0.2801 0.2801 0.2801],[2.5822e-01 2.5822e-01 2.5822e-01 3.6843e-07 3.6843e-07 3.6843e-07],[0.7187 0.7187 0.7187 0.7199 0.7199 0.7199],0.719335037763312,0.8,2.0,-2.0605171487327754,-10.501169059560922,[1.648],[1.     0.023  0.023  0.023  0.2801 0.2801 0.2801],2.0102076530456543
76,5,0.1,[1.],1.0,[0.3958],[2.3304],[0.017 0.017 0.017 0.28  0.28  0.28 ],[2.6443e-01 2.6443e-01 2.6443e-01 1.0439e-06 1.0439e-06 1.0439e-06],[0.7186 0.7186 0.7186 0.72   0.72   0.72  ],0.7192606608358524,0.8,2.0,-2.0155074555994004,-12.516676515160324,[1.6042],[1.    0.017 0.017 0.017 0.28  0.28  0.28 ],2.330437183380127
76,6,0.12,[1.],1.0,[0.4455],[2.6085],[0.0127 0.0127 0.0127 0.28   0.28   0.28  ],[2.6896e-01 2.6896e-01 2.6896e-01 4.7659e-07 4.7659e-07 4.7659e-07],[0.7184 0.7184 0.7184 0.72   0.72   0.72  ],0.719185758994727,0.8,2.0,-1.9644380362841112,-14.481114551444435,[1.5545],[1.     0.0127 0.0127 0.0127 0.28   0.28   0.28  ],2.608525514602661
76,7,0.14,[1.],1.0,[0.5004],[2.8428],[0.0095 0.0095 0.0095 0.2799 0.2799 0.2799],[2.7231e-01 2.7231e-01 2.7231e-01 9.5333e-07 9.5333e-07 9.5333e-07],[0.7182 0.7182 0.7182 0.7201 0.7201 0.7201],0.7191104859047582,0.8,2.0,-1.908423884443769,-16.389538435888205,[1.4996],[1.     0.0095 0.0095 0.0095 0.2799 0.2799 0.2799],2.842810869216919
76,8,0.16,[1.],1.0,[0.5594],[3.0326],[0.0072 0.0072 0.0072 0.2799 0.2799 0.2799],[2.7482e-01 2.7482e-01 2.7482e-01 5.5314e-07 5.5314e-07 5.5314e-07],[0.718  0.718  0.718  0.7201 0.7201 0.7201],0.7190349489935702,0.8,2.0,-1.84841515094371,-18.237953586831914,[1.4406],[1.     0.0072 0.0072 0.0072 0.2799 0.2799 0.2799],3.0326006412506104
76,9,0.18,[1.],1.0,[0.6217],[3.1782],[0.0055 0.0055 0.0055 0.2798 0.2798 0.2798],[2.7673e-01 2.7673e-01 2.7673e-01 8.8939e-07 8.8939e-07 8.8939e-07],[0.7177 0.7177 0.7177 0.7202 0.7202 0.7202],0.7189592249979547,0.8,2.0,-1.7852740789159611,-20.023227665747875,[1.3783],[1.     0.0055 0.0055 0.0055 0.2798 0.2798 0.2798],3.1782333850860596
76,10,0.2,[1.],1.0,[0.6865],[3.2812],[0.0043 0.0043 0.0043 0.2798 0.2798 0.2798],[2.7820e-01 2.7820e-01 2.7820e-01 6.0728e-07 6.0728e-07 6.0728e-07],[0.7175 0.7175 0.7175 0.7202 0.7202 0.7202],0.7188833692174468,0.8,2.0,-1.719841752696363,-21.74306941844424,[1.3135],[1.     0.0043 0.0043 0.0043 0.2798 0.2798 0.2798],3.2811954021453857
76,11,0.22,[1.],1.0,[0.7528],[3.344],[0.0033 0.0033 0.0033 0.2797 0.2797 0.2797],[2.7934e-01 2.7934e-01 2.7934e-01 8.4429e-07 8.4429e-07 8.4429e-07],[0.7173 0.7173 0.7173 0.7203 0.7203 0.7203],0.7188074220797875,0.8,2.0,-1.6529191902193028,-23.395988608663544,[1.2472],[1.     0.0033 0.0033 0.0033 0.2797 0.2797 0.2797],3.343994140625
76,12,0.24,[1.],1.0,[0.8201],[3.3711],[0.0026 0.0026 0.0026 0.2797 0.2797 0.2797],[2.8024e-01 2.8024e-01 2.8024e-01 6.4558e-07 6.4558e-07 6.4558e-07],[0.7171 0.7171 0.7171 0.7203 0.7203 0.7203],0.7187314131812838,0.8,2.0,-1.5852455154473664,-24.98123412411091,[1.1799],[1.     0.0026 0.0026 0.0026 0.2797 0.2797 0.2797],3.371107339859009
76,13,0.26,[1.],1.0,[0.8875],[3.3718],[0.0021 0.0021 0.0021 0.2796 0.2796 0.2796],[2.8096e-01 2.8096e-01 2.8096e-01 8.1253e-07 8.1253e-07 8.1253e-07],[0.7169 0.7169 0.7169 0.7204 0.7204 0.7204],0.7186553644408046,0.8,2.0,-1.5174100071818475,-26.498644131292757,[1.1125],[1.     0.0021 0.0021 0.0021 0.2796 0.2796 0.2796],3.3718249797821045
76,14,0.28,[1.],1.0,[0.9548],[3.3494],[0.0017 0.0017 0.0017 0.2796 0.2796 0.2796],[2.8155e-01 2.8155e-01 2.8155e-01 6.7267e-07 6.7267e-07 6.7267e-07],[0.7167 0.7167 0.7167 0.7204 0.7204 0.7204],0.718579292035069,0.8,2.0,-1.4498816436907866,-27.948525774983544,[1.0452],[1.     0.0017 0.0017 0.0017 0.2796 0.2796 0.2796],3.349375009536743
76,15,0.3,[1.],1.0,[1.0213],[3.306],[0.0014 0.0014 0.0014 0.2795 0.2795 0.2795],[2.8204e-01 2.8204e-01 2.8204e-01 7.9019e-07 7.9019e-07 7.9019e-07],[0.7165 0.7165 0.7165 0.7205 0.7205 0.7205],0.7185032080359003,0.8,2.0,-1.383086560971331,-29.331612335954876,[0.9787],[1.     0.0014 0.0014 0.0014 0.2795 0.2795 0.2795],3.305973768234253
76,16,0.32,[1.],1.0,[1.0868],[3.2441],[0.0012 0.0012 0.0012 0.2795 0.2795 0.2795],[2.8246e-01 2.8246e-01 2.8246e-01 6.9183e-07 6.9183e-07 6.9183e-07],[0.7163 0.7163 0.7163 0.7205 0.7205 0.7205],0.7184271213868508,0.8,2.0,-1.3174060105182086,-30.649018346473085,[0.9132],[1.     0.0012 0.0012 0.0012 0.2795 0.2795 0.2795],3.2441353797912598
76,17,0.34,[1.],1.0,[1.1508],[3.1666],[0.001  0.001  0.001  0.2794 0.2794 0.2794],[2.8283e-01 2.8283e-01 2.8283e-01 7.7451e-07 7.7451e-07 7.7451e-07],[0.7161 0.7161 0.7161 0.7206 0.7206 0.7206],0.7183510387940247,0.8,2.0,-1.2531702654266126,-31.902188611899696,[0.8492],[1.     0.001  0.001  0.001  0.2794 0.2794 0.2794],3.166614055633545
76,18,0.36,[1.],1.0,[1.2132],[3.0763],[0.0009 0.0009 0.0009 0.2794 0.2794 0.2794],[2.8315e-01 2.8315e-01 2.8315e-01 7.0539e-07 7.0539e-07 7.0539e-07],[0.7159 0.7159 0.7159 0.7206 0.7206 0.7206],0.7182749652322215,0.8,2.0,-1.190655098386971,-33.092843710286665,[0.7868],"[1.0000e+00 9.1596e-04 9.1596e-04 9.1596e-04 2.7938e-01 2.7938e-01
 2.7938e-01]",3.0763204097747803
