episode,step,time,exo_action,exo_torque,jpos,jvel,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,reward,cumulative_reward,pose_err,ctrl,imu_avg_abs_qvel
37,0,0.0,[1.],1.0,[0.6352],[0.2266],[0.1653 0.1653 0.1653 0.6545 0.6545 0.6545],[0.4892 0.4892 0.4892 0.     0.     0.    ],[0.3454 0.3454 0.3454 0.3455 0.3455 0.3455],0.345465204553898,0.8,2.0,-2.059237097611359,-2.059237097611359,[1.3648],[1.     0.1653 0.1653 0.1653 0.6545 0.6545 0.6545],0.2265518754720688
37,1,0.02,[1.],1.0,[0.6429],[0.5191],[0.1037 0.1037 0.1037 0.6544 0.6544 0.6544],[5.5097e-01 5.5097e-01 5.5097e-01 6.4957e-07 6.4957e-07 6.4957e-07],[0.3453 0.3453 0.3453 0.3456 0.3456 0.3456],0.34549094399631186,0.8,2.0,-2.200074974001823,-4.2593120716131825,[1.3571],[1.     0.1037 0.1037 0.1037 0.6544 0.6544 0.6544],0.5191484689712524
37,2,0.04,[1.],1.0,[0.6566],[0.8266],[0.0699 0.0699 0.0699 0.6542 0.6542 0.6542],[0.5849 0.5849 0.5849 0.     0.     0.    ],[0.3453 0.3453 0.3453 0.3458 0.3458 0.3458],0.3455110584863112,0.8,2.0,-2.2466824579115885,-6.505994529524771,[1.3434],[1.     0.0699 0.0699 0.0699 0.6542 0.6542 0.6542],0.8266075849533081
37,3,0.06,[1.],1.0,[0.6765],[1.1259],[0.0489 0.0489 0.0489 0.6541 0.6541 0.6541],[6.0593e-01 6.0593e-01 6.0593e-01 6.5001e-07 6.5001e-07 6.5001e-07],[0.3452 0.3452 0.3452 0.3459 0.3459 0.3459],0.3455280888756466,0.8,2.0,-2.2531792107809823,-8.759173740305753,[1.3235],[1.     0.0489 0.0489 0.0489 0.6541 0.6541 0.6541],1.1258513927459717
37,4,0.08,[1.],1.0,[0.7021],[1.4054],[0.035 0.035 0.035 0.654 0.654 0.654],[6.1988e-01 6.1988e-01 6.1988e-01 1.0588e-22 1.0588e-22 1.0588e-22],[0.3451 0.3451 0.3451 0.346  0.346  0.346 ],0.3455432076973375,0.8,2.0,-2.23894615307234,-10.998119893378092,[1.2979],[1.    0.035 0.035 0.035 0.654 0.654 0.654],1.4053759574890137
37,5,0.1,[1.],1.0,[0.733],[1.6587],[0.0255 0.0255 0.0255 0.6539 0.6539 0.6539],[6.2950e-01 6.2950e-01 6.2950e-01 6.5046e-07 6.5046e-07 6.5046e-07],[0.345  0.345  0.345  0.3461 0.3461 0.3461],0.34555706361821437,0.8,2.0,-2.212571249090265,-13.210691142468358,[1.267],[1.     0.0255 0.0255 0.0255 0.6539 0.6539 0.6539],1.6586576700210571
37,6,0.12,[1.],1.0,[0.7687],[1.882],[0.0188 0.0188 0.0188 0.6538 0.6538 0.6538],[6.3631e-01 6.3631e-01 6.3631e-01 1.0588e-22 1.0588e-22 1.0588e-22],[0.3449 0.3449 0.3449 0.3462 0.3462 0.3462],0.345570052283972,0.8,2.0,-2.178340111643905,-15.389031254112263,[1.2313],[1.     0.0188 0.0188 0.0188 0.6538 0.6538 0.6538],1.8819847106933594
37,7,0.14,[1.],1.0,[0.8085],[2.0757],[0.014  0.014  0.014  0.6537 0.6537 0.6537],[6.4122e-01 6.4122e-01 6.4122e-01 6.5090e-07 6.5090e-07 6.5090e-07],[0.3448 0.3448 0.3448 0.3463 0.3463 0.3463],0.3455824305720698,0.8,2.0,-2.138606281028424,-17.527637535140688,[1.1915],[1.     0.014  0.014  0.014  0.6537 0.6537 0.6537],2.0757129192352295
37,8,0.16,[1.],1.0,[0.852],[2.2476],[0.0105 0.0105 0.0105 0.6535 0.6535 0.6535],[ 6.4481e-01  6.4481e-01  6.4481e-01 -1.0588e-22 -1.0588e-22 -1.0588e-22],[0.3447 0.3447 0.3447 0.3465 0.3465 0.3465],0.3455943718743338,0.8,2.0,-2.0946906007367607,-19.62232813587745,[1.148],[1.     0.0105 0.0105 0.0105 0.6535 0.6535 0.6535],2.247624397277832
37,9,0.18,[1.],1.0,[0.8986],[2.3979],[0.0079 0.0079 0.0079 0.6534 0.6534 0.6534],[6.4746e-01 6.4746e-01 6.4746e-01 6.5135e-07 6.5135e-07 6.5135e-07],[0.3446 0.3446 0.3446 0.3466 0.3466 0.3466],0.34560599692187594,0.8,2.0,-2.0473951770083754,-21.669723312885825,[1.1014],[1.     0.0079 0.0079 0.0079 0.6534 0.6534 0.6534],2.3979380130767822
37,10,0.2,[1.],1.0,[0.948],[2.5258],[0.006  0.006  0.006  0.6533 0.6533 0.6533],[6.4944e-01 6.4944e-01 6.4944e-01 2.1176e-22 2.1176e-22 2.1176e-22],[0.3445 0.3445 0.3445 0.3467 0.3467 0.3467],0.34561739113445106,0.8,2.0,-1.9973273671016942,-23.66705067998752,[1.052],[1.     0.006  0.006  0.006  0.6533 0.6533 0.6533],2.525787353515625
37,11,0.22,[1.],1.0,[0.9997],[2.6307],[0.0046 0.0046 0.0046 0.6532 0.6532 0.6532],[6.5093e-01 6.5093e-01 6.5093e-01 6.5180e-07 6.5180e-07 6.5180e-07],[0.3444 0.3444 0.3444 0.3468 0.3468 0.3468],0.34562861617799806,0.8,2.0,-1.9450310099479124,-25.61208168993543,[1.0003],[1.     0.0046 0.0046 0.0046 0.6532 0.6532 0.6532],2.630662441253662
