step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
36,0.72,[0.],0.0,[0.3818],[-0.3375],[2.6903 0.2374 0.1453 0.1351 0.3447 0.2783 0.1176],[0.0024 0.0015 0.0015 0.2451 0.1001 0.23  ],-1.6105274648366366,-65.08780584777438,False,[1.3182],[0.0006 0.0006 0.0006 0.2449 0.1    0.2299],[3.0041e-01 1.0817e-01 9.7625e-02 8.1830e-07 1.3013e-06 8.5684e-07],[0.699  0.8913 0.9018 0.7551 0.9    0.7701],0.8195528345053865,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2449 0.1    0.2299]
37,0.74,[0.],0.0,[0.3745],[-0.3863],[2.6388 0.2373 0.1452 0.135  0.3449 0.2784 0.1177],[0.0023 0.0014 0.0015 0.245  0.1001 0.23  ],-1.6177720238209825,-66.70557787159535,False,[1.3255],[0.0006 0.0006 0.0006 0.2448 0.1    0.2298],[3.0061e-01 1.0842e-01 9.7880e-02 8.1843e-07 1.3013e-06 8.5695e-07],[0.6988 0.891  0.9016 0.7552 0.9    0.7702],0.8194524692599644,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2448 0.1    0.2298]
38,0.76,[0.],0.0,[0.3663],[-0.4283],[2.5811 0.2371 0.145  0.1348 0.345  0.2786 0.1178],[0.0021 0.0014 0.0014 0.245  0.1001 0.23  ],-1.6259188963348965,-68.33149676793025,False,[1.3337],[0.0006 0.0006 0.0006 0.2448 0.1    0.2298],[3.0081e-01 1.0867e-01 9.8134e-02 8.1852e-07 1.3014e-06 8.5705e-07],[0.6986 0.8908 0.9013 0.7552 0.9    0.7702],0.8193521339152979,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2448 0.1    0.2298]
39,0.78,[0.],0.0,[0.3573],[-0.4635],[2.5179 0.2369 0.1448 0.1346 0.3452 0.2787 0.1179],[0.002  0.0013 0.0014 0.2449 0.1001 0.2299],-1.6348314369174626,-69.96632820484771,False,[1.3427],[0.0006 0.0006 0.0006 0.2448 0.1    0.2298],[3.0101e-01 1.0892e-01 9.8388e-02 8.1864e-07 1.3015e-06 8.5716e-07],[0.6984 0.8905 0.9011 0.7552 0.9    0.7702],0.8192518284715659,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2448 0.1    0.2298]
40,0.8,[0.],0.0,[0.3477],[-0.4916],[2.4503 0.2367 0.1446 0.1344 0.3454 0.2789 0.118 ],[0.0019 0.0013 0.0013 0.2449 0.1001 0.2299],-1.6443696353618682,-71.61069784020958,False,[1.3523],[0.0006 0.0006 0.0006 0.2447 0.1    0.2297],[3.0120e-01 1.0893e-01 9.8643e-02 8.1874e-07 1.3016e-06 8.5727e-07],[0.6982 0.8905 0.9008 0.7553 0.9    0.7703],0.8191931285106969,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2447 0.1    0.2297]
41,0.8200000000000001,[0.],0.0,[0.3376],[-0.5126],[2.3793 0.2365 0.1444 0.1342 0.3455 0.2791 0.1181],[0.0018 0.0013 0.0013 0.2449 0.1001 0.2298],-1.6543919443185142,-73.2650897845281,False,[1.3624],[0.0006 0.0006 0.0006 0.2447 0.1    0.2297],[3.0140e-01 1.0893e-01 9.8644e-02 8.1886e-07 1.3016e-06 8.5738e-07],[0.698  0.8905 0.9008 0.7553 0.9    0.7703],0.8191765022196623,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2447 0.1    0.2297]
42,0.84,[0.],0.0,[0.3272],[-0.5266],[2.3059 0.2363 0.1442 0.134  0.3457 0.2793 0.1183],[0.0017 0.0012 0.0013 0.2448 0.1    0.2298],-1.6647570726207164,-74.92984685714882,False,[1.3728],[0.0006 0.0006 0.0006 0.2446 0.0999 0.2296],[3.0160e-01 1.0893e-01 9.8646e-02 8.1896e-07 1.3017e-06 8.5748e-07],[0.6978 0.8905 0.9008 0.7554 0.9    0.7704],0.8191598820940477,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2446 0.0999 0.2296]
43,0.86,[0.],0.0,[0.3166],[-0.5336],[2.2311 0.2361 0.144  0.1338 0.3459 0.2794 0.1184],[0.0016 0.0012 0.0012 0.2448 0.1    0.2298],-1.6753256822216052,-76.60517253937043,False,[1.3834],[0.0006 0.0006 0.0006 0.2446 0.0999 0.2296],[3.0179e-01 1.0893e-01 9.8647e-02 8.1907e-07 1.3018e-06 8.5759e-07],[0.6977 0.8905 0.9008 0.7554 0.9001 0.7704],0.8191432681345264,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2446 0.0999 0.2296]
44,0.88,[0.],0.0,[0.3059],[-0.534],[2.1557 0.2359 0.1438 0.1336 0.3461 0.2796 0.1185],[0.0015 0.0012 0.0012 0.2447 0.1    0.2297],-1.6859619986944019,-78.29113453806482,False,[1.3941],[0.0006 0.0006 0.0006 0.2445 0.0999 0.2295],[3.0180e-01 1.0893e-01 9.8649e-02 8.1918e-07 1.3019e-06 8.5770e-07],[0.6977 0.8905 0.9008 0.7555 0.9001 0.7705],0.8191592314213422,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2445 0.0999 0.2295]
45,0.9,[0.],0.0,[0.2953],[-0.528],[2.0809 0.2357 0.1436 0.1334 0.3462 0.2798 0.1186],[0.0015 0.0012 0.0012 0.2447 0.1    0.2297],-1.696535297484692,-79.98766983554951,False,[1.4047],[0.0006 0.0006 0.0006 0.2445 0.0999 0.2295],[3.0180e-01 1.0893e-01 9.8651e-02 8.1929e-07 1.3019e-06 8.5780e-07],[0.6977 0.8905 0.9008 0.7555 0.9001 0.7705],0.8191751916318362,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2445 0.0999 0.2295]
46,0.92,[0.],0.0,[0.2848],[-0.516],[2.0073 0.2355 0.1434 0.1332 0.3464 0.28   0.1187],[0.0014 0.0011 0.0012 0.2446 0.1    0.2296],-1.7069212593692695,-81.69459109491878,False,[1.4152],[0.0006 0.0006 0.0006 0.2445 0.0999 0.2295],[3.0180e-01 1.0893e-01 9.8652e-02 8.1939e-07 1.3020e-06 8.5791e-07],[0.6976 0.8905 0.9008 0.7555 0.9001 0.7705],0.8191911487681209,0.8290748117732433,2.013660406482563,[0.     0.0006 0.0006 0.0006 0.2445 0.0999 0.2295]
