step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
10,0.2,[1.],1.0,[0.6122],[4.5806],[4.3142 0.242  0.1499 0.1397 0.3398 0.2734 0.1151],[0.0414 0.0135 0.0155 0.2461 0.1005 0.231 ],-1.3838280264037461,-19.2267386458445,False,[1.0878],[0.0054 0.0023 0.0025 0.246  0.1005 0.2309],[2.9038e-01 9.9903e-02 8.9037e-02 7.7606e-07 1.2993e-06 8.3214e-07],[0.7042 0.8978 0.9085 0.754  0.8995 0.7691],0.8221718378825793,0.8290748117732433,2.013660406482563,[1.     0.0054 0.0023 0.0025 0.246  0.1005 0.2309]
11,0.22,[1.],1.0,[0.7049],[4.6689],[4.9673 0.2438 0.1517 0.1415 0.3375 0.2711 0.1142],[0.0365 0.0121 0.0138 0.2461 0.1005 0.231 ],-1.2905755615160583,-20.517314207360556,False,[0.9951],[0.0042 0.0018 0.002  0.246  0.1005 0.2309],[2.9182e-01 1.0059e-01 8.9786e-02 8.4472e-07 1.2994e-06 8.6937e-07],[0.704  0.8976 0.9082 0.754  0.8995 0.7691],0.8220709516831747,0.8290748117732433,2.013660406482563,[1.     0.0042 0.0018 0.002  0.246  0.1005 0.2309]
12,0.24,[1.],1.0,[0.7987],[4.7024],[5.6286 0.2456 0.1535 0.1433 0.3349 0.2685 0.1132],[0.0322 0.0108 0.0123 0.2461 0.1005 0.231 ],-1.1962808931481506,-21.713595100508705,False,[0.9013],[0.0033 0.0015 0.0016 0.2459 0.1004 0.2308],[2.9295e-01 1.0116e-01 9.0410e-02 7.9424e-07 1.2995e-06 8.4376e-07],[0.7038 0.8973 0.9079 0.7541 0.8996 0.7692],0.8219700296366659,0.8290748117732433,2.013660406482563,[1.     0.0033 0.0015 0.0016 0.2459 0.1004 0.2308]
13,0.26,[1.],1.0,[0.8927],[4.6931],[6.291  0.2474 0.1553 0.1451 0.3322 0.2657 0.1121],[0.0285 0.0097 0.011  0.246  0.1005 0.2309],-1.10190111880646,-22.815496219315165,False,[0.8073],[0.0026 0.0013 0.0014 0.2459 0.1004 0.2308],[2.9383e-01 1.0166e-01 9.0941e-02 8.3167e-07 1.2996e-06 8.6168e-07],[0.7036 0.8971 0.9077 0.7541 0.8996 0.7692],0.8218690885918548,0.8290748117732433,2.013660406482563,[1.     0.0026 0.0013 0.0014 0.2459 0.1004 0.2308]
14,0.28,[1.],1.0,[0.9861],[4.649],[6.9495 0.2491 0.157  0.1468 0.3292 0.2628 0.111 ],[0.0251 0.0086 0.0098 0.246  0.1005 0.2309],-1.0081659513369732,-23.82366217065214,False,[0.7139],[0.0021 0.0011 0.0012 0.2458 0.1004 0.2308],[2.9455e-01 1.0209e-01 9.1402e-02 8.0424e-07 1.2996e-06 8.4945e-07],[0.7034 0.8968 0.9074 0.7542 0.8996 0.7692],0.8217681410268401,0.8290748117732433,2.013660406482563,[1.     0.0021 0.0011 0.0012 0.2458 0.1004 0.2308]
15,0.3,[1.],1.0,[1.0783],[4.5743],[7.5992 0.2508 0.1586 0.1484 0.3261 0.2597 0.1097],[0.0222 0.0077 0.0088 0.246  0.1005 0.2309],-0.9157132500875181,-24.739375420739655,False,[0.6217],[0.0017 0.001  0.001  0.2458 0.1004 0.2307],[2.9513e-01 1.0248e-01 9.1812e-02 8.2466e-07 1.2997e-06 8.5810e-07],[0.7032 0.8966 0.9072 0.7542 0.8996 0.7693],0.8216671962200088,0.8290748117732433,2.013660406482563,"[1.0000e+00 1.6925e-03 9.5482e-04 1.0119e-03 2.4580e-01 1.0040e-01
 2.3072e-01]"
16,0.32,[1.],1.0,[1.1688],[4.4748],[8.2365 0.2523 0.1602 0.15   0.323  0.2565 0.1084],[0.0196 0.0069 0.0078 0.2459 0.1005 0.2308],-0.8250812652921212,-25.564456686031775,False,[0.5312],[0.0014 0.0009 0.0009 0.2458 0.1004 0.2307],[2.9561e-01 1.0283e-01 9.2183e-02 8.0979e-07 1.2998e-06 8.5229e-07],[0.703  0.8963 0.9069 0.7542 0.8996 0.7693],0.8215662610757101,0.8290748117732433,2.013660406482563,"[1.0000e+00 1.4058e-03 8.5385e-04 8.9660e-04 2.4576e-01 1.0038e-01
 2.3068e-01]"
17,0.34,[1.],1.0,[1.257],[4.3571],[8.8582 0.2538 0.1616 0.1514 0.3198 0.2533 0.107 ],[0.0173 0.0062 0.007  0.2459 0.1004 0.2308],-0.736683992686804,-26.30114067871858,False,[0.443],[0.0012 0.0008 0.0008 0.2457 0.1004 0.2306],[2.9602e-01 1.0316e-01 9.2525e-02 8.2094e-07 1.2999e-06 8.5649e-07],[0.7028 0.8961 0.9067 0.7543 0.8996 0.7694],0.8214653407453172,0.8290748117732433,2.013660406482563,"[1.0000e+00 1.1914e-03 7.7823e-04 8.1025e-04 2.4571e-01 1.0036e-01
 2.3064e-01]"
18,0.36,[1.],1.0,[1.3427],[4.2262],[9.4623 0.2551 0.163  0.1528 0.3165 0.2501 0.1056],[0.0153 0.0056 0.0063 0.2458 0.1004 0.2308],-0.6508184654170075,-26.951959144135586,False,[0.3573],[0.001  0.0007 0.0007 0.2457 0.1003 0.2306],[2.9638e-01 1.0347e-01 9.2845e-02 8.1291e-07 1.2999e-06 8.5376e-07],[0.7026 0.8958 0.9064 0.7543 0.8997 0.7694],0.8213644390716596,0.8290748117732433,2.013660406482563,"[1.0000e+00 1.0309e-03 7.2159e-04 7.4558e-04 2.4567e-01 1.0035e-01
 2.3060e-01]"
19,0.38,[1.],1.0,[1.4257],[4.0861],[10.0472  0.2565  0.1644  0.1542  0.3133  0.2469  0.1041],[0.0136 0.005  0.0057 0.2458 0.1004 0.2307],-0.5677001444139512,-27.519659288549537,False,[0.2743],[0.0009 0.0007 0.0007 0.2456 0.1003 0.2306],[2.9670e-01 1.0376e-01 9.3149e-02 8.1902e-07 1.3000e-06 8.5583e-07],[0.7024 0.8956 0.9062 0.7544 0.8997 0.7694],0.8212635589266019,0.8290748117732433,2.013660406482563,"[1.0000e+00 9.1084e-04 6.7917e-04 6.9713e-04 2.4563e-01 1.0033e-01
 2.3056e-01]"
