step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,muscle_fatigue,muscle_activation,muscle_recovery,avg_fatigue,force_scale,activation_slowdown,ctrl
10,0.2,[-0.0001],[1.4054e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0116 0.0302 0.0223 0.2941 0.0963 0.0534],-1.9638636278286719,-21.548829455735785,False,[1.7001],[0.94   0.7575 0.8743 0.706  0.9037 0.9466],[0.0019 0.004  0.0032 0.294  0.0963 0.0534],[5.8121e-02 2.3845e-01 1.2250e-01 5.0246e-07 1.3183e-06 1.5341e-06],0.8546995445127497,0.7579595287238772,2.3079500752261346,[0.     0.0019 0.004  0.0032 0.294  0.0963 0.0534]
11,0.22,[-0.0001],[1.2478e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0105 0.0272 0.0201 0.2941 0.0963 0.0534],-1.96346052417096,-23.512289979906743,False,[1.7001],[0.9397 0.7573 0.8741 0.706  0.9038 0.9466],[0.0016 0.0031 0.0025 0.294  0.0962 0.0534],[5.8731e-02 2.3954e-01 1.2340e-01 8.8404e-07 1.3184e-06 1.5341e-06],0.8545916303185472,0.7579595287238772,2.3079500752261346,[0.     0.0016 0.0031 0.0025 0.294  0.0962 0.0534]
12,0.24,[-0.0001],[1.1287e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0095 0.0245 0.0181 0.294  0.0963 0.0534],-1.9631219777485194,-25.47541195765526,False,[1.7001],[0.9394 0.7571 0.8739 0.7061 0.9038 0.9467],[0.0013 0.0025 0.002  0.2939 0.0962 0.0533],[5.9254e-02 2.4041e-01 1.2414e-01 5.4770e-07 1.3184e-06 1.5341e-06],0.8544836906387836,0.7579595287238772,2.3079500752261346,[0.     0.0013 0.0025 0.002  0.2939 0.0962 0.0533]
13,0.26,[-0.0001],[1.0246e-05],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0086 0.022  0.0163 0.294  0.0963 0.0534],-1.9628373516249449,-27.438249309280206,False,[1.7001],[0.9392 0.7569 0.8736 0.7061 0.9038 0.9467],[0.0011 0.002  0.0016 0.2939 0.0962 0.0533],[5.9712e-02 2.4111e-01 1.2475e-01 8.4450e-07 1.3185e-06 1.5342e-06],0.8543757400306998,0.7579595287238772,2.3079500752261346,[0.     0.0011 0.002  0.0016 0.2939 0.0962 0.0533]
14,0.28,[-0.0001],[9.2733e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0078 0.0198 0.0147 0.294  0.0963 0.0534],-1.9625974832703115,-29.400846792550517,False,[1.7001],[0.9389 0.7567 0.8734 0.7062 0.9038 0.9467],[0.001  0.0016 0.0014 0.2938 0.0962 0.0533],[6.0121e-02 2.4168e-01 1.2527e-01 5.8303e-07 1.3186e-06 1.5342e-06],0.8542677892734609,0.7579595287238772,2.3079500752261346,[0.     0.001  0.0016 0.0014 0.2938 0.0962 0.0533]
15,0.3,[-0.0001],[8.325e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0071 0.0178 0.0133 0.2939 0.0962 0.0534],-1.9623944848417487,-31.363241277392266,False,[1.7001],[0.9386 0.7565 0.8731 0.7062 0.9038 0.9467],[0.0009 0.0014 0.0012 0.2938 0.0962 0.0533],[6.0494e-02 2.4217e-01 1.2572e-01 8.1373e-07 1.3187e-06 1.5343e-06],0.854159846422883,0.7579595287238772,2.3079500752261346,[0.     0.0009 0.0014 0.0012 0.2938 0.0962 0.0533]
16,0.32,[-0.0001],[7.4032e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0065 0.016  0.012  0.2939 0.0962 0.0534],-1.9622215832510657,-33.325462860643334,False,[1.7001],[0.9384 0.7563 0.8729 0.7063 0.9038 0.9467],[0.0008 0.0012 0.001  0.2937 0.0962 0.0533],[6.0839e-02 2.4259e-01 1.2612e-01 6.1061e-07 1.3187e-06 1.5343e-06],0.8540519174574963,0.7579595287238772,2.3079500752261346,[0.     0.0008 0.0012 0.001  0.2937 0.0962 0.0533]
17,0.34,[-0.0001],[6.5359e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0059 0.0144 0.0108 0.2938 0.0962 0.0534],-1.9620733681550813,-35.287536228798416,False,[1.7001],[0.9381 0.756  0.8726 0.7063 0.9039 0.9467],[0.0007 0.001  0.0009 0.2937 0.0961 0.0533],[6.1164e-02 2.4295e-01 1.2648e-01 7.8981e-07 1.3188e-06 1.5344e-06],0.8539440068638017,0.7579595287238772,2.3079500752261346,[0.     0.0007 0.001  0.0009 0.2937 0.0961 0.0533]
18,0.36,[-0.0001],[5.7401e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0054 0.0129 0.0098 0.2938 0.0962 0.0533],-1.9619454581704747,-37.24948168696889,False,[1.7001],[0.9378 0.7558 0.8724 0.7064 0.9039 0.9467],[0.0007 0.0009 0.0008 0.2936 0.0961 0.0533],[6.1474e-02 2.4328e-01 1.2681e-01 6.3214e-07 1.3189e-06 1.5344e-06],0.8538361179712832,0.7579595287238772,2.3079500752261346,[0.     0.0007 0.0009 0.0008 0.2936 0.0961 0.0533]
19,0.38,[-0.0001],[5.0207e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0049 0.0117 0.0088 0.2938 0.0962 0.0533],-1.9618336614343315,-39.211315348403225,False,[1.7001],[0.9376 0.7556 0.8721 0.7064 0.9039 0.9467],[0.0007 0.0008 0.0007 0.2935 0.0961 0.0533],[6.1773e-02 2.4358e-01 1.2712e-01 7.7124e-07 1.3190e-06 1.5345e-06],0.8537282532867382,0.7579595287238772,2.3079500752261346,[0.     0.0007 0.0008 0.0007 0.2935 0.0961 0.0533]
